Geography,Year,Count
NG.ON,1901,26.35
NG.ON,1902,26.61
NG.ON,1903,26.64
NG.ON,1904,26.56
NG.ON,1905,26.62
NG.ON,1906,26.87
NG.ON,1907,26.65
NG.ON,1908,26.61
NG.ON,1909,26.57
NG.ON,1910,26.59
NG.ON,1911,26.65
NG.ON,1912,26.73
NG.ON,1913,26.78
NG.ON,1914,27.02
NG.ON,1915,26.65
NG.ON,1916,26.65
NG.ON,1917,26.65
NG.ON,1918,26.65
NG.ON,1919,26.65
NG.ON,1920,26.68
NG.ON,1921,26.64
NG.ON,1922,26.65
NG.ON,1923,26.58
NG.ON,1924,26.58
NG.ON,1925,26.05
NG.ON,1926,26.71
NG.ON,1927,26.37
NG.ON,1928,26.2
NG.ON,1929,25.98
NG.ON,1930,27.0
NG.ON,1931,27.01
NG.ON,1932,27.13
NG.ON,1933,26.99
NG.ON,1934,27.06
NG.ON,1935,27.02
NG.ON,1936,26.49
NG.ON,1937,27.15
NG.ON,1938,27.31
NG.ON,1939,26.97
NG.ON,1940,26.7
NG.ON,1941,27.45
NG.ON,1942,27.14
NG.ON,1943,26.73
NG.ON,1944,26.9
NG.ON,1945,26.55
NG.ON,1946,26.61
NG.ON,1947,26.88
NG.ON,1948,26.39
NG.ON,1949,26.98
NG.ON,1950,26.51
NG.ON,1951,26.98
NG.ON,1952,26.73
NG.ON,1953,26.5
NG.ON,1954,26.21
NG.ON,1955,26.22
NG.ON,1956,26.22
NG.ON,1957,26.44
NG.ON,1958,26.61
NG.ON,1959,26.63
NG.ON,1960,26.56
NG.ON,1961,26.41
NG.ON,1962,26.4
NG.ON,1963,26.78
NG.ON,1964,26.33
NG.ON,1965,26.46
NG.ON,1966,26.71
NG.ON,1967,26.35
NG.ON,1968,26.62
NG.ON,1969,26.92
NG.ON,1970,26.7
NG.ON,1971,25.91
NG.ON,1972,26.24
NG.ON,1973,26.65
NG.ON,1974,25.94
NG.ON,1975,25.76
NG.ON,1976,25.89
NG.ON,1977,26.58
NG.ON,1978,26.28
NG.ON,1979,26.57
NG.ON,1980,26.57
NG.ON,1981,27.05
NG.ON,1982,26.9
NG.ON,1983,27.23
NG.ON,1984,27.14
NG.ON,1985,26.96
NG.ON,1986,26.8
NG.ON,1987,27.04
NG.ON,1988,26.53
NG.ON,1989,26.22
NG.ON,1990,26.6
NG.ON,1991,26.47
NG.ON,1992,26.41
NG.ON,1993,26.48
NG.ON,1994,26.45
NG.ON,1995,26.62
NG.ON,1996,26.64
NG.ON,1997,26.57
NG.ON,1998,27.18
NG.ON,1999,26.62
NG.ON,2000,26.89
NG.ON,2001,27.0
NG.ON,2002,27.02
NG.ON,2003,27.2
NG.ON,2004,27.0
NG.ON,2005,27.23
NG.ON,2006,27.17
NG.ON,2007,27.13
NG.ON,2008,26.92
NG.ON,2009,27.22
NG.ON,2010,27.52
NG.ON,2011,27.11
NG.ON,2012,26.94
NG.ON,2013,27.11
NG.ON,2014,27.3
NG.ON,2015,27.25
NG.ON,2016,27.55
NG.ON,2017,27.35
NG.ON,2018,27.31
NG.ON,2019,27.18
NG.ON,2020,27.46
NG.ON,2021,27.6
NG.ON,2022,27.13
