Geography,Year,Count
NG.YO,1901,27.68
NG.YO,1902,27.77
NG.YO,1903,27.77
NG.YO,1904,27.77
NG.YO,1905,27.72
NG.YO,1906,27.85
NG.YO,1907,27.77
NG.YO,1908,27.78
NG.YO,1909,27.74
NG.YO,1910,27.8
NG.YO,1911,27.77
NG.YO,1912,27.77
NG.YO,1913,27.87
NG.YO,1914,27.91
NG.YO,1915,27.77
NG.YO,1916,27.77
NG.YO,1917,27.77
NG.YO,1918,27.77
NG.YO,1919,27.77
NG.YO,1920,27.77
NG.YO,1921,27.77
NG.YO,1922,27.77
NG.YO,1923,28.38
NG.YO,1924,28.12
NG.YO,1925,27.17
NG.YO,1926,28.32
NG.YO,1927,28.51
NG.YO,1928,27.93
NG.YO,1929,27.54
NG.YO,1930,28.95
NG.YO,1931,29.38
NG.YO,1932,28.44
NG.YO,1933,28.02
NG.YO,1934,28.47
NG.YO,1935,28.71
NG.YO,1936,28.25
NG.YO,1937,28.66
NG.YO,1938,29.47
NG.YO,1939,28.89
NG.YO,1940,27.77
NG.YO,1941,29.12
NG.YO,1942,28.64
NG.YO,1943,27.86
NG.YO,1944,27.8
NG.YO,1945,27.23
NG.YO,1946,27.57
NG.YO,1947,27.78
NG.YO,1948,27.09
NG.YO,1949,27.81
NG.YO,1950,27.15
NG.YO,1951,27.62
NG.YO,1952,27.41
NG.YO,1953,27.3
NG.YO,1954,27.62
NG.YO,1955,27.39
NG.YO,1956,27.45
NG.YO,1957,27.45
NG.YO,1958,27.84
NG.YO,1959,27.42
NG.YO,1960,27.74
NG.YO,1961,26.72
NG.YO,1962,27.57
NG.YO,1963,27.89
NG.YO,1964,27.56
NG.YO,1965,27.24
NG.YO,1966,27.6
NG.YO,1967,27.31
NG.YO,1968,27.56
NG.YO,1969,28.43
NG.YO,1970,27.64
NG.YO,1971,27.51
NG.YO,1972,28.07
NG.YO,1973,28.37
NG.YO,1974,27.35
NG.YO,1975,27.39
NG.YO,1976,27.74
NG.YO,1977,27.2
NG.YO,1978,27.7
NG.YO,1979,27.99
NG.YO,1980,27.95
NG.YO,1981,27.62
NG.YO,1982,27.94
NG.YO,1983,27.79
NG.YO,1984,28.29
NG.YO,1985,27.89
NG.YO,1986,28.15
NG.YO,1987,28.44
NG.YO,1988,27.85
NG.YO,1989,27.13
NG.YO,1990,28.41
NG.YO,1991,28.19
NG.YO,1992,27.42
NG.YO,1993,28.05
NG.YO,1994,27.7
NG.YO,1995,28.15
NG.YO,1996,28.27
NG.YO,1997,28.41
NG.YO,1998,28.57
NG.YO,1999,28.4
NG.YO,2000,27.76
NG.YO,2001,28.02
NG.YO,2002,28.3
NG.YO,2003,28.37
NG.YO,2004,28.51
NG.YO,2005,28.54
NG.YO,2006,28.57
NG.YO,2007,28.52
NG.YO,2008,28.04
NG.YO,2009,29.08
NG.YO,2010,29.19
NG.YO,2011,28.67
NG.YO,2012,28.42
NG.YO,2013,28.66
NG.YO,2014,28.75
NG.YO,2015,28.28
NG.YO,2016,28.85
NG.YO,2017,28.32
NG.YO,2018,28.27
NG.YO,2019,28.13
NG.YO,2020,28.14
NG.YO,2021,28.41
NG.YO,2022,27.91
