Geography,Year,Count
NG.ZA,1901,27.03
NG.ZA,1902,27.1
NG.ZA,1903,27.11
NG.ZA,1904,27.11
NG.ZA,1905,26.68
NG.ZA,1906,27.61
NG.ZA,1907,27.09
NG.ZA,1908,27.12
NG.ZA,1909,26.82
NG.ZA,1910,27.38
NG.ZA,1911,27.01
NG.ZA,1912,27.34
NG.ZA,1913,27.73
NG.ZA,1914,28.03
NG.ZA,1915,27.08
NG.ZA,1916,27.06
NG.ZA,1917,27.07
NG.ZA,1918,27.06
NG.ZA,1919,27.11
NG.ZA,1920,27.12
NG.ZA,1921,27.11
NG.ZA,1922,27.09
NG.ZA,1923,27.28
NG.ZA,1924,27.19
NG.ZA,1925,26.44
NG.ZA,1926,27.35
NG.ZA,1927,27.19
NG.ZA,1928,26.9
NG.ZA,1929,26.61
NG.ZA,1930,27.91
NG.ZA,1931,28.13
NG.ZA,1932,27.6
NG.ZA,1933,27.41
NG.ZA,1934,27.87
NG.ZA,1935,27.96
NG.ZA,1936,27.27
NG.ZA,1937,28.18
NG.ZA,1938,28.62
NG.ZA,1939,27.98
NG.ZA,1940,27.12
NG.ZA,1941,28.31
NG.ZA,1942,27.93
NG.ZA,1943,27.25
NG.ZA,1944,27.29
NG.ZA,1945,26.72
NG.ZA,1946,26.94
NG.ZA,1947,27.3
NG.ZA,1948,26.6
NG.ZA,1949,27.46
NG.ZA,1950,26.44
NG.ZA,1951,26.99
NG.ZA,1952,26.74
NG.ZA,1953,26.64
NG.ZA,1954,26.81
NG.ZA,1955,26.63
NG.ZA,1956,26.89
NG.ZA,1957,26.77
NG.ZA,1958,27.26
NG.ZA,1959,27.0
NG.ZA,1960,27.11
NG.ZA,1961,26.2
NG.ZA,1962,26.91
NG.ZA,1963,27.26
NG.ZA,1964,26.96
NG.ZA,1965,26.7
NG.ZA,1966,26.93
NG.ZA,1967,26.76
NG.ZA,1968,27.07
NG.ZA,1969,27.7
NG.ZA,1970,27.17
NG.ZA,1971,26.86
NG.ZA,1972,27.25
NG.ZA,1973,27.6
NG.ZA,1974,26.56
NG.ZA,1975,26.43
NG.ZA,1976,26.7
NG.ZA,1977,26.62
NG.ZA,1978,26.76
NG.ZA,1979,27.05
NG.ZA,1980,27.19
NG.ZA,1981,27.1
NG.ZA,1982,27.26
NG.ZA,1983,27.32
NG.ZA,1984,27.52
NG.ZA,1985,27.32
NG.ZA,1986,27.38
NG.ZA,1987,27.78
NG.ZA,1988,27.1
NG.ZA,1989,26.56
NG.ZA,1990,27.59
NG.ZA,1991,27.29
NG.ZA,1992,26.78
NG.ZA,1993,27.36
NG.ZA,1994,26.98
NG.ZA,1995,27.38
NG.ZA,1996,27.58
NG.ZA,1997,27.58
NG.ZA,1998,27.81
NG.ZA,1999,27.46
NG.ZA,2000,27.11
NG.ZA,2001,27.37
NG.ZA,2002,27.57
NG.ZA,2003,27.71
NG.ZA,2004,27.76
NG.ZA,2005,27.9
NG.ZA,2006,27.82
NG.ZA,2007,27.81
NG.ZA,2008,27.24
NG.ZA,2009,28.28
NG.ZA,2010,28.2
NG.ZA,2011,27.92
NG.ZA,2012,27.69
NG.ZA,2013,27.94
NG.ZA,2014,28.03
NG.ZA,2015,27.6
NG.ZA,2016,28.19
NG.ZA,2017,27.75
NG.ZA,2018,27.73
NG.ZA,2019,27.59
NG.ZA,2020,27.71
NG.ZA,2021,28.05
NG.ZA,2022,27.32
