Geography,Year,Count
RW.KV,1901,19.15
RW.KV,1902,19.29
RW.KV,1903,19.14
RW.KV,1904,18.78
RW.KV,1905,18.74
RW.KV,1906,18.36
RW.KV,1907,18.39
RW.KV,1908,18.97
RW.KV,1909,17.99
RW.KV,1910,17.99
RW.KV,1911,18.22
RW.KV,1912,18.06
RW.KV,1913,17.99
RW.KV,1914,18.29
RW.KV,1915,18.21
RW.KV,1916,17.92
RW.KV,1917,17.61
RW.KV,1918,17.87
RW.KV,1919,18.03
RW.KV,1920,18.01
RW.KV,1921,18.9
RW.KV,1922,18.82
RW.KV,1923,18.76
RW.KV,1924,19.0
RW.KV,1925,18.92
RW.KV,1926,19.14
RW.KV,1927,19.01
RW.KV,1928,19.16
RW.KV,1929,17.75
RW.KV,1930,17.94
RW.KV,1931,18.61
RW.KV,1932,18.32
RW.KV,1933,18.33
RW.KV,1934,18.34
RW.KV,1935,18.51
RW.KV,1936,18.36
RW.KV,1937,18.32
RW.KV,1938,18.52
RW.KV,1939,18.62
RW.KV,1940,18.84
RW.KV,1941,19.07
RW.KV,1942,18.7
RW.KV,1943,18.78
RW.KV,1944,18.8
RW.KV,1945,18.77
RW.KV,1946,18.71
RW.KV,1947,18.61
RW.KV,1948,18.78
RW.KV,1949,19.09
RW.KV,1950,18.42
RW.KV,1951,18.89
RW.KV,1952,19.07
RW.KV,1953,19.17
RW.KV,1954,19.0
RW.KV,1955,18.91
RW.KV,1956,18.8
RW.KV,1957,19.09
RW.KV,1958,19.34
RW.KV,1959,19.07
RW.KV,1960,18.92
RW.KV,1961,18.98
RW.KV,1962,18.78
RW.KV,1963,18.79
RW.KV,1964,18.79
RW.KV,1965,18.86
RW.KV,1966,19.07
RW.KV,1967,18.83
RW.KV,1968,18.54
RW.KV,1969,19.14
RW.KV,1970,18.95
RW.KV,1971,18.73
RW.KV,1972,18.97
RW.KV,1973,19.11
RW.KV,1974,18.81
RW.KV,1975,18.79
RW.KV,1976,19.09
RW.KV,1977,19.13
RW.KV,1978,19.06
RW.KV,1979,18.98
RW.KV,1980,19.08
RW.KV,1981,19.11
RW.KV,1982,19.18
RW.KV,1983,19.39
RW.KV,1984,19.07
RW.KV,1985,18.96
RW.KV,1986,19.06
RW.KV,1987,19.52
RW.KV,1988,19.31
RW.KV,1989,18.86
RW.KV,1990,19.24
RW.KV,1991,19.22
RW.KV,1992,19.22
RW.KV,1993,19.21
RW.KV,1994,19.26
RW.KV,1995,19.55
RW.KV,1996,19.28
RW.KV,1997,19.48
RW.KV,1998,19.43
RW.KV,1999,19.49
RW.KV,2000,19.67
RW.KV,2001,19.74
RW.KV,2002,20.02
RW.KV,2003,20.01
RW.KV,2004,19.76
RW.KV,2005,19.76
RW.KV,2006,19.63
RW.KV,2007,19.66
RW.KV,2008,19.56
RW.KV,2009,20.05
RW.KV,2010,20.0
RW.KV,2011,19.51
RW.KV,2012,19.39
RW.KV,2013,19.58
RW.KV,2014,19.39
RW.KV,2015,19.42
RW.KV,2016,19.72
RW.KV,2017,19.86
RW.KV,2018,19.46
RW.KV,2019,19.68
RW.KV,2020,19.55
RW.KV,2021,19.6
RW.KV,2022,19.53
