Geography,Year,Count
RW.NO,1901,17.5
RW.NO,1902,17.63
RW.NO,1903,17.48
RW.NO,1904,17.18
RW.NO,1905,17.11
RW.NO,1906,16.77
RW.NO,1907,16.77
RW.NO,1908,17.32
RW.NO,1909,16.43
RW.NO,1910,16.45
RW.NO,1911,16.64
RW.NO,1912,16.49
RW.NO,1913,16.46
RW.NO,1914,16.71
RW.NO,1915,16.65
RW.NO,1916,16.39
RW.NO,1917,16.1
RW.NO,1918,16.35
RW.NO,1919,16.49
RW.NO,1920,16.47
RW.NO,1921,17.25
RW.NO,1922,17.18
RW.NO,1923,17.15
RW.NO,1924,17.34
RW.NO,1925,17.27
RW.NO,1926,17.45
RW.NO,1927,17.36
RW.NO,1928,17.48
RW.NO,1929,16.24
RW.NO,1930,16.4
RW.NO,1931,16.98
RW.NO,1932,16.73
RW.NO,1933,16.72
RW.NO,1934,16.72
RW.NO,1935,16.88
RW.NO,1936,16.75
RW.NO,1937,16.7
RW.NO,1938,16.9
RW.NO,1939,16.98
RW.NO,1940,17.2
RW.NO,1941,17.43
RW.NO,1942,17.08
RW.NO,1943,17.15
RW.NO,1944,17.16
RW.NO,1945,17.12
RW.NO,1946,17.07
RW.NO,1947,16.97
RW.NO,1948,17.14
RW.NO,1949,17.44
RW.NO,1950,16.8
RW.NO,1951,17.26
RW.NO,1952,17.4
RW.NO,1953,17.5
RW.NO,1954,17.34
RW.NO,1955,17.24
RW.NO,1956,17.15
RW.NO,1957,17.42
RW.NO,1958,17.69
RW.NO,1959,17.4
RW.NO,1960,17.26
RW.NO,1961,17.31
RW.NO,1962,17.13
RW.NO,1963,17.16
RW.NO,1964,17.16
RW.NO,1965,17.23
RW.NO,1966,17.41
RW.NO,1967,17.18
RW.NO,1968,16.91
RW.NO,1969,17.47
RW.NO,1970,17.3
RW.NO,1971,17.09
RW.NO,1972,17.32
RW.NO,1973,17.44
RW.NO,1974,17.16
RW.NO,1975,17.14
RW.NO,1976,17.43
RW.NO,1977,17.47
RW.NO,1978,17.4
RW.NO,1979,17.34
RW.NO,1980,17.45
RW.NO,1981,17.46
RW.NO,1982,17.54
RW.NO,1983,17.71
RW.NO,1984,17.44
RW.NO,1985,17.32
RW.NO,1986,17.41
RW.NO,1987,17.86
RW.NO,1988,17.63
RW.NO,1989,17.2
RW.NO,1990,17.6
RW.NO,1991,17.56
RW.NO,1992,17.55
RW.NO,1993,17.57
RW.NO,1994,17.58
RW.NO,1995,17.87
RW.NO,1996,17.6
RW.NO,1997,17.79
RW.NO,1998,17.74
RW.NO,1999,17.79
RW.NO,2000,18.01
RW.NO,2001,18.08
RW.NO,2002,18.35
RW.NO,2003,18.34
RW.NO,2004,18.14
RW.NO,2005,18.14
RW.NO,2006,17.99
RW.NO,2007,18.02
RW.NO,2008,17.94
RW.NO,2009,18.41
RW.NO,2010,18.32
RW.NO,2011,17.85
RW.NO,2012,17.7
RW.NO,2013,17.9
RW.NO,2014,17.71
RW.NO,2015,17.75
RW.NO,2016,18.02
RW.NO,2017,18.15
RW.NO,2018,17.77
RW.NO,2019,17.95
RW.NO,2020,17.83
RW.NO,2021,17.91
RW.NO,2022,17.84
