Geography,Year,Count
RW.SU,1901,18.85
RW.SU,1902,18.98
RW.SU,1903,18.83
RW.SU,1904,18.59
RW.SU,1905,18.49
RW.SU,1906,18.14
RW.SU,1907,18.13
RW.SU,1908,18.68
RW.SU,1909,17.9
RW.SU,1910,17.91
RW.SU,1911,18.03
RW.SU,1912,17.94
RW.SU,1913,17.91
RW.SU,1914,18.14
RW.SU,1915,18.08
RW.SU,1916,17.86
RW.SU,1917,17.61
RW.SU,1918,17.82
RW.SU,1919,17.94
RW.SU,1920,17.92
RW.SU,1921,18.61
RW.SU,1922,18.54
RW.SU,1923,18.52
RW.SU,1924,18.69
RW.SU,1925,18.62
RW.SU,1926,18.78
RW.SU,1927,18.7
RW.SU,1928,18.81
RW.SU,1929,17.73
RW.SU,1930,17.86
RW.SU,1931,18.36
RW.SU,1932,18.13
RW.SU,1933,18.08
RW.SU,1934,18.1
RW.SU,1935,18.3
RW.SU,1936,18.17
RW.SU,1937,18.11
RW.SU,1938,18.3
RW.SU,1939,18.36
RW.SU,1940,18.58
RW.SU,1941,18.78
RW.SU,1942,18.39
RW.SU,1943,18.48
RW.SU,1944,18.51
RW.SU,1945,18.45
RW.SU,1946,18.44
RW.SU,1947,18.32
RW.SU,1948,18.5
RW.SU,1949,18.82
RW.SU,1950,18.14
RW.SU,1951,18.58
RW.SU,1952,18.73
RW.SU,1953,18.84
RW.SU,1954,18.67
RW.SU,1955,18.59
RW.SU,1956,18.51
RW.SU,1957,18.79
RW.SU,1958,19.03
RW.SU,1959,18.75
RW.SU,1960,18.59
RW.SU,1961,18.66
RW.SU,1962,18.47
RW.SU,1963,18.47
RW.SU,1964,18.5
RW.SU,1965,18.56
RW.SU,1966,18.77
RW.SU,1967,18.56
RW.SU,1968,18.29
RW.SU,1969,18.86
RW.SU,1970,18.64
RW.SU,1971,18.42
RW.SU,1972,18.67
RW.SU,1973,18.77
RW.SU,1974,18.51
RW.SU,1975,18.49
RW.SU,1976,18.76
RW.SU,1977,18.83
RW.SU,1978,18.77
RW.SU,1979,18.67
RW.SU,1980,18.8
RW.SU,1981,18.79
RW.SU,1982,18.86
RW.SU,1983,19.07
RW.SU,1984,18.77
RW.SU,1985,18.65
RW.SU,1986,18.72
RW.SU,1987,19.23
RW.SU,1988,18.98
RW.SU,1989,18.57
RW.SU,1990,18.94
RW.SU,1991,18.92
RW.SU,1992,18.91
RW.SU,1993,18.85
RW.SU,1994,18.95
RW.SU,1995,19.21
RW.SU,1996,18.97
RW.SU,1997,19.17
RW.SU,1998,19.1
RW.SU,1999,19.11
RW.SU,2000,19.31
RW.SU,2001,19.36
RW.SU,2002,19.62
RW.SU,2003,19.63
RW.SU,2004,19.31
RW.SU,2005,19.33
RW.SU,2006,19.23
RW.SU,2007,19.28
RW.SU,2008,19.16
RW.SU,2009,19.62
RW.SU,2010,19.6
RW.SU,2011,19.12
RW.SU,2012,19.04
RW.SU,2013,19.23
RW.SU,2014,19.05
RW.SU,2015,19.12
RW.SU,2016,19.34
RW.SU,2017,19.53
RW.SU,2018,19.09
RW.SU,2019,19.27
RW.SU,2020,19.13
RW.SU,2021,19.23
RW.SU,2022,19.15
