Year,Geography,Count
1901,RW,18.8
1902,RW,18.93
1903,RW,18.78
1904,RW,18.49
1905,RW,18.42
1906,RW,18.06
1907,RW,18.06
1908,RW,18.63
1909,RW,17.76
1910,RW,17.76
1911,RW,17.94
1912,RW,17.8
1913,RW,17.76
1914,RW,18.02
1915,RW,17.95
1916,RW,17.7
1917,RW,17.41
1918,RW,17.65
1919,RW,17.79
1920,RW,17.78
1921,RW,18.56
1922,RW,18.48
1923,RW,18.45
1924,RW,18.64
1925,RW,18.57
1926,RW,18.76
1927,RW,18.66
1928,RW,18.78
1929,RW,17.54
1930,RW,17.71
1931,RW,18.29
1932,RW,18.03
1933,RW,18.02
1934,RW,18.02
1935,RW,18.2
1936,RW,18.06
1937,RW,18.02
1938,RW,18.21
1939,RW,18.29
1940,RW,18.51
1941,RW,18.73
1942,RW,18.36
1943,RW,18.43
1944,RW,18.46
1945,RW,18.42
1946,RW,18.38
1947,RW,18.27
1948,RW,18.44
1949,RW,18.76
1950,RW,18.09
1951,RW,18.55
1952,RW,18.7
1953,RW,18.81
1954,RW,18.64
1955,RW,18.55
1956,RW,18.46
1957,RW,18.74
1958,RW,18.98
1959,RW,18.71
1960,RW,18.56
1961,RW,18.62
1962,RW,18.43
1963,RW,18.44
1964,RW,18.45
1965,RW,18.51
1966,RW,18.72
1967,RW,18.5
1968,RW,18.22
1969,RW,18.8
1970,RW,18.6
1971,RW,18.38
1972,RW,18.62
1973,RW,18.74
1974,RW,18.47
1975,RW,18.44
1976,RW,18.72
1977,RW,18.77
1978,RW,18.71
1979,RW,18.63
1980,RW,18.75
1981,RW,18.75
1982,RW,18.83
1983,RW,19.03
1984,RW,18.72
1985,RW,18.61
1986,RW,18.7
1987,RW,19.17
1988,RW,18.94
1989,RW,18.51
1990,RW,18.89
1991,RW,18.87
1992,RW,18.86
1993,RW,18.84
1994,RW,18.9
1995,RW,19.17
1996,RW,18.92
1997,RW,19.12
1998,RW,19.05
1999,RW,19.09
2000,RW,19.29
2001,RW,19.35
2002,RW,19.62
2003,RW,19.62
2004,RW,19.36
2005,RW,19.36
2006,RW,19.24
2007,RW,19.28
2008,RW,19.17
2009,RW,19.65
2010,RW,19.6
2011,RW,19.12
2012,RW,19.01
2013,RW,19.2
2014,RW,19.01
2015,RW,19.07
2016,RW,19.32
2017,RW,19.48
2018,RW,19.07
2019,RW,19.26
2020,RW,19.13
2021,RW,19.21
2022,RW,19.14
