Geography,Year,Count
SN.DB,1901,27.82
SN.DB,1902,28.21
SN.DB,1903,28.01
SN.DB,1904,27.74
SN.DB,1905,27.93
SN.DB,1906,28.07
SN.DB,1907,27.21
SN.DB,1908,28.15
SN.DB,1909,27.86
SN.DB,1910,28.03
SN.DB,1911,27.87
SN.DB,1912,28.07
SN.DB,1913,28.1
SN.DB,1914,27.76
SN.DB,1915,28.25
SN.DB,1916,27.72
SN.DB,1917,27.6
SN.DB,1918,27.96
SN.DB,1919,28.43
SN.DB,1920,27.58
SN.DB,1921,27.59
SN.DB,1922,27.21
SN.DB,1923,27.88
SN.DB,1924,27.59
SN.DB,1925,27.71
SN.DB,1926,28.24
SN.DB,1927,27.86
SN.DB,1928,27.5
SN.DB,1929,27.36
SN.DB,1930,27.22
SN.DB,1931,27.88
SN.DB,1932,27.82
SN.DB,1933,27.85
SN.DB,1934,27.67
SN.DB,1935,27.76
SN.DB,1936,28.03
SN.DB,1937,28.15
SN.DB,1938,28.08
SN.DB,1939,27.82
SN.DB,1940,27.75
SN.DB,1941,28.05
SN.DB,1942,27.67
SN.DB,1943,27.73
SN.DB,1944,28.18
SN.DB,1945,28.54
SN.DB,1946,27.91
SN.DB,1947,27.97
SN.DB,1948,27.87
SN.DB,1949,27.95
SN.DB,1950,27.88
SN.DB,1951,27.42
SN.DB,1952,27.38
SN.DB,1953,27.5
SN.DB,1954,27.61
SN.DB,1955,27.72
SN.DB,1956,27.36
SN.DB,1957,27.28
SN.DB,1958,27.97
SN.DB,1959,27.66
SN.DB,1960,27.85
SN.DB,1961,28.09
SN.DB,1962,28.16
SN.DB,1963,28.24
SN.DB,1964,28.05
SN.DB,1965,27.53
SN.DB,1966,28.14
SN.DB,1967,27.31
SN.DB,1968,27.45
SN.DB,1969,28.61
SN.DB,1970,28.37
SN.DB,1971,27.18
SN.DB,1972,27.55
SN.DB,1973,27.89
SN.DB,1974,27.03
SN.DB,1975,27.25
SN.DB,1976,27.17
SN.DB,1977,28.01
SN.DB,1978,27.69
SN.DB,1979,28.08
SN.DB,1980,27.76
SN.DB,1981,28.05
SN.DB,1982,27.42
SN.DB,1983,28.5
SN.DB,1984,27.8
SN.DB,1985,27.59
SN.DB,1986,27.53
SN.DB,1987,28.37
SN.DB,1988,27.95
SN.DB,1989,27.78
SN.DB,1990,28.31
SN.DB,1991,28.06
SN.DB,1992,27.97
SN.DB,1993,28.07
SN.DB,1994,27.83
SN.DB,1995,28.02
SN.DB,1996,28.43
SN.DB,1997,28.65
SN.DB,1998,28.98
SN.DB,1999,27.97
SN.DB,2000,28.29
SN.DB,2001,28.69
SN.DB,2002,28.62
SN.DB,2003,28.54
SN.DB,2004,28.58
SN.DB,2005,28.88
SN.DB,2006,28.47
SN.DB,2007,28.47
SN.DB,2008,28.58
SN.DB,2009,28.14
SN.DB,2010,29.01
SN.DB,2011,28.37
SN.DB,2012,28.45
SN.DB,2013,28.54
SN.DB,2014,28.47
SN.DB,2015,28.67
SN.DB,2016,28.86
SN.DB,2017,28.93
SN.DB,2018,28.22
SN.DB,2019,28.36
SN.DB,2020,29.21
SN.DB,2021,29.08
SN.DB,2022,28.64
