Geography,Year,Count
SN.DK,1901,25.51
SN.DK,1902,25.89
SN.DK,1903,25.8
SN.DK,1904,25.47
SN.DK,1905,25.68
SN.DK,1906,25.85
SN.DK,1907,24.89
SN.DK,1908,25.87
SN.DK,1909,25.6
SN.DK,1910,25.78
SN.DK,1911,25.62
SN.DK,1912,25.75
SN.DK,1913,25.86
SN.DK,1914,25.5
SN.DK,1915,25.99
SN.DK,1916,25.44
SN.DK,1917,25.3
SN.DK,1918,25.71
SN.DK,1919,26.25
SN.DK,1920,25.32
SN.DK,1921,25.35
SN.DK,1922,24.88
SN.DK,1923,25.61
SN.DK,1924,25.36
SN.DK,1925,25.51
SN.DK,1926,26.03
SN.DK,1927,25.67
SN.DK,1928,25.3
SN.DK,1929,25.19
SN.DK,1930,24.97
SN.DK,1931,25.61
SN.DK,1932,25.58
SN.DK,1933,25.62
SN.DK,1934,25.39
SN.DK,1935,25.43
SN.DK,1936,25.77
SN.DK,1937,25.94
SN.DK,1938,25.8
SN.DK,1939,25.52
SN.DK,1940,25.48
SN.DK,1941,25.78
SN.DK,1942,25.37
SN.DK,1943,25.48
SN.DK,1944,25.94
SN.DK,1945,26.32
SN.DK,1946,25.66
SN.DK,1947,25.69
SN.DK,1948,25.64
SN.DK,1949,25.66
SN.DK,1950,25.65
SN.DK,1951,25.18
SN.DK,1952,25.24
SN.DK,1953,25.31
SN.DK,1954,25.41
SN.DK,1955,25.54
SN.DK,1956,25.15
SN.DK,1957,25.06
SN.DK,1958,25.82
SN.DK,1959,25.45
SN.DK,1960,25.64
SN.DK,1961,25.9
SN.DK,1962,25.93
SN.DK,1963,26.03
SN.DK,1964,25.83
SN.DK,1965,25.32
SN.DK,1966,25.94
SN.DK,1967,25.12
SN.DK,1968,25.2
SN.DK,1969,26.37
SN.DK,1970,26.11
SN.DK,1971,24.88
SN.DK,1972,25.23
SN.DK,1973,25.59
SN.DK,1974,24.75
SN.DK,1975,25.01
SN.DK,1976,24.87
SN.DK,1977,25.66
SN.DK,1978,25.39
SN.DK,1979,25.79
SN.DK,1980,25.44
SN.DK,1981,25.76
SN.DK,1982,25.13
SN.DK,1983,26.18
SN.DK,1984,25.52
SN.DK,1985,25.24
SN.DK,1986,25.24
SN.DK,1987,26.15
SN.DK,1988,25.67
SN.DK,1989,25.48
SN.DK,1990,25.99
SN.DK,1991,25.75
SN.DK,1992,25.69
SN.DK,1993,25.75
SN.DK,1994,25.55
SN.DK,1995,25.79
SN.DK,1996,26.09
SN.DK,1997,26.38
SN.DK,1998,26.66
SN.DK,1999,25.7
SN.DK,2000,25.96
SN.DK,2001,26.37
SN.DK,2002,26.29
SN.DK,2003,26.25
SN.DK,2004,26.3
SN.DK,2005,26.65
SN.DK,2006,26.19
SN.DK,2007,26.21
SN.DK,2008,26.31
SN.DK,2009,25.88
SN.DK,2010,26.76
SN.DK,2011,26.09
SN.DK,2012,26.19
SN.DK,2013,26.22
SN.DK,2014,26.16
SN.DK,2015,26.35
SN.DK,2016,26.52
SN.DK,2017,26.63
SN.DK,2018,25.85
SN.DK,2019,26.04
SN.DK,2020,26.9
SN.DK,2021,26.72
SN.DK,2022,26.38
