Geography,Year,Count
SN.KC,1901,28.1
SN.KC,1902,28.4
SN.KC,1903,28.22
SN.KC,1904,27.94
SN.KC,1905,28.15
SN.KC,1906,28.26
SN.KC,1907,27.47
SN.KC,1908,28.33
SN.KC,1909,28.07
SN.KC,1910,28.25
SN.KC,1911,28.04
SN.KC,1912,28.28
SN.KC,1913,28.3
SN.KC,1914,27.97
SN.KC,1915,28.45
SN.KC,1916,27.95
SN.KC,1917,27.85
SN.KC,1918,28.15
SN.KC,1919,28.54
SN.KC,1920,27.82
SN.KC,1921,27.79
SN.KC,1922,27.44
SN.KC,1923,28.04
SN.KC,1924,27.77
SN.KC,1925,27.89
SN.KC,1926,28.37
SN.KC,1927,27.99
SN.KC,1928,27.63
SN.KC,1929,27.52
SN.KC,1930,27.41
SN.KC,1931,28.06
SN.KC,1932,27.99
SN.KC,1933,28.05
SN.KC,1934,27.8
SN.KC,1935,27.82
SN.KC,1936,28.14
SN.KC,1937,28.31
SN.KC,1938,28.25
SN.KC,1939,28.01
SN.KC,1940,27.97
SN.KC,1941,28.23
SN.KC,1942,27.91
SN.KC,1943,27.89
SN.KC,1944,28.37
SN.KC,1945,28.68
SN.KC,1946,28.08
SN.KC,1947,28.15
SN.KC,1948,28.01
SN.KC,1949,28.1
SN.KC,1950,28.0
SN.KC,1951,27.68
SN.KC,1952,27.62
SN.KC,1953,27.75
SN.KC,1954,27.81
SN.KC,1955,27.96
SN.KC,1956,27.63
SN.KC,1957,27.58
SN.KC,1958,28.15
SN.KC,1959,27.88
SN.KC,1960,28.06
SN.KC,1961,28.17
SN.KC,1962,28.29
SN.KC,1963,28.37
SN.KC,1964,28.17
SN.KC,1965,27.73
SN.KC,1966,28.24
SN.KC,1967,27.46
SN.KC,1968,27.69
SN.KC,1969,28.77
SN.KC,1970,28.5
SN.KC,1971,27.38
SN.KC,1972,27.77
SN.KC,1973,28.06
SN.KC,1974,27.24
SN.KC,1975,27.41
SN.KC,1976,27.34
SN.KC,1977,28.12
SN.KC,1978,27.82
SN.KC,1979,28.15
SN.KC,1980,28.03
SN.KC,1981,28.19
SN.KC,1982,27.64
SN.KC,1983,28.65
SN.KC,1984,27.97
SN.KC,1985,27.78
SN.KC,1986,27.75
SN.KC,1987,28.51
SN.KC,1988,28.12
SN.KC,1989,27.93
SN.KC,1990,28.49
SN.KC,1991,28.29
SN.KC,1992,28.2
SN.KC,1993,28.3
SN.KC,1994,28.04
SN.KC,1995,28.24
SN.KC,1996,28.63
SN.KC,1997,28.83
SN.KC,1998,29.17
SN.KC,1999,28.22
SN.KC,2000,28.42
SN.KC,2001,28.86
SN.KC,2002,28.8
SN.KC,2003,28.74
SN.KC,2004,28.78
SN.KC,2005,29.06
SN.KC,2006,28.69
SN.KC,2007,28.73
SN.KC,2008,28.76
SN.KC,2009,28.38
SN.KC,2010,29.19
SN.KC,2011,28.6
SN.KC,2012,28.67
SN.KC,2013,28.75
SN.KC,2014,28.71
SN.KC,2015,28.86
SN.KC,2016,29.12
SN.KC,2017,29.15
SN.KC,2018,28.48
SN.KC,2019,28.57
SN.KC,2020,29.41
SN.KC,2021,29.28
SN.KC,2022,28.81
