Geography,Year,Count
SN.KG,1901,28.47
SN.KG,1902,28.82
SN.KG,1903,28.52
SN.KG,1904,28.31
SN.KG,1905,28.47
SN.KG,1906,28.52
SN.KG,1907,27.96
SN.KG,1908,28.68
SN.KG,1909,28.44
SN.KG,1910,28.65
SN.KG,1911,28.39
SN.KG,1912,28.78
SN.KG,1913,28.59
SN.KG,1914,28.39
SN.KG,1915,28.75
SN.KG,1916,28.29
SN.KG,1917,28.22
SN.KG,1918,28.38
SN.KG,1919,28.69
SN.KG,1920,28.19
SN.KG,1921,28.18
SN.KG,1922,27.97
SN.KG,1923,28.38
SN.KG,1924,28.07
SN.KG,1925,28.21
SN.KG,1926,28.42
SN.KG,1927,27.92
SN.KG,1928,27.74
SN.KG,1929,27.68
SN.KG,1930,27.72
SN.KG,1931,28.38
SN.KG,1932,28.21
SN.KG,1933,28.35
SN.KG,1934,28.26
SN.KG,1935,28.25
SN.KG,1936,28.39
SN.KG,1937,28.6
SN.KG,1938,28.6
SN.KG,1939,28.46
SN.KG,1940,28.37
SN.KG,1941,28.78
SN.KG,1942,28.49
SN.KG,1943,28.19
SN.KG,1944,28.71
SN.KG,1945,28.87
SN.KG,1946,28.47
SN.KG,1947,28.59
SN.KG,1948,28.29
SN.KG,1949,28.43
SN.KG,1950,28.03
SN.KG,1951,28.19
SN.KG,1952,27.86
SN.KG,1953,28.28
SN.KG,1954,27.98
SN.KG,1955,28.06
SN.KG,1956,27.94
SN.KG,1957,28.16
SN.KG,1958,28.36
SN.KG,1959,28.29
SN.KG,1960,28.23
SN.KG,1961,28.09
SN.KG,1962,28.15
SN.KG,1963,28.4
SN.KG,1964,28.12
SN.KG,1965,27.92
SN.KG,1966,28.2
SN.KG,1967,27.79
SN.KG,1968,28.32
SN.KG,1969,28.84
SN.KG,1970,28.66
SN.KG,1971,28.16
SN.KG,1972,28.5
SN.KG,1973,28.6
SN.KG,1974,27.86
SN.KG,1975,27.83
SN.KG,1976,27.75
SN.KG,1977,28.44
SN.KG,1978,28.19
SN.KG,1979,28.53
SN.KG,1980,28.85
SN.KG,1981,28.5
SN.KG,1982,28.18
SN.KG,1983,29.02
SN.KG,1984,28.47
SN.KG,1985,28.5
SN.KG,1986,28.1
SN.KG,1987,28.75
SN.KG,1988,28.38
SN.KG,1989,28.25
SN.KG,1990,28.69
SN.KG,1991,28.78
SN.KG,1992,28.55
SN.KG,1993,28.86
SN.KG,1994,28.26
SN.KG,1995,28.62
SN.KG,1996,28.88
SN.KG,1997,28.82
SN.KG,1998,29.45
SN.KG,1999,28.38
SN.KG,2000,28.66
SN.KG,2001,28.99
SN.KG,2002,29.18
SN.KG,2003,29.01
SN.KG,2004,29.19
SN.KG,2005,29.22
SN.KG,2006,29.09
SN.KG,2007,29.13
SN.KG,2008,28.95
SN.KG,2009,28.76
SN.KG,2010,29.51
SN.KG,2011,29.15
SN.KG,2012,28.89
SN.KG,2013,29.06
SN.KG,2014,28.99
SN.KG,2015,29.29
SN.KG,2016,29.51
SN.KG,2017,29.44
SN.KG,2018,29.2
SN.KG,2019,28.98
SN.KG,2020,29.51
SN.KG,2021,29.81
SN.KG,2022,29.03
