Geography,Year,Count
SN.MT,1901,29.14
SN.MT,1902,29.56
SN.MT,1903,29.22
SN.MT,1904,29.02
SN.MT,1905,29.17
SN.MT,1906,29.27
SN.MT,1907,28.53
SN.MT,1908,29.47
SN.MT,1909,29.15
SN.MT,1910,29.36
SN.MT,1911,29.14
SN.MT,1912,29.45
SN.MT,1913,29.41
SN.MT,1914,29.11
SN.MT,1915,29.54
SN.MT,1916,29.04
SN.MT,1917,28.9
SN.MT,1918,29.21
SN.MT,1919,29.64
SN.MT,1920,28.88
SN.MT,1921,28.93
SN.MT,1922,28.6
SN.MT,1923,29.22
SN.MT,1924,28.91
SN.MT,1925,28.98
SN.MT,1926,29.41
SN.MT,1927,28.99
SN.MT,1928,28.7
SN.MT,1929,28.6
SN.MT,1930,28.56
SN.MT,1931,29.2
SN.MT,1932,29.06
SN.MT,1933,29.09
SN.MT,1934,29.13
SN.MT,1935,29.2
SN.MT,1936,29.32
SN.MT,1937,29.42
SN.MT,1938,29.4
SN.MT,1939,29.21
SN.MT,1940,29.09
SN.MT,1941,29.34
SN.MT,1942,29.01
SN.MT,1943,28.95
SN.MT,1944,29.42
SN.MT,1945,29.71
SN.MT,1946,29.18
SN.MT,1947,29.34
SN.MT,1948,29.14
SN.MT,1949,29.26
SN.MT,1950,29.0
SN.MT,1951,28.68
SN.MT,1952,28.26
SN.MT,1953,28.58
SN.MT,1954,28.59
SN.MT,1955,28.73
SN.MT,1956,28.44
SN.MT,1957,28.55
SN.MT,1958,29.05
SN.MT,1959,28.76
SN.MT,1960,28.88
SN.MT,1961,29.11
SN.MT,1962,29.01
SN.MT,1963,29.12
SN.MT,1964,28.89
SN.MT,1965,28.46
SN.MT,1966,29.02
SN.MT,1967,28.29
SN.MT,1968,28.88
SN.MT,1969,29.73
SN.MT,1970,29.6
SN.MT,1971,28.72
SN.MT,1972,29.16
SN.MT,1973,29.37
SN.MT,1974,28.35
SN.MT,1975,28.62
SN.MT,1976,28.52
SN.MT,1977,29.4
SN.MT,1978,29.09
SN.MT,1979,29.61
SN.MT,1980,29.48
SN.MT,1981,29.36
SN.MT,1982,28.87
SN.MT,1983,29.96
SN.MT,1984,29.29
SN.MT,1985,29.15
SN.MT,1986,28.9
SN.MT,1987,29.74
SN.MT,1988,29.18
SN.MT,1989,29.14
SN.MT,1990,29.69
SN.MT,1991,29.47
SN.MT,1992,29.41
SN.MT,1993,29.68
SN.MT,1994,29.08
SN.MT,1995,29.42
SN.MT,1996,29.85
SN.MT,1997,29.88
SN.MT,1998,30.37
SN.MT,1999,29.22
SN.MT,2000,29.51
SN.MT,2001,29.99
SN.MT,2002,29.94
SN.MT,2003,29.86
SN.MT,2004,29.94
SN.MT,2005,30.03
SN.MT,2006,29.85
SN.MT,2007,29.86
SN.MT,2008,29.87
SN.MT,2009,29.59
SN.MT,2010,30.38
SN.MT,2011,29.88
SN.MT,2012,29.69
SN.MT,2013,29.94
SN.MT,2014,29.82
SN.MT,2015,30.11
SN.MT,2016,30.29
SN.MT,2017,30.28
SN.MT,2018,29.8
SN.MT,2019,29.79
SN.MT,2020,30.47
SN.MT,2021,30.61
SN.MT,2022,29.93
