Geography,Year,Count
SN.ST,1901,27.62
SN.ST,1902,28.1
SN.ST,1903,27.76
SN.ST,1904,27.57
SN.ST,1905,27.7
SN.ST,1906,27.82
SN.ST,1907,26.99
SN.ST,1908,28.04
SN.ST,1909,27.7
SN.ST,1910,27.9
SN.ST,1911,27.69
SN.ST,1912,27.97
SN.ST,1913,27.98
SN.ST,1914,27.64
SN.ST,1915,28.1
SN.ST,1916,27.55
SN.ST,1917,27.41
SN.ST,1918,27.82
SN.ST,1919,28.33
SN.ST,1920,27.43
SN.ST,1921,27.48
SN.ST,1922,27.05
SN.ST,1923,27.8
SN.ST,1924,27.51
SN.ST,1925,27.52
SN.ST,1926,28.13
SN.ST,1927,27.77
SN.ST,1928,27.38
SN.ST,1929,27.21
SN.ST,1930,27.13
SN.ST,1931,27.75
SN.ST,1932,27.7
SN.ST,1933,27.66
SN.ST,1934,27.69
SN.ST,1935,27.76
SN.ST,1936,27.94
SN.ST,1937,28.0
SN.ST,1938,27.97
SN.ST,1939,27.73
SN.ST,1940,27.64
SN.ST,1941,27.87
SN.ST,1942,27.51
SN.ST,1943,27.59
SN.ST,1944,28.01
SN.ST,1945,28.34
SN.ST,1946,27.75
SN.ST,1947,27.87
SN.ST,1948,27.72
SN.ST,1949,27.83
SN.ST,1950,27.74
SN.ST,1951,27.25
SN.ST,1952,26.92
SN.ST,1953,27.13
SN.ST,1954,27.32
SN.ST,1955,27.46
SN.ST,1956,27.05
SN.ST,1957,27.09
SN.ST,1958,27.83
SN.ST,1959,27.4
SN.ST,1960,27.6
SN.ST,1961,27.94
SN.ST,1962,27.85
SN.ST,1963,27.92
SN.ST,1964,27.63
SN.ST,1965,27.1
SN.ST,1966,27.83
SN.ST,1967,27.07
SN.ST,1968,27.38
SN.ST,1969,28.49
SN.ST,1970,28.29
SN.ST,1971,27.1
SN.ST,1972,27.46
SN.ST,1973,27.83
SN.ST,1974,26.72
SN.ST,1975,27.16
SN.ST,1976,27.07
SN.ST,1977,27.94
SN.ST,1978,27.63
SN.ST,1979,28.18
SN.ST,1980,27.66
SN.ST,1981,27.94
SN.ST,1982,27.32
SN.ST,1983,28.43
SN.ST,1984,27.8
SN.ST,1985,27.54
SN.ST,1986,27.43
SN.ST,1987,28.43
SN.ST,1988,27.75
SN.ST,1989,27.75
SN.ST,1990,28.25
SN.ST,1991,27.83
SN.ST,1992,27.9
SN.ST,1993,28.01
SN.ST,1994,27.58
SN.ST,1995,27.89
SN.ST,1996,28.27
SN.ST,1997,28.5
SN.ST,1998,28.84
SN.ST,1999,27.68
SN.ST,2000,28.06
SN.ST,2001,28.55
SN.ST,2002,28.44
SN.ST,2003,28.37
SN.ST,2004,28.46
SN.ST,2005,28.62
SN.ST,2006,28.4
SN.ST,2007,28.33
SN.ST,2008,28.49
SN.ST,2009,28.1
SN.ST,2010,28.95
SN.ST,2011,28.28
SN.ST,2012,28.23
SN.ST,2013,28.51
SN.ST,2014,28.34
SN.ST,2015,28.61
SN.ST,2016,28.69
SN.ST,2017,28.78
SN.ST,2018,28.08
SN.ST,2019,28.23
SN.ST,2020,29.02
SN.ST,2021,29.01
SN.ST,2022,28.48
