Geography,Year,Count
SN.TB,1901,28.98
SN.TB,1902,29.32
SN.TB,1903,29.02
SN.TB,1904,28.82
SN.TB,1905,28.98
SN.TB,1906,29.06
SN.TB,1907,28.38
SN.TB,1908,29.22
SN.TB,1909,28.94
SN.TB,1910,29.16
SN.TB,1911,28.91
SN.TB,1912,29.26
SN.TB,1913,29.15
SN.TB,1914,28.9
SN.TB,1915,29.31
SN.TB,1916,28.84
SN.TB,1917,28.72
SN.TB,1918,28.96
SN.TB,1919,29.3
SN.TB,1920,28.69
SN.TB,1921,28.71
SN.TB,1922,28.44
SN.TB,1923,28.95
SN.TB,1924,28.62
SN.TB,1925,28.76
SN.TB,1926,29.05
SN.TB,1927,28.6
SN.TB,1928,28.38
SN.TB,1929,28.29
SN.TB,1930,28.29
SN.TB,1931,28.94
SN.TB,1932,28.79
SN.TB,1933,28.88
SN.TB,1934,28.78
SN.TB,1935,28.82
SN.TB,1936,28.98
SN.TB,1937,29.17
SN.TB,1938,29.15
SN.TB,1939,28.98
SN.TB,1940,28.89
SN.TB,1941,29.22
SN.TB,1942,28.9
SN.TB,1943,28.72
SN.TB,1944,29.24
SN.TB,1945,29.47
SN.TB,1946,28.99
SN.TB,1947,29.1
SN.TB,1948,28.87
SN.TB,1949,28.98
SN.TB,1950,28.62
SN.TB,1951,28.53
SN.TB,1952,28.17
SN.TB,1953,28.55
SN.TB,1954,28.42
SN.TB,1955,28.55
SN.TB,1956,28.36
SN.TB,1957,28.49
SN.TB,1958,28.85
SN.TB,1959,28.63
SN.TB,1960,28.67
SN.TB,1961,28.71
SN.TB,1962,28.72
SN.TB,1963,28.85
SN.TB,1964,28.65
SN.TB,1965,28.32
SN.TB,1966,28.73
SN.TB,1967,28.16
SN.TB,1968,28.74
SN.TB,1969,29.44
SN.TB,1970,29.27
SN.TB,1971,28.57
SN.TB,1972,29.01
SN.TB,1973,29.13
SN.TB,1974,28.26
SN.TB,1975,28.38
SN.TB,1976,28.29
SN.TB,1977,29.08
SN.TB,1978,28.8
SN.TB,1979,29.24
SN.TB,1980,29.36
SN.TB,1981,29.07
SN.TB,1982,28.65
SN.TB,1983,29.65
SN.TB,1984,29.02
SN.TB,1985,28.96
SN.TB,1986,28.66
SN.TB,1987,29.38
SN.TB,1988,28.95
SN.TB,1989,28.85
SN.TB,1990,29.38
SN.TB,1991,29.35
SN.TB,1992,29.17
SN.TB,1993,29.45
SN.TB,1994,28.88
SN.TB,1995,29.2
SN.TB,1996,29.57
SN.TB,1997,29.57
SN.TB,1998,30.12
SN.TB,1999,29.01
SN.TB,2000,29.22
SN.TB,2001,29.67
SN.TB,2002,29.73
SN.TB,2003,29.64
SN.TB,2004,29.73
SN.TB,2005,29.8
SN.TB,2006,29.64
SN.TB,2007,29.69
SN.TB,2008,29.62
SN.TB,2009,29.34
SN.TB,2010,30.12
SN.TB,2011,29.68
SN.TB,2012,29.47
SN.TB,2013,29.66
SN.TB,2014,29.58
SN.TB,2015,29.86
SN.TB,2016,30.08
SN.TB,2017,30.04
SN.TB,2018,29.68
SN.TB,2019,29.55
SN.TB,2020,30.2
SN.TB,2021,30.42
SN.TB,2022,29.65
