Geography,Year,Count
TG.MA,1901,26.66
TG.MA,1902,26.73
TG.MA,1903,26.73
TG.MA,1904,26.73
TG.MA,1905,26.51
TG.MA,1906,27.01
TG.MA,1907,26.73
TG.MA,1908,26.73
TG.MA,1909,26.58
TG.MA,1910,26.87
TG.MA,1911,26.7
TG.MA,1912,26.85
TG.MA,1913,27.05
TG.MA,1914,27.23
TG.MA,1915,26.73
TG.MA,1916,26.73
TG.MA,1917,26.73
TG.MA,1918,26.73
TG.MA,1919,26.73
TG.MA,1920,26.78
TG.MA,1921,26.72
TG.MA,1922,26.74
TG.MA,1923,26.5
TG.MA,1924,26.69
TG.MA,1925,26.1
TG.MA,1926,26.84
TG.MA,1927,26.11
TG.MA,1928,26.1
TG.MA,1929,25.99
TG.MA,1930,26.89
TG.MA,1931,27.01
TG.MA,1932,27.11
TG.MA,1933,27.09
TG.MA,1934,27.11
TG.MA,1935,27.01
TG.MA,1936,26.53
TG.MA,1937,27.49
TG.MA,1938,27.58
TG.MA,1939,27.13
TG.MA,1940,26.81
TG.MA,1941,27.33
TG.MA,1942,27.02
TG.MA,1943,26.7
TG.MA,1944,27.03
TG.MA,1945,26.74
TG.MA,1946,26.63
TG.MA,1947,26.91
TG.MA,1948,26.48
TG.MA,1949,27.01
TG.MA,1950,26.51
TG.MA,1951,27.08
TG.MA,1952,26.75
TG.MA,1953,26.57
TG.MA,1954,26.23
TG.MA,1955,26.26
TG.MA,1956,26.29
TG.MA,1957,26.46
TG.MA,1958,26.61
TG.MA,1959,26.62
TG.MA,1960,26.53
TG.MA,1961,26.47
TG.MA,1962,26.42
TG.MA,1963,26.8
TG.MA,1964,26.35
TG.MA,1965,26.5
TG.MA,1966,26.82
TG.MA,1967,26.42
TG.MA,1968,26.7
TG.MA,1969,26.96
TG.MA,1970,26.71
TG.MA,1971,25.97
TG.MA,1972,26.34
TG.MA,1973,26.76
TG.MA,1974,26.02
TG.MA,1975,25.84
TG.MA,1976,25.87
TG.MA,1977,26.64
TG.MA,1978,26.23
TG.MA,1979,26.6
TG.MA,1980,26.52
TG.MA,1981,27.14
TG.MA,1982,26.98
TG.MA,1983,27.34
TG.MA,1984,27.24
TG.MA,1985,27.05
TG.MA,1986,26.86
TG.MA,1987,27.15
TG.MA,1988,26.62
TG.MA,1989,26.32
TG.MA,1990,26.69
TG.MA,1991,26.54
TG.MA,1992,26.5
TG.MA,1993,26.56
TG.MA,1994,26.52
TG.MA,1995,26.75
TG.MA,1996,26.74
TG.MA,1997,26.67
TG.MA,1998,27.28
TG.MA,1999,26.71
TG.MA,2000,27.02
TG.MA,2001,27.13
TG.MA,2002,27.14
TG.MA,2003,27.25
TG.MA,2004,27.08
TG.MA,2005,27.36
TG.MA,2006,27.32
TG.MA,2007,27.26
TG.MA,2008,27.01
TG.MA,2009,27.27
TG.MA,2010,27.67
TG.MA,2011,27.25
TG.MA,2012,27.02
TG.MA,2013,27.2
TG.MA,2014,27.39
TG.MA,2015,27.49
TG.MA,2016,27.71
TG.MA,2017,27.57
TG.MA,2018,27.48
TG.MA,2019,27.36
TG.MA,2020,27.62
TG.MA,2021,27.8
TG.MA,2022,27.28
