Geography,Year,Count
TZ.AS,1901,20.26
TZ.AS,1902,20.58
TZ.AS,1903,20.37
TZ.AS,1904,19.87
TZ.AS,1905,20.06
TZ.AS,1906,19.62
TZ.AS,1907,19.72
TZ.AS,1908,20.32
TZ.AS,1909,19.14
TZ.AS,1910,18.94
TZ.AS,1911,19.4
TZ.AS,1912,19.31
TZ.AS,1913,18.58
TZ.AS,1914,19.11
TZ.AS,1915,18.99
TZ.AS,1916,18.45
TZ.AS,1917,17.85
TZ.AS,1918,18.34
TZ.AS,1919,18.63
TZ.AS,1920,18.6
TZ.AS,1921,20.27
TZ.AS,1922,20.13
TZ.AS,1923,20.02
TZ.AS,1924,20.46
TZ.AS,1925,20.3
TZ.AS,1926,20.73
TZ.AS,1927,20.48
TZ.AS,1928,20.76
TZ.AS,1929,18.12
TZ.AS,1930,18.47
TZ.AS,1931,19.83
TZ.AS,1932,19.34
TZ.AS,1933,19.51
TZ.AS,1934,19.54
TZ.AS,1935,19.61
TZ.AS,1936,19.44
TZ.AS,1937,19.44
TZ.AS,1938,19.71
TZ.AS,1939,19.89
TZ.AS,1940,20.37
TZ.AS,1941,20.2
TZ.AS,1942,20.03
TZ.AS,1943,20.02
TZ.AS,1944,20.26
TZ.AS,1945,20.27
TZ.AS,1946,20.32
TZ.AS,1947,20.06
TZ.AS,1948,20.22
TZ.AS,1949,20.51
TZ.AS,1950,19.87
TZ.AS,1951,20.37
TZ.AS,1952,20.82
TZ.AS,1953,20.85
TZ.AS,1954,20.61
TZ.AS,1955,20.5
TZ.AS,1956,20.16
TZ.AS,1957,20.53
TZ.AS,1958,20.75
TZ.AS,1959,20.61
TZ.AS,1960,20.41
TZ.AS,1961,20.7
TZ.AS,1962,20.25
TZ.AS,1963,20.15
TZ.AS,1964,20.1
TZ.AS,1965,20.19
TZ.AS,1966,20.54
TZ.AS,1967,20.27
TZ.AS,1968,19.67
TZ.AS,1969,20.62
TZ.AS,1970,20.45
TZ.AS,1971,19.97
TZ.AS,1972,20.58
TZ.AS,1973,20.75
TZ.AS,1974,20.37
TZ.AS,1975,20.32
TZ.AS,1976,20.61
TZ.AS,1977,20.53
TZ.AS,1978,20.37
TZ.AS,1979,20.41
TZ.AS,1980,20.61
TZ.AS,1981,20.56
TZ.AS,1982,20.53
TZ.AS,1983,21.05
TZ.AS,1984,20.46
TZ.AS,1985,20.38
TZ.AS,1986,20.53
TZ.AS,1987,21.03
TZ.AS,1988,20.97
TZ.AS,1989,20.27
TZ.AS,1990,20.68
TZ.AS,1991,20.78
TZ.AS,1992,20.7
TZ.AS,1993,20.59
TZ.AS,1994,20.84
TZ.AS,1995,20.94
TZ.AS,1996,20.81
TZ.AS,1997,20.87
TZ.AS,1998,21.04
TZ.AS,1999,20.99
TZ.AS,2000,20.96
TZ.AS,2001,21.03
TZ.AS,2002,21.25
TZ.AS,2003,21.43
TZ.AS,2004,20.94
TZ.AS,2005,20.85
TZ.AS,2006,20.96
TZ.AS,2007,20.86
TZ.AS,2008,20.74
TZ.AS,2009,21.32
TZ.AS,2010,21.3
TZ.AS,2011,20.98
TZ.AS,2012,20.85
TZ.AS,2013,21.07
TZ.AS,2014,20.99
TZ.AS,2015,21.11
TZ.AS,2016,21.45
TZ.AS,2017,21.42
TZ.AS,2018,21.01
TZ.AS,2019,21.51
TZ.AS,2020,21.31
TZ.AS,2021,21.17
TZ.AS,2022,21.08
