Geography,Year,Count
TZ.IG,1901,20.83
TZ.IG,1902,21.17
TZ.IG,1903,20.95
TZ.IG,1904,20.59
TZ.IG,1905,20.84
TZ.IG,1906,20.41
TZ.IG,1907,20.46
TZ.IG,1908,20.92
TZ.IG,1909,20.14
TZ.IG,1910,19.97
TZ.IG,1911,20.38
TZ.IG,1912,20.28
TZ.IG,1913,20.05
TZ.IG,1914,20.35
TZ.IG,1915,20.28
TZ.IG,1916,19.99
TZ.IG,1917,19.66
TZ.IG,1918,19.93
TZ.IG,1919,20.09
TZ.IG,1920,20.08
TZ.IG,1921,20.96
TZ.IG,1922,20.9
TZ.IG,1923,20.83
TZ.IG,1924,21.06
TZ.IG,1925,20.97
TZ.IG,1926,21.21
TZ.IG,1927,21.07
TZ.IG,1928,21.22
TZ.IG,1929,19.86
TZ.IG,1930,20.02
TZ.IG,1931,20.7
TZ.IG,1932,20.4
TZ.IG,1933,20.4
TZ.IG,1934,20.49
TZ.IG,1935,20.64
TZ.IG,1936,20.56
TZ.IG,1937,20.52
TZ.IG,1938,20.76
TZ.IG,1939,20.72
TZ.IG,1940,20.94
TZ.IG,1941,21.11
TZ.IG,1942,20.88
TZ.IG,1943,20.78
TZ.IG,1944,20.97
TZ.IG,1945,20.85
TZ.IG,1946,20.9
TZ.IG,1947,20.8
TZ.IG,1948,21.05
TZ.IG,1949,21.4
TZ.IG,1950,20.71
TZ.IG,1951,21.07
TZ.IG,1952,21.29
TZ.IG,1953,21.35
TZ.IG,1954,21.18
TZ.IG,1955,21.08
TZ.IG,1956,20.79
TZ.IG,1957,21.17
TZ.IG,1958,21.45
TZ.IG,1959,21.37
TZ.IG,1960,21.04
TZ.IG,1961,21.32
TZ.IG,1962,20.88
TZ.IG,1963,20.69
TZ.IG,1964,20.74
TZ.IG,1965,20.69
TZ.IG,1966,21.22
TZ.IG,1967,21.04
TZ.IG,1968,20.66
TZ.IG,1969,21.35
TZ.IG,1970,21.09
TZ.IG,1971,20.66
TZ.IG,1972,21.01
TZ.IG,1973,21.2
TZ.IG,1974,20.81
TZ.IG,1975,20.9
TZ.IG,1976,21.01
TZ.IG,1977,21.22
TZ.IG,1978,21.01
TZ.IG,1979,21.04
TZ.IG,1980,21.09
TZ.IG,1981,21.05
TZ.IG,1982,21.12
TZ.IG,1983,21.69
TZ.IG,1984,21.0
TZ.IG,1985,20.88
TZ.IG,1986,21.01
TZ.IG,1987,21.65
TZ.IG,1988,21.54
TZ.IG,1989,20.89
TZ.IG,1990,21.4
TZ.IG,1991,21.3
TZ.IG,1992,21.45
TZ.IG,1993,21.23
TZ.IG,1994,21.46
TZ.IG,1995,21.65
TZ.IG,1996,21.43
TZ.IG,1997,21.65
TZ.IG,1998,21.84
TZ.IG,1999,21.47
TZ.IG,2000,21.45
TZ.IG,2001,21.54
TZ.IG,2002,21.7
TZ.IG,2003,21.96
TZ.IG,2004,21.46
TZ.IG,2005,21.98
TZ.IG,2006,21.48
TZ.IG,2007,21.51
TZ.IG,2008,21.27
TZ.IG,2009,21.59
TZ.IG,2010,21.89
TZ.IG,2011,21.47
TZ.IG,2012,21.47
TZ.IG,2013,21.63
TZ.IG,2014,21.62
TZ.IG,2015,21.77
TZ.IG,2016,21.84
TZ.IG,2017,21.94
TZ.IG,2018,21.54
TZ.IG,2019,21.93
TZ.IG,2020,21.8
TZ.IG,2021,21.68
TZ.IG,2022,21.59
