Geography,Year,Count
TZ.KA,1901,22.14
TZ.KA,1902,22.37
TZ.KA,1903,22.18
TZ.KA,1904,22.06
TZ.KA,1905,21.98
TZ.KA,1906,21.6
TZ.KA,1907,21.59
TZ.KA,1908,22.1
TZ.KA,1909,21.65
TZ.KA,1910,21.57
TZ.KA,1911,21.54
TZ.KA,1912,21.71
TZ.KA,1913,21.47
TZ.KA,1914,21.66
TZ.KA,1915,21.61
TZ.KA,1916,21.41
TZ.KA,1917,21.19
TZ.KA,1918,21.37
TZ.KA,1919,21.49
TZ.KA,1920,21.48
TZ.KA,1921,22.08
TZ.KA,1922,22.02
TZ.KA,1923,21.99
TZ.KA,1924,22.14
TZ.KA,1925,22.08
TZ.KA,1926,22.24
TZ.KA,1927,22.15
TZ.KA,1928,22.26
TZ.KA,1929,21.29
TZ.KA,1930,21.42
TZ.KA,1931,21.85
TZ.KA,1932,21.61
TZ.KA,1933,21.53
TZ.KA,1934,21.6
TZ.KA,1935,21.81
TZ.KA,1936,21.75
TZ.KA,1937,21.66
TZ.KA,1938,21.95
TZ.KA,1939,21.85
TZ.KA,1940,22.04
TZ.KA,1941,22.22
TZ.KA,1942,21.8
TZ.KA,1943,21.83
TZ.KA,1944,21.96
TZ.KA,1945,21.89
TZ.KA,1946,21.99
TZ.KA,1947,21.81
TZ.KA,1948,22.05
TZ.KA,1949,22.46
TZ.KA,1950,21.63
TZ.KA,1951,21.89
TZ.KA,1952,22.22
TZ.KA,1953,22.34
TZ.KA,1954,22.12
TZ.KA,1955,22.08
TZ.KA,1956,21.73
TZ.KA,1957,22.12
TZ.KA,1958,22.37
TZ.KA,1959,22.27
TZ.KA,1960,22.0
TZ.KA,1961,22.33
TZ.KA,1962,21.87
TZ.KA,1963,21.78
TZ.KA,1964,21.82
TZ.KA,1965,21.76
TZ.KA,1966,22.32
TZ.KA,1967,22.02
TZ.KA,1968,21.71
TZ.KA,1969,22.44
TZ.KA,1970,22.1
TZ.KA,1971,21.72
TZ.KA,1972,22.13
TZ.KA,1973,22.26
TZ.KA,1974,21.92
TZ.KA,1975,21.95
TZ.KA,1976,22.08
TZ.KA,1977,22.36
TZ.KA,1978,22.13
TZ.KA,1979,22.12
TZ.KA,1980,22.18
TZ.KA,1981,22.21
TZ.KA,1982,22.27
TZ.KA,1983,22.89
TZ.KA,1984,22.19
TZ.KA,1985,22.08
TZ.KA,1986,22.1
TZ.KA,1987,22.77
TZ.KA,1988,22.6
TZ.KA,1989,22.11
TZ.KA,1990,22.57
TZ.KA,1991,22.41
TZ.KA,1992,22.56
TZ.KA,1993,22.33
TZ.KA,1994,22.66
TZ.KA,1995,22.9
TZ.KA,1996,22.56
TZ.KA,1997,22.89
TZ.KA,1998,22.91
TZ.KA,1999,22.63
TZ.KA,2000,22.63
TZ.KA,2001,22.64
TZ.KA,2002,22.85
TZ.KA,2003,23.12
TZ.KA,2004,22.57
TZ.KA,2005,23.24
TZ.KA,2006,22.51
TZ.KA,2007,22.54
TZ.KA,2008,22.29
TZ.KA,2009,22.6
TZ.KA,2010,22.97
TZ.KA,2011,22.42
TZ.KA,2012,22.56
TZ.KA,2013,22.73
TZ.KA,2014,22.58
TZ.KA,2015,22.73
TZ.KA,2016,22.87
TZ.KA,2017,23.03
TZ.KA,2018,22.54
TZ.KA,2019,22.84
TZ.KA,2020,22.62
TZ.KA,2021,22.65
TZ.KA,2022,22.58
