Geography,Year,Count
TZ.KM,1901,22.45
TZ.KM,1902,22.64
TZ.KM,1903,22.47
TZ.KM,1904,22.29
TZ.KM,1905,22.17
TZ.KM,1906,21.8
TZ.KM,1907,21.78
TZ.KM,1908,22.33
TZ.KM,1909,21.72
TZ.KM,1910,21.68
TZ.KM,1911,21.7
TZ.KM,1912,21.78
TZ.KM,1913,21.61
TZ.KM,1914,21.83
TZ.KM,1915,21.77
TZ.KM,1916,21.56
TZ.KM,1917,21.31
TZ.KM,1918,21.51
TZ.KM,1919,21.64
TZ.KM,1920,21.62
TZ.KM,1921,22.29
TZ.KM,1922,22.23
TZ.KM,1923,22.19
TZ.KM,1924,22.36
TZ.KM,1925,22.3
TZ.KM,1926,22.47
TZ.KM,1927,22.37
TZ.KM,1928,22.48
TZ.KM,1929,21.42
TZ.KM,1930,21.56
TZ.KM,1931,22.04
TZ.KM,1932,21.79
TZ.KM,1933,21.73
TZ.KM,1934,21.78
TZ.KM,1935,22.0
TZ.KM,1936,21.91
TZ.KM,1937,21.84
TZ.KM,1938,22.09
TZ.KM,1939,22.06
TZ.KM,1940,22.24
TZ.KM,1941,22.41
TZ.KM,1942,21.94
TZ.KM,1943,22.04
TZ.KM,1944,22.14
TZ.KM,1945,22.09
TZ.KM,1946,22.17
TZ.KM,1947,21.97
TZ.KM,1948,22.21
TZ.KM,1949,22.58
TZ.KM,1950,21.78
TZ.KM,1951,22.14
TZ.KM,1952,22.4
TZ.KM,1953,22.52
TZ.KM,1954,22.34
TZ.KM,1955,22.28
TZ.KM,1956,22.09
TZ.KM,1957,22.41
TZ.KM,1958,22.62
TZ.KM,1959,22.43
TZ.KM,1960,22.21
TZ.KM,1961,22.47
TZ.KM,1962,22.14
TZ.KM,1963,22.08
TZ.KM,1964,22.12
TZ.KM,1965,22.12
TZ.KM,1966,22.5
TZ.KM,1967,22.24
TZ.KM,1968,21.93
TZ.KM,1969,22.63
TZ.KM,1970,22.3
TZ.KM,1971,22.01
TZ.KM,1972,22.36
TZ.KM,1973,22.47
TZ.KM,1974,22.18
TZ.KM,1975,22.17
TZ.KM,1976,22.37
TZ.KM,1977,22.55
TZ.KM,1978,22.42
TZ.KM,1979,22.31
TZ.KM,1980,22.43
TZ.KM,1981,22.42
TZ.KM,1982,22.49
TZ.KM,1983,22.88
TZ.KM,1984,22.39
TZ.KM,1985,22.32
TZ.KM,1986,22.34
TZ.KM,1987,22.93
TZ.KM,1988,22.75
TZ.KM,1989,22.32
TZ.KM,1990,22.67
TZ.KM,1991,22.62
TZ.KM,1992,22.68
TZ.KM,1993,22.52
TZ.KM,1994,22.77
TZ.KM,1995,23.07
TZ.KM,1996,22.76
TZ.KM,1997,23.05
TZ.KM,1998,23.02
TZ.KM,1999,22.9
TZ.KM,2000,22.93
TZ.KM,2001,22.88
TZ.KM,2002,23.14
TZ.KM,2003,23.36
TZ.KM,2004,22.8
TZ.KM,2005,23.3
TZ.KM,2006,22.78
TZ.KM,2007,22.78
TZ.KM,2008,22.55
TZ.KM,2009,22.93
TZ.KM,2010,23.18
TZ.KM,2011,22.65
TZ.KM,2012,22.75
TZ.KM,2013,22.95
TZ.KM,2014,22.75
TZ.KM,2015,22.88
TZ.KM,2016,23.07
TZ.KM,2017,23.29
TZ.KM,2018,22.76
TZ.KM,2019,23.05
TZ.KM,2020,22.82
TZ.KM,2021,22.88
TZ.KM,2022,22.81
