Geography,Year,Count
TZ.LI,1901,24.44
TZ.LI,1902,24.79
TZ.LI,1903,24.58
TZ.LI,1904,24.24
TZ.LI,1905,24.54
TZ.LI,1906,24.11
TZ.LI,1907,24.19
TZ.LI,1908,24.59
TZ.LI,1909,24.06
TZ.LI,1910,23.91
TZ.LI,1911,24.27
TZ.LI,1912,24.2
TZ.LI,1913,24.32
TZ.LI,1914,24.45
TZ.LI,1915,24.42
TZ.LI,1916,24.29
TZ.LI,1917,24.14
TZ.LI,1918,24.26
TZ.LI,1919,24.33
TZ.LI,1920,24.33
TZ.LI,1921,24.72
TZ.LI,1922,24.69
TZ.LI,1923,24.67
TZ.LI,1924,24.76
TZ.LI,1925,24.72
TZ.LI,1926,24.83
TZ.LI,1927,24.76
TZ.LI,1928,24.87
TZ.LI,1929,24.43
TZ.LI,1930,24.37
TZ.LI,1931,24.72
TZ.LI,1932,24.55
TZ.LI,1933,24.52
TZ.LI,1934,24.54
TZ.LI,1935,24.52
TZ.LI,1936,24.56
TZ.LI,1937,24.53
TZ.LI,1938,24.65
TZ.LI,1939,24.57
TZ.LI,1940,24.73
TZ.LI,1941,24.91
TZ.LI,1942,24.8
TZ.LI,1943,24.66
TZ.LI,1944,24.77
TZ.LI,1945,24.63
TZ.LI,1946,24.66
TZ.LI,1947,24.69
TZ.LI,1948,24.93
TZ.LI,1949,25.18
TZ.LI,1950,24.58
TZ.LI,1951,24.91
TZ.LI,1952,25.09
TZ.LI,1953,25.09
TZ.LI,1954,24.96
TZ.LI,1955,24.78
TZ.LI,1956,24.52
TZ.LI,1957,24.96
TZ.LI,1958,25.22
TZ.LI,1959,25.14
TZ.LI,1960,24.8
TZ.LI,1961,25.07
TZ.LI,1962,24.68
TZ.LI,1963,24.42
TZ.LI,1964,24.48
TZ.LI,1965,24.39
TZ.LI,1966,24.97
TZ.LI,1967,24.86
TZ.LI,1968,24.52
TZ.LI,1969,25.1
TZ.LI,1970,24.94
TZ.LI,1971,24.47
TZ.LI,1972,24.74
TZ.LI,1973,24.88
TZ.LI,1974,24.47
TZ.LI,1975,24.6
TZ.LI,1976,24.66
TZ.LI,1977,24.93
TZ.LI,1978,24.74
TZ.LI,1979,24.74
TZ.LI,1980,24.77
TZ.LI,1981,24.63
TZ.LI,1982,24.75
TZ.LI,1983,25.32
TZ.LI,1984,24.66
TZ.LI,1985,24.5
TZ.LI,1986,24.66
TZ.LI,1987,25.3
TZ.LI,1988,25.23
TZ.LI,1989,24.57
TZ.LI,1990,25.09
TZ.LI,1991,24.95
TZ.LI,1992,25.14
TZ.LI,1993,24.93
TZ.LI,1994,25.12
TZ.LI,1995,25.27
TZ.LI,1996,25.06
TZ.LI,1997,25.23
TZ.LI,1998,25.53
TZ.LI,1999,25.05
TZ.LI,2000,25.06
TZ.LI,2001,25.21
TZ.LI,2002,25.36
TZ.LI,2003,25.53
TZ.LI,2004,25.11
TZ.LI,2005,25.47
TZ.LI,2006,25.22
TZ.LI,2007,25.31
TZ.LI,2008,25.03
TZ.LI,2009,25.29
TZ.LI,2010,25.56
TZ.LI,2011,25.17
TZ.LI,2012,25.16
TZ.LI,2013,25.3
TZ.LI,2014,25.32
TZ.LI,2015,25.52
TZ.LI,2016,25.49
TZ.LI,2017,25.58
TZ.LI,2018,25.24
TZ.LI,2019,25.63
TZ.LI,2020,25.54
TZ.LI,2021,25.41
TZ.LI,2022,25.26
