Geography,Year,Count
TZ.MO,1901,23.92
TZ.MO,1902,24.28
TZ.MO,1903,24.06
TZ.MO,1904,23.67
TZ.MO,1905,23.95
TZ.MO,1906,23.5
TZ.MO,1907,23.57
TZ.MO,1908,24.04
TZ.MO,1909,23.25
TZ.MO,1910,23.08
TZ.MO,1911,23.5
TZ.MO,1912,23.4
TZ.MO,1913,23.2
TZ.MO,1914,23.49
TZ.MO,1915,23.42
TZ.MO,1916,23.13
TZ.MO,1917,22.8
TZ.MO,1918,23.07
TZ.MO,1919,23.23
TZ.MO,1920,23.22
TZ.MO,1921,24.1
TZ.MO,1922,24.03
TZ.MO,1923,23.97
TZ.MO,1924,24.19
TZ.MO,1925,24.11
TZ.MO,1926,24.34
TZ.MO,1927,24.2
TZ.MO,1928,24.36
TZ.MO,1929,23.06
TZ.MO,1930,23.19
TZ.MO,1931,23.89
TZ.MO,1932,23.6
TZ.MO,1933,23.62
TZ.MO,1934,23.68
TZ.MO,1935,23.77
TZ.MO,1936,23.71
TZ.MO,1937,23.68
TZ.MO,1938,23.89
TZ.MO,1939,23.87
TZ.MO,1940,24.11
TZ.MO,1941,24.22
TZ.MO,1942,24.07
TZ.MO,1943,23.96
TZ.MO,1944,24.14
TZ.MO,1945,24.03
TZ.MO,1946,24.07
TZ.MO,1947,24.0
TZ.MO,1948,24.22
TZ.MO,1949,24.52
TZ.MO,1950,23.89
TZ.MO,1951,24.25
TZ.MO,1952,24.49
TZ.MO,1953,24.52
TZ.MO,1954,24.36
TZ.MO,1955,24.22
TZ.MO,1956,23.93
TZ.MO,1957,24.33
TZ.MO,1958,24.6
TZ.MO,1959,24.52
TZ.MO,1960,24.17
TZ.MO,1961,24.49
TZ.MO,1962,24.05
TZ.MO,1963,23.84
TZ.MO,1964,23.87
TZ.MO,1965,23.84
TZ.MO,1966,24.37
TZ.MO,1967,24.21
TZ.MO,1968,23.8
TZ.MO,1969,24.5
TZ.MO,1970,24.28
TZ.MO,1971,23.82
TZ.MO,1972,24.18
TZ.MO,1973,24.34
TZ.MO,1974,23.96
TZ.MO,1975,24.03
TZ.MO,1976,24.14
TZ.MO,1977,24.33
TZ.MO,1978,24.14
TZ.MO,1979,24.15
TZ.MO,1980,24.23
TZ.MO,1981,24.15
TZ.MO,1982,24.22
TZ.MO,1983,24.79
TZ.MO,1984,24.1
TZ.MO,1985,23.99
TZ.MO,1986,24.14
TZ.MO,1987,24.75
TZ.MO,1988,24.69
TZ.MO,1989,24.01
TZ.MO,1990,24.5
TZ.MO,1991,24.43
TZ.MO,1992,24.56
TZ.MO,1993,24.36
TZ.MO,1994,24.58
TZ.MO,1995,24.74
TZ.MO,1996,24.55
TZ.MO,1997,24.71
TZ.MO,1998,24.95
TZ.MO,1999,24.57
TZ.MO,2000,24.58
TZ.MO,2001,24.69
TZ.MO,2002,24.84
TZ.MO,2003,25.05
TZ.MO,2004,24.58
TZ.MO,2005,24.94
TZ.MO,2006,24.64
TZ.MO,2007,24.67
TZ.MO,2008,24.43
TZ.MO,2009,24.75
TZ.MO,2010,25.02
TZ.MO,2011,24.62
TZ.MO,2012,24.6
TZ.MO,2013,24.76
TZ.MO,2014,24.76
TZ.MO,2015,24.92
TZ.MO,2016,24.98
TZ.MO,2017,25.08
TZ.MO,2018,24.67
TZ.MO,2019,25.08
TZ.MO,2020,24.98
TZ.MO,2021,24.84
TZ.MO,2022,24.73
