Geography,Year,Count
TZ.MZ,1901,22.41
TZ.MZ,1902,22.64
TZ.MZ,1903,22.46
TZ.MZ,1904,21.96
TZ.MZ,1905,22.07
TZ.MZ,1906,21.62
TZ.MZ,1907,21.69
TZ.MZ,1908,22.35
TZ.MZ,1909,21.05
TZ.MZ,1910,20.95
TZ.MZ,1911,21.42
TZ.MZ,1912,21.17
TZ.MZ,1913,20.76
TZ.MZ,1914,21.24
TZ.MZ,1915,21.12
TZ.MZ,1916,20.64
TZ.MZ,1917,20.1
TZ.MZ,1918,20.54
TZ.MZ,1919,20.82
TZ.MZ,1920,20.78
TZ.MZ,1921,22.27
TZ.MZ,1922,22.14
TZ.MZ,1923,22.06
TZ.MZ,1924,22.43
TZ.MZ,1925,22.3
TZ.MZ,1926,22.68
TZ.MZ,1927,22.46
TZ.MZ,1928,22.7
TZ.MZ,1929,20.34
TZ.MZ,1930,20.65
TZ.MZ,1931,21.87
TZ.MZ,1932,21.42
TZ.MZ,1933,21.55
TZ.MZ,1934,21.59
TZ.MZ,1935,21.69
TZ.MZ,1936,21.54
TZ.MZ,1937,21.53
TZ.MZ,1938,21.78
TZ.MZ,1939,21.92
TZ.MZ,1940,22.27
TZ.MZ,1941,22.34
TZ.MZ,1942,22.02
TZ.MZ,1943,22.09
TZ.MZ,1944,22.23
TZ.MZ,1945,22.2
TZ.MZ,1946,22.19
TZ.MZ,1947,21.97
TZ.MZ,1948,22.16
TZ.MZ,1949,22.5
TZ.MZ,1950,21.79
TZ.MZ,1951,22.33
TZ.MZ,1952,22.65
TZ.MZ,1953,22.76
TZ.MZ,1954,22.51
TZ.MZ,1955,22.45
TZ.MZ,1956,22.15
TZ.MZ,1957,22.5
TZ.MZ,1958,22.73
TZ.MZ,1959,22.57
TZ.MZ,1960,22.41
TZ.MZ,1961,22.54
TZ.MZ,1962,22.15
TZ.MZ,1963,22.12
TZ.MZ,1964,22.11
TZ.MZ,1965,22.18
TZ.MZ,1966,22.5
TZ.MZ,1967,22.2
TZ.MZ,1968,21.68
TZ.MZ,1969,22.55
TZ.MZ,1970,22.4
TZ.MZ,1971,21.98
TZ.MZ,1972,22.5
TZ.MZ,1973,22.68
TZ.MZ,1974,22.29
TZ.MZ,1975,22.28
TZ.MZ,1976,22.57
TZ.MZ,1977,22.54
TZ.MZ,1978,22.38
TZ.MZ,1979,22.39
TZ.MZ,1980,22.57
TZ.MZ,1981,22.58
TZ.MZ,1982,22.59
TZ.MZ,1983,23.0
TZ.MZ,1984,22.5
TZ.MZ,1985,22.38
TZ.MZ,1986,22.52
TZ.MZ,1987,23.05
TZ.MZ,1988,22.89
TZ.MZ,1989,22.27
TZ.MZ,1990,22.7
TZ.MZ,1991,22.72
TZ.MZ,1992,22.69
TZ.MZ,1993,22.62
TZ.MZ,1994,22.75
TZ.MZ,1995,23.03
TZ.MZ,1996,22.79
TZ.MZ,1997,22.93
TZ.MZ,1998,22.98
TZ.MZ,1999,23.05
TZ.MZ,2000,23.07
TZ.MZ,2001,23.11
TZ.MZ,2002,23.45
TZ.MZ,2003,23.52
TZ.MZ,2004,23.12
TZ.MZ,2005,23.09
TZ.MZ,2006,23.09
TZ.MZ,2007,23.06
TZ.MZ,2008,22.9
TZ.MZ,2009,23.47
TZ.MZ,2010,23.4
TZ.MZ,2011,23.02
TZ.MZ,2012,22.86
TZ.MZ,2013,23.05
TZ.MZ,2014,22.94
TZ.MZ,2015,23.0
TZ.MZ,2016,23.36
TZ.MZ,2017,23.4
TZ.MZ,2018,23.02
TZ.MZ,2019,23.44
TZ.MZ,2020,23.25
TZ.MZ,2021,23.14
TZ.MZ,2022,23.06
