Geography,Year,Count
TZ.PN,1901,25.77
TZ.PN,1902,26.13
TZ.PN,1903,25.91
TZ.PN,1904,25.4
TZ.PN,1905,25.67
TZ.PN,1906,25.21
TZ.PN,1907,25.38
TZ.PN,1908,25.95
TZ.PN,1909,24.94
TZ.PN,1910,24.72
TZ.PN,1911,25.06
TZ.PN,1912,25.12
TZ.PN,1913,24.6
TZ.PN,1914,24.99
TZ.PN,1915,24.98
TZ.PN,1916,24.55
TZ.PN,1917,24.14
TZ.PN,1918,24.44
TZ.PN,1919,24.58
TZ.PN,1920,24.56
TZ.PN,1921,25.98
TZ.PN,1922,25.94
TZ.PN,1923,25.73
TZ.PN,1924,26.25
TZ.PN,1925,26.05
TZ.PN,1926,26.34
TZ.PN,1927,26.16
TZ.PN,1928,26.42
TZ.PN,1929,24.34
TZ.PN,1930,24.57
TZ.PN,1931,25.6
TZ.PN,1932,25.13
TZ.PN,1933,25.36
TZ.PN,1934,25.38
TZ.PN,1935,25.4
TZ.PN,1936,25.26
TZ.PN,1937,25.33
TZ.PN,1938,25.48
TZ.PN,1939,25.67
TZ.PN,1940,26.09
TZ.PN,1941,25.84
TZ.PN,1942,25.8
TZ.PN,1943,25.76
TZ.PN,1944,26.02
TZ.PN,1945,26.02
TZ.PN,1946,26.05
TZ.PN,1947,25.82
TZ.PN,1948,26.02
TZ.PN,1949,26.18
TZ.PN,1950,25.71
TZ.PN,1951,26.14
TZ.PN,1952,26.59
TZ.PN,1953,26.51
TZ.PN,1954,26.34
TZ.PN,1955,26.16
TZ.PN,1956,25.83
TZ.PN,1957,26.21
TZ.PN,1958,26.45
TZ.PN,1959,26.32
TZ.PN,1960,26.01
TZ.PN,1961,26.49
TZ.PN,1962,26.04
TZ.PN,1963,25.79
TZ.PN,1964,25.75
TZ.PN,1965,25.83
TZ.PN,1966,26.25
TZ.PN,1967,26.07
TZ.PN,1968,25.5
TZ.PN,1969,26.42
TZ.PN,1970,26.2
TZ.PN,1971,25.66
TZ.PN,1972,26.2
TZ.PN,1973,26.35
TZ.PN,1974,26.04
TZ.PN,1975,25.99
TZ.PN,1976,26.15
TZ.PN,1977,26.13
TZ.PN,1978,26.0
TZ.PN,1979,26.01
TZ.PN,1980,26.2
TZ.PN,1981,26.07
TZ.PN,1982,26.09
TZ.PN,1983,26.59
TZ.PN,1984,25.91
TZ.PN,1985,25.95
TZ.PN,1986,26.1
TZ.PN,1987,26.63
TZ.PN,1988,26.64
TZ.PN,1989,25.85
TZ.PN,1990,26.25
TZ.PN,1991,26.37
TZ.PN,1992,26.3
TZ.PN,1993,26.16
TZ.PN,1994,26.42
TZ.PN,1995,26.46
TZ.PN,1996,26.38
TZ.PN,1997,26.41
TZ.PN,1998,26.67
TZ.PN,1999,26.46
TZ.PN,2000,26.49
TZ.PN,2001,26.6
TZ.PN,2002,26.77
TZ.PN,2003,26.99
TZ.PN,2004,26.44
TZ.PN,2005,26.31
TZ.PN,2006,26.53
TZ.PN,2007,26.52
TZ.PN,2008,26.33
TZ.PN,2009,26.79
TZ.PN,2010,26.89
TZ.PN,2011,26.62
TZ.PN,2012,26.5
TZ.PN,2013,26.66
TZ.PN,2014,26.66
TZ.PN,2015,26.82
TZ.PN,2016,27.01
TZ.PN,2017,27.05
TZ.PN,2018,26.59
TZ.PN,2019,27.1
TZ.PN,2020,26.99
TZ.PN,2021,26.79
TZ.PN,2022,26.71
