Geography,Year,Count
TZ.PS,1901,25.77
TZ.PS,1902,26.13
TZ.PS,1903,25.91
TZ.PS,1904,25.4
TZ.PS,1905,25.67
TZ.PS,1906,25.21
TZ.PS,1907,25.38
TZ.PS,1908,25.95
TZ.PS,1909,24.94
TZ.PS,1910,24.72
TZ.PS,1911,25.06
TZ.PS,1912,25.12
TZ.PS,1913,24.6
TZ.PS,1914,24.99
TZ.PS,1915,24.98
TZ.PS,1916,24.55
TZ.PS,1917,24.14
TZ.PS,1918,24.44
TZ.PS,1919,24.58
TZ.PS,1920,24.56
TZ.PS,1921,25.98
TZ.PS,1922,25.94
TZ.PS,1923,25.73
TZ.PS,1924,26.25
TZ.PS,1925,26.05
TZ.PS,1926,26.34
TZ.PS,1927,26.16
TZ.PS,1928,26.42
TZ.PS,1929,24.34
TZ.PS,1930,24.57
TZ.PS,1931,25.6
TZ.PS,1932,25.13
TZ.PS,1933,25.36
TZ.PS,1934,25.38
TZ.PS,1935,25.4
TZ.PS,1936,25.26
TZ.PS,1937,25.33
TZ.PS,1938,25.48
TZ.PS,1939,25.67
TZ.PS,1940,26.09
TZ.PS,1941,25.84
TZ.PS,1942,25.8
TZ.PS,1943,25.76
TZ.PS,1944,26.02
TZ.PS,1945,26.02
TZ.PS,1946,26.05
TZ.PS,1947,25.82
TZ.PS,1948,26.02
TZ.PS,1949,26.18
TZ.PS,1950,25.71
TZ.PS,1951,26.14
TZ.PS,1952,26.59
TZ.PS,1953,26.51
TZ.PS,1954,26.34
TZ.PS,1955,26.16
TZ.PS,1956,25.83
TZ.PS,1957,26.21
TZ.PS,1958,26.45
TZ.PS,1959,26.32
TZ.PS,1960,26.01
TZ.PS,1961,26.49
TZ.PS,1962,26.04
TZ.PS,1963,25.79
TZ.PS,1964,25.75
TZ.PS,1965,25.83
TZ.PS,1966,26.25
TZ.PS,1967,26.07
TZ.PS,1968,25.5
TZ.PS,1969,26.42
TZ.PS,1970,26.2
TZ.PS,1971,25.66
TZ.PS,1972,26.2
TZ.PS,1973,26.35
TZ.PS,1974,26.04
TZ.PS,1975,25.99
TZ.PS,1976,26.15
TZ.PS,1977,26.13
TZ.PS,1978,26.0
TZ.PS,1979,26.01
TZ.PS,1980,26.2
TZ.PS,1981,26.07
TZ.PS,1982,26.09
TZ.PS,1983,26.59
TZ.PS,1984,25.91
TZ.PS,1985,25.95
TZ.PS,1986,26.1
TZ.PS,1987,26.63
TZ.PS,1988,26.64
TZ.PS,1989,25.85
TZ.PS,1990,26.25
TZ.PS,1991,26.37
TZ.PS,1992,26.3
TZ.PS,1993,26.16
TZ.PS,1994,26.42
TZ.PS,1995,26.46
TZ.PS,1996,26.38
TZ.PS,1997,26.41
TZ.PS,1998,26.67
TZ.PS,1999,26.46
TZ.PS,2000,26.49
TZ.PS,2001,26.6
TZ.PS,2002,26.77
TZ.PS,2003,26.99
TZ.PS,2004,26.44
TZ.PS,2005,26.31
TZ.PS,2006,26.53
TZ.PS,2007,26.52
TZ.PS,2008,26.33
TZ.PS,2009,26.79
TZ.PS,2010,26.89
TZ.PS,2011,26.62
TZ.PS,2012,26.5
TZ.PS,2013,26.66
TZ.PS,2014,26.66
TZ.PS,2015,26.82
TZ.PS,2016,27.01
TZ.PS,2017,27.05
TZ.PS,2018,26.59
TZ.PS,2019,27.1
TZ.PS,2020,26.99
TZ.PS,2021,26.79
TZ.PS,2022,26.71
