Geography,Year,Count
TZ.PW,1901,25.45
TZ.PW,1902,25.81
TZ.PW,1903,25.58
TZ.PW,1904,25.17
TZ.PW,1905,25.45
TZ.PW,1906,24.98
TZ.PW,1907,25.09
TZ.PW,1908,25.6
TZ.PW,1909,24.72
TZ.PW,1910,24.54
TZ.PW,1911,24.99
TZ.PW,1912,24.88
TZ.PW,1913,24.59
TZ.PW,1914,24.92
TZ.PW,1915,24.84
TZ.PW,1916,24.51
TZ.PW,1917,24.13
TZ.PW,1918,24.44
TZ.PW,1919,24.63
TZ.PW,1920,24.61
TZ.PW,1921,25.64
TZ.PW,1922,25.56
TZ.PW,1923,25.49
TZ.PW,1924,25.75
TZ.PW,1925,25.66
TZ.PW,1926,25.93
TZ.PW,1927,25.77
TZ.PW,1928,25.94
TZ.PW,1929,24.33
TZ.PW,1930,24.53
TZ.PW,1931,25.37
TZ.PW,1932,25.07
TZ.PW,1933,25.16
TZ.PW,1934,25.22
TZ.PW,1935,25.29
TZ.PW,1936,25.21
TZ.PW,1937,25.2
TZ.PW,1938,25.37
TZ.PW,1939,25.43
TZ.PW,1940,25.7
TZ.PW,1941,25.67
TZ.PW,1942,25.6
TZ.PW,1943,25.51
TZ.PW,1944,25.7
TZ.PW,1945,25.65
TZ.PW,1946,25.68
TZ.PW,1947,25.58
TZ.PW,1948,25.76
TZ.PW,1949,26.03
TZ.PW,1950,25.46
TZ.PW,1951,25.84
TZ.PW,1952,26.15
TZ.PW,1953,26.14
TZ.PW,1954,25.95
TZ.PW,1955,25.79
TZ.PW,1956,25.49
TZ.PW,1957,25.89
TZ.PW,1958,26.16
TZ.PW,1959,26.06
TZ.PW,1960,25.71
TZ.PW,1961,26.12
TZ.PW,1962,25.67
TZ.PW,1963,25.43
TZ.PW,1964,25.43
TZ.PW,1965,25.44
TZ.PW,1966,25.94
TZ.PW,1967,25.78
TZ.PW,1968,25.3
TZ.PW,1969,26.07
TZ.PW,1970,25.87
TZ.PW,1971,25.37
TZ.PW,1972,25.77
TZ.PW,1973,25.93
TZ.PW,1974,25.57
TZ.PW,1975,25.61
TZ.PW,1976,25.74
TZ.PW,1977,25.85
TZ.PW,1978,25.67
TZ.PW,1979,25.69
TZ.PW,1980,25.82
TZ.PW,1981,25.69
TZ.PW,1982,25.75
TZ.PW,1983,26.26
TZ.PW,1984,25.61
TZ.PW,1985,25.54
TZ.PW,1986,25.71
TZ.PW,1987,26.29
TZ.PW,1988,26.29
TZ.PW,1989,25.54
TZ.PW,1990,26.01
TZ.PW,1991,26.0
TZ.PW,1992,26.03
TZ.PW,1993,25.88
TZ.PW,1994,26.09
TZ.PW,1995,26.21
TZ.PW,1996,26.08
TZ.PW,1997,26.2
TZ.PW,1998,26.45
TZ.PW,1999,26.13
TZ.PW,2000,26.16
TZ.PW,2001,26.25
TZ.PW,2002,26.41
TZ.PW,2003,26.58
TZ.PW,2004,26.11
TZ.PW,2005,26.23
TZ.PW,2006,26.23
TZ.PW,2007,26.25
TZ.PW,2008,26.01
TZ.PW,2009,26.35
TZ.PW,2010,26.56
TZ.PW,2011,26.24
TZ.PW,2012,26.16
TZ.PW,2013,26.33
TZ.PW,2014,26.32
TZ.PW,2015,26.48
TZ.PW,2016,26.56
TZ.PW,2017,26.67
TZ.PW,2018,26.21
TZ.PW,2019,26.64
TZ.PW,2020,26.59
TZ.PW,2021,26.39
TZ.PW,2022,26.29
