Geography,Year,Count
TZ.RV,1901,22.37
TZ.RV,1902,22.71
TZ.RV,1903,22.58
TZ.RV,1904,22.23
TZ.RV,1905,22.57
TZ.RV,1906,22.19
TZ.RV,1907,22.2
TZ.RV,1908,22.54
TZ.RV,1909,22.29
TZ.RV,1910,22.11
TZ.RV,1911,22.31
TZ.RV,1912,22.42
TZ.RV,1913,22.57
TZ.RV,1914,22.73
TZ.RV,1915,22.69
TZ.RV,1916,22.64
TZ.RV,1917,22.58
TZ.RV,1918,22.47
TZ.RV,1919,22.51
TZ.RV,1920,22.68
TZ.RV,1921,22.68
TZ.RV,1922,22.79
TZ.RV,1923,22.7
TZ.RV,1924,22.69
TZ.RV,1925,22.65
TZ.RV,1926,22.76
TZ.RV,1927,22.62
TZ.RV,1928,22.81
TZ.RV,1929,22.65
TZ.RV,1930,22.48
TZ.RV,1931,22.81
TZ.RV,1932,22.56
TZ.RV,1933,22.48
TZ.RV,1934,22.47
TZ.RV,1935,22.36
TZ.RV,1936,22.49
TZ.RV,1937,22.48
TZ.RV,1938,22.65
TZ.RV,1939,22.41
TZ.RV,1940,22.65
TZ.RV,1941,22.99
TZ.RV,1942,22.82
TZ.RV,1943,22.57
TZ.RV,1944,22.72
TZ.RV,1945,22.45
TZ.RV,1946,22.53
TZ.RV,1947,22.63
TZ.RV,1948,22.86
TZ.RV,1949,23.12
TZ.RV,1950,22.47
TZ.RV,1951,22.72
TZ.RV,1952,22.89
TZ.RV,1953,22.87
TZ.RV,1954,22.83
TZ.RV,1955,22.64
TZ.RV,1956,22.39
TZ.RV,1957,22.91
TZ.RV,1958,23.06
TZ.RV,1959,23.03
TZ.RV,1960,22.71
TZ.RV,1961,22.91
TZ.RV,1962,22.5
TZ.RV,1963,22.24
TZ.RV,1964,22.35
TZ.RV,1965,22.19
TZ.RV,1966,22.86
TZ.RV,1967,22.73
TZ.RV,1968,22.46
TZ.RV,1969,22.97
TZ.RV,1970,22.85
TZ.RV,1971,22.39
TZ.RV,1972,22.64
TZ.RV,1973,22.76
TZ.RV,1974,22.3
TZ.RV,1975,22.49
TZ.RV,1976,22.51
TZ.RV,1977,22.85
TZ.RV,1978,22.61
TZ.RV,1979,22.63
TZ.RV,1980,22.66
TZ.RV,1981,22.52
TZ.RV,1982,22.61
TZ.RV,1983,23.41
TZ.RV,1984,22.65
TZ.RV,1985,22.4
TZ.RV,1986,22.53
TZ.RV,1987,23.25
TZ.RV,1988,23.06
TZ.RV,1989,22.46
TZ.RV,1990,23.01
TZ.RV,1991,22.83
TZ.RV,1992,23.15
TZ.RV,1993,22.87
TZ.RV,1994,23.06
TZ.RV,1995,23.32
TZ.RV,1996,23.0
TZ.RV,1997,23.14
TZ.RV,1998,23.47
TZ.RV,1999,22.93
TZ.RV,2000,22.94
TZ.RV,2001,23.11
TZ.RV,2002,23.24
TZ.RV,2003,23.43
TZ.RV,2004,23.09
TZ.RV,2005,23.72
TZ.RV,2006,23.11
TZ.RV,2007,23.22
TZ.RV,2008,22.96
TZ.RV,2009,23.17
TZ.RV,2010,23.5
TZ.RV,2011,23.0
TZ.RV,2012,23.02
TZ.RV,2013,23.18
TZ.RV,2014,23.2
TZ.RV,2015,23.42
TZ.RV,2016,23.39
TZ.RV,2017,23.4
TZ.RV,2018,23.17
TZ.RV,2019,23.48
TZ.RV,2020,23.4
TZ.RV,2021,23.33
TZ.RV,2022,23.16
