Geography,Year,Count
TZ.ZN,1901,25.71
TZ.ZN,1902,26.07
TZ.ZN,1903,25.85
TZ.ZN,1904,25.36
TZ.ZN,1905,25.62
TZ.ZN,1906,25.16
TZ.ZN,1907,25.3
TZ.ZN,1908,25.87
TZ.ZN,1909,24.87
TZ.ZN,1910,24.68
TZ.ZN,1911,25.05
TZ.ZN,1912,25.05
TZ.ZN,1913,24.54
TZ.ZN,1914,24.96
TZ.ZN,1915,24.88
TZ.ZN,1916,24.46
TZ.ZN,1917,23.98
TZ.ZN,1918,24.37
TZ.ZN,1919,24.58
TZ.ZN,1920,24.56
TZ.ZN,1921,25.88
TZ.ZN,1922,25.79
TZ.ZN,1923,25.67
TZ.ZN,1924,26.08
TZ.ZN,1925,25.92
TZ.ZN,1926,26.23
TZ.ZN,1927,26.04
TZ.ZN,1928,26.3
TZ.ZN,1929,24.21
TZ.ZN,1930,24.46
TZ.ZN,1931,25.51
TZ.ZN,1932,25.1
TZ.ZN,1933,25.26
TZ.ZN,1934,25.3
TZ.ZN,1935,25.35
TZ.ZN,1936,25.22
TZ.ZN,1937,25.23
TZ.ZN,1938,25.44
TZ.ZN,1939,25.59
TZ.ZN,1940,25.96
TZ.ZN,1941,25.77
TZ.ZN,1942,25.75
TZ.ZN,1943,25.68
TZ.ZN,1944,25.93
TZ.ZN,1945,25.92
TZ.ZN,1946,25.98
TZ.ZN,1947,25.78
TZ.ZN,1948,25.97
TZ.ZN,1949,26.13
TZ.ZN,1950,25.63
TZ.ZN,1951,26.08
TZ.ZN,1952,26.49
TZ.ZN,1953,26.44
TZ.ZN,1954,26.25
TZ.ZN,1955,26.09
TZ.ZN,1956,25.77
TZ.ZN,1957,26.15
TZ.ZN,1958,26.38
TZ.ZN,1959,26.25
TZ.ZN,1960,25.96
TZ.ZN,1961,26.41
TZ.ZN,1962,25.94
TZ.ZN,1963,25.72
TZ.ZN,1964,25.7
TZ.ZN,1965,25.75
TZ.ZN,1966,26.18
TZ.ZN,1967,26.01
TZ.ZN,1968,25.46
TZ.ZN,1969,26.31
TZ.ZN,1970,26.12
TZ.ZN,1971,25.59
TZ.ZN,1972,26.12
TZ.ZN,1973,26.27
TZ.ZN,1974,25.93
TZ.ZN,1975,25.9
TZ.ZN,1976,26.07
TZ.ZN,1977,26.09
TZ.ZN,1978,25.92
TZ.ZN,1979,25.93
TZ.ZN,1980,26.13
TZ.ZN,1981,25.98
TZ.ZN,1982,26.01
TZ.ZN,1983,26.53
TZ.ZN,1984,25.86
TZ.ZN,1985,25.86
TZ.ZN,1986,26.0
TZ.ZN,1987,26.57
TZ.ZN,1988,26.56
TZ.ZN,1989,25.79
TZ.ZN,1990,26.21
TZ.ZN,1991,26.31
TZ.ZN,1992,26.24
TZ.ZN,1993,26.11
TZ.ZN,1994,26.35
TZ.ZN,1995,26.4
TZ.ZN,1996,26.32
TZ.ZN,1997,26.38
TZ.ZN,1998,26.64
TZ.ZN,1999,26.42
TZ.ZN,2000,26.45
TZ.ZN,2001,26.52
TZ.ZN,2002,26.71
TZ.ZN,2003,26.89
TZ.ZN,2004,26.38
TZ.ZN,2005,26.29
TZ.ZN,2006,26.48
TZ.ZN,2007,26.47
TZ.ZN,2008,26.25
TZ.ZN,2009,26.7
TZ.ZN,2010,26.84
TZ.ZN,2011,26.55
TZ.ZN,2012,26.42
TZ.ZN,2013,26.58
TZ.ZN,2014,26.59
TZ.ZN,2015,26.75
TZ.ZN,2016,26.91
TZ.ZN,2017,26.98
TZ.ZN,2018,26.51
TZ.ZN,2019,26.99
TZ.ZN,2020,26.92
TZ.ZN,2021,26.71
TZ.ZN,2022,26.62
