Geography,Year,Count
TZ.ZW,1901,25.55
TZ.ZW,1902,25.92
TZ.ZW,1903,25.68
TZ.ZW,1904,25.22
TZ.ZW,1905,25.48
TZ.ZW,1906,25.02
TZ.ZW,1907,25.17
TZ.ZW,1908,25.71
TZ.ZW,1909,24.74
TZ.ZW,1910,24.56
TZ.ZW,1911,24.95
TZ.ZW,1912,24.93
TZ.ZW,1913,24.47
TZ.ZW,1914,24.88
TZ.ZW,1915,24.77
TZ.ZW,1916,24.38
TZ.ZW,1917,23.93
TZ.ZW,1918,24.3
TZ.ZW,1919,24.49
TZ.ZW,1920,24.49
TZ.ZW,1921,25.75
TZ.ZW,1922,25.64
TZ.ZW,1923,25.55
TZ.ZW,1924,25.87
TZ.ZW,1925,25.75
TZ.ZW,1926,26.08
TZ.ZW,1927,25.9
TZ.ZW,1928,26.1
TZ.ZW,1929,24.13
TZ.ZW,1930,24.39
TZ.ZW,1931,25.37
TZ.ZW,1932,25.02
TZ.ZW,1933,25.15
TZ.ZW,1934,25.19
TZ.ZW,1935,25.23
TZ.ZW,1936,25.13
TZ.ZW,1937,25.13
TZ.ZW,1938,25.35
TZ.ZW,1939,25.46
TZ.ZW,1940,25.82
TZ.ZW,1941,25.65
TZ.ZW,1942,25.63
TZ.ZW,1943,25.53
TZ.ZW,1944,25.79
TZ.ZW,1945,25.77
TZ.ZW,1946,25.82
TZ.ZW,1947,25.66
TZ.ZW,1948,25.84
TZ.ZW,1949,25.99
TZ.ZW,1950,25.49
TZ.ZW,1951,25.92
TZ.ZW,1952,26.34
TZ.ZW,1953,26.28
TZ.ZW,1954,26.1
TZ.ZW,1955,25.93
TZ.ZW,1956,25.6
TZ.ZW,1957,26.01
TZ.ZW,1958,26.24
TZ.ZW,1959,26.12
TZ.ZW,1960,25.81
TZ.ZW,1961,26.28
TZ.ZW,1962,25.81
TZ.ZW,1963,25.57
TZ.ZW,1964,25.55
TZ.ZW,1965,25.59
TZ.ZW,1966,26.04
TZ.ZW,1967,25.87
TZ.ZW,1968,25.31
TZ.ZW,1969,26.17
TZ.ZW,1970,25.96
TZ.ZW,1971,25.44
TZ.ZW,1972,25.96
TZ.ZW,1973,26.11
TZ.ZW,1974,25.76
TZ.ZW,1975,25.74
TZ.ZW,1976,25.9
TZ.ZW,1977,25.94
TZ.ZW,1978,25.78
TZ.ZW,1979,25.78
TZ.ZW,1980,25.96
TZ.ZW,1981,25.83
TZ.ZW,1982,25.86
TZ.ZW,1983,26.37
TZ.ZW,1984,25.7
TZ.ZW,1985,25.69
TZ.ZW,1986,25.85
TZ.ZW,1987,26.41
TZ.ZW,1988,26.4
TZ.ZW,1989,25.64
TZ.ZW,1990,26.06
TZ.ZW,1991,26.14
TZ.ZW,1992,26.11
TZ.ZW,1993,25.96
TZ.ZW,1994,26.21
TZ.ZW,1995,26.25
TZ.ZW,1996,26.19
TZ.ZW,1997,26.24
TZ.ZW,1998,26.5
TZ.ZW,1999,26.27
TZ.ZW,2000,26.29
TZ.ZW,2001,26.35
TZ.ZW,2002,26.54
TZ.ZW,2003,26.74
TZ.ZW,2004,26.22
TZ.ZW,2005,26.17
TZ.ZW,2006,26.34
TZ.ZW,2007,26.33
TZ.ZW,2008,26.12
TZ.ZW,2009,26.53
TZ.ZW,2010,26.68
TZ.ZW,2011,26.39
TZ.ZW,2012,26.28
TZ.ZW,2013,26.43
TZ.ZW,2014,26.43
TZ.ZW,2015,26.58
TZ.ZW,2016,26.74
TZ.ZW,2017,26.82
TZ.ZW,2018,26.34
TZ.ZW,2019,26.8
TZ.ZW,2020,26.76
TZ.ZW,2021,26.55
TZ.ZW,2022,26.45
