Year,Geography,Count
1901,TZ,22.19
1902,TZ,22.5
1903,TZ,22.3
1904,TZ,21.94
1905,TZ,22.11
1906,TZ,21.69
1907,TZ,21.74
1908,TZ,22.25
1909,TZ,21.46
1910,TZ,21.31
1911,TZ,21.62
1912,TZ,21.59
1913,TZ,21.29
1914,TZ,21.61
1915,TZ,21.53
1916,TZ,21.22
1917,TZ,20.87
1918,TZ,21.14
1919,TZ,21.31
1920,TZ,21.31
1921,TZ,22.26
1922,TZ,22.19
1923,TZ,22.12
1924,TZ,22.37
1925,TZ,22.27
1926,TZ,22.53
1927,TZ,22.37
1928,TZ,22.55
1929,TZ,21.06
1930,TZ,21.23
1931,TZ,22.01
1932,TZ,21.68
1933,TZ,21.71
1934,TZ,21.76
1935,TZ,21.86
1936,TZ,21.79
1937,TZ,21.76
1938,TZ,21.99
1939,TZ,21.99
1940,TZ,22.26
1941,TZ,22.36
1942,TZ,22.12
1943,TZ,22.07
1944,TZ,22.24
1945,TZ,22.15
1946,TZ,22.21
1947,TZ,22.07
1948,TZ,22.29
1949,TZ,22.61
1950,TZ,21.92
1951,TZ,22.31
1952,TZ,22.6
1953,TZ,22.65
1954,TZ,22.47
1955,TZ,22.36
1956,TZ,22.06
1957,TZ,22.46
1958,TZ,22.69
1959,TZ,22.58
1960,TZ,22.31
1961,TZ,22.6
1962,TZ,22.16
1963,TZ,22.02
1964,TZ,22.04
1965,TZ,22.03
1966,TZ,22.51
1967,TZ,22.29
1968,TZ,21.87
1969,TZ,22.61
1970,TZ,22.39
1971,TZ,21.96
1972,TZ,22.37
1973,TZ,22.53
1974,TZ,22.16
1975,TZ,22.19
1976,TZ,22.36
1977,TZ,22.51
1978,TZ,22.31
1979,TZ,22.32
1980,TZ,22.42
1981,TZ,22.38
1982,TZ,22.43
1983,TZ,22.99
1984,TZ,22.35
1985,TZ,22.23
1986,TZ,22.34
1987,TZ,22.95
1988,TZ,22.83
1989,TZ,22.21
1990,TZ,22.67
1991,TZ,22.62
1992,TZ,22.71
1993,TZ,22.53
1994,TZ,22.76
1995,TZ,22.95
1996,TZ,22.73
1997,TZ,22.9
1998,TZ,23.06
1999,TZ,22.81
2000,TZ,22.81
2001,TZ,22.88
2002,TZ,23.08
2003,TZ,23.29
2004,TZ,22.81
2005,TZ,23.15
2006,TZ,22.83
2007,TZ,22.83
2008,TZ,22.62
2009,TZ,23.0
2010,TZ,23.21
2011,TZ,22.78
2012,TZ,22.77
2013,TZ,22.94
2014,TZ,22.88
2015,TZ,23.03
2016,TZ,23.19
2017,TZ,23.26
2018,TZ,22.86
2019,TZ,23.26
2020,TZ,23.1
2021,TZ,23.0
2022,TZ,22.9
