Geography,Year,Count
UG.AC,1901,23.29
UG.AC,1902,23.36
UG.AC,1903,23.29
UG.AC,1904,22.76
UG.AC,1905,22.84
UG.AC,1906,22.53
UG.AC,1907,22.58
UG.AC,1908,23.21
UG.AC,1909,21.85
UG.AC,1910,21.94
UG.AC,1911,22.37
UG.AC,1912,21.84
UG.AC,1913,21.79
UG.AC,1914,22.2
UG.AC,1915,22.09
UG.AC,1916,21.69
UG.AC,1917,21.23
UG.AC,1918,21.61
UG.AC,1919,21.84
UG.AC,1920,21.81
UG.AC,1921,23.07
UG.AC,1922,22.96
UG.AC,1923,22.88
UG.AC,1924,23.2
UG.AC,1925,23.08
UG.AC,1926,23.42
UG.AC,1927,23.22
UG.AC,1928,23.43
UG.AC,1929,21.43
UG.AC,1930,21.71
UG.AC,1931,22.66
UG.AC,1932,22.31
UG.AC,1933,22.44
UG.AC,1934,22.46
UG.AC,1935,22.48
UG.AC,1936,22.33
UG.AC,1937,22.34
UG.AC,1938,22.54
UG.AC,1939,22.71
UG.AC,1940,23.04
UG.AC,1941,23.15
UG.AC,1942,22.97
UG.AC,1943,22.88
UG.AC,1944,22.98
UG.AC,1945,22.92
UG.AC,1946,22.84
UG.AC,1947,22.71
UG.AC,1948,22.75
UG.AC,1949,22.94
UG.AC,1950,22.4
UG.AC,1951,23.01
UG.AC,1952,23.32
UG.AC,1953,23.32
UG.AC,1954,23.09
UG.AC,1955,23.02
UG.AC,1956,22.75
UG.AC,1957,23.09
UG.AC,1958,23.46
UG.AC,1959,23.24
UG.AC,1960,23.19
UG.AC,1961,22.97
UG.AC,1962,22.77
UG.AC,1963,22.88
UG.AC,1964,22.8
UG.AC,1965,22.95
UG.AC,1966,23.12
UG.AC,1967,22.76
UG.AC,1968,22.51
UG.AC,1969,23.08
UG.AC,1970,23.15
UG.AC,1971,22.77
UG.AC,1972,23.18
UG.AC,1973,23.41
UG.AC,1974,22.95
UG.AC,1975,22.97
UG.AC,1976,23.23
UG.AC,1977,23.25
UG.AC,1978,23.18
UG.AC,1979,23.28
UG.AC,1980,23.44
UG.AC,1981,23.56
UG.AC,1982,23.51
UG.AC,1983,23.81
UG.AC,1984,23.48
UG.AC,1985,23.28
UG.AC,1986,23.5
UG.AC,1987,23.95
UG.AC,1988,23.66
UG.AC,1989,23.01
UG.AC,1990,23.6
UG.AC,1991,23.46
UG.AC,1992,23.41
UG.AC,1993,23.53
UG.AC,1994,23.39
UG.AC,1995,23.83
UG.AC,1996,23.52
UG.AC,1997,23.62
UG.AC,1998,23.74
UG.AC,1999,23.62
UG.AC,2000,23.97
UG.AC,2001,24.15
UG.AC,2002,24.52
UG.AC,2003,24.39
UG.AC,2004,24.43
UG.AC,2005,24.44
UG.AC,2006,24.3
UG.AC,2007,24.39
UG.AC,2008,24.3
UG.AC,2009,24.87
UG.AC,2010,24.64
UG.AC,2011,24.16
UG.AC,2012,23.72
UG.AC,2013,23.84
UG.AC,2014,23.76
UG.AC,2015,23.77
UG.AC,2016,24.12
UG.AC,2017,24.0
UG.AC,2018,23.81
UG.AC,2019,24.07
UG.AC,2020,24.12
UG.AC,2021,23.95
UG.AC,2022,23.87
