Geography,Year,Count
UG.AD,1901,24.89
UG.AD,1902,24.93
UG.AD,1903,24.92
UG.AD,1904,24.56
UG.AD,1905,24.61
UG.AD,1906,24.45
UG.AD,1907,24.48
UG.AD,1908,24.89
UG.AD,1909,24.04
UG.AD,1910,24.14
UG.AD,1911,24.37
UG.AD,1912,23.97
UG.AD,1913,23.94
UG.AD,1914,24.22
UG.AD,1915,24.16
UG.AD,1916,23.87
UG.AD,1917,23.57
UG.AD,1918,23.83
UG.AD,1919,24.0
UG.AD,1920,23.94
UG.AD,1921,24.76
UG.AD,1922,24.71
UG.AD,1923,24.66
UG.AD,1924,24.86
UG.AD,1925,24.78
UG.AD,1926,24.99
UG.AD,1927,24.87
UG.AD,1928,25.02
UG.AD,1929,23.73
UG.AD,1930,23.88
UG.AD,1931,24.46
UG.AD,1932,24.25
UG.AD,1933,24.39
UG.AD,1934,24.38
UG.AD,1935,24.33
UG.AD,1936,24.25
UG.AD,1937,24.29
UG.AD,1938,24.4
UG.AD,1939,24.54
UG.AD,1940,24.71
UG.AD,1941,24.79
UG.AD,1942,24.65
UG.AD,1943,24.47
UG.AD,1944,24.54
UG.AD,1945,24.47
UG.AD,1946,24.43
UG.AD,1947,24.34
UG.AD,1948,24.34
UG.AD,1949,24.44
UG.AD,1950,24.03
UG.AD,1951,24.57
UG.AD,1952,24.89
UG.AD,1953,24.82
UG.AD,1954,24.63
UG.AD,1955,24.53
UG.AD,1956,24.33
UG.AD,1957,24.63
UG.AD,1958,25.06
UG.AD,1959,24.8
UG.AD,1960,24.78
UG.AD,1961,24.48
UG.AD,1962,24.36
UG.AD,1963,24.53
UG.AD,1964,24.37
UG.AD,1965,24.55
UG.AD,1966,24.6
UG.AD,1967,24.31
UG.AD,1968,24.11
UG.AD,1969,24.65
UG.AD,1970,24.76
UG.AD,1971,24.4
UG.AD,1972,24.81
UG.AD,1973,25.06
UG.AD,1974,24.54
UG.AD,1975,24.59
UG.AD,1976,24.82
UG.AD,1977,24.87
UG.AD,1978,24.91
UG.AD,1979,24.95
UG.AD,1980,25.11
UG.AD,1981,25.31
UG.AD,1982,25.27
UG.AD,1983,25.47
UG.AD,1984,25.28
UG.AD,1985,25.05
UG.AD,1986,25.31
UG.AD,1987,25.72
UG.AD,1988,25.32
UG.AD,1989,24.71
UG.AD,1990,25.38
UG.AD,1991,25.11
UG.AD,1992,25.03
UG.AD,1993,25.25
UG.AD,1994,25.0
UG.AD,1995,25.47
UG.AD,1996,25.14
UG.AD,1997,25.23
UG.AD,1998,25.4
UG.AD,1999,25.12
UG.AD,2000,25.65
UG.AD,2001,25.83
UG.AD,2002,26.23
UG.AD,2003,26.06
UG.AD,2004,26.18
UG.AD,2005,26.18
UG.AD,2006,26.14
UG.AD,2007,26.34
UG.AD,2008,26.26
UG.AD,2009,26.79
UG.AD,2010,26.48
UG.AD,2011,25.95
UG.AD,2012,25.37
UG.AD,2013,25.51
UG.AD,2014,25.47
UG.AD,2015,25.56
UG.AD,2016,25.72
UG.AD,2017,25.62
UG.AD,2018,25.49
UG.AD,2019,25.64
UG.AD,2020,25.73
UG.AD,2021,25.64
UG.AD,2022,25.57
