Geography,Year,Count
UG.BG,1901,22.93
UG.BG,1902,23.07
UG.BG,1903,22.97
UG.BG,1904,22.35
UG.BG,1905,22.46
UG.BG,1906,22.04
UG.BG,1907,22.12
UG.BG,1908,22.86
UG.BG,1909,21.26
UG.BG,1910,21.28
UG.BG,1911,21.82
UG.BG,1912,21.32
UG.BG,1913,21.13
UG.BG,1914,21.63
UG.BG,1915,21.52
UG.BG,1916,21.0
UG.BG,1917,20.42
UG.BG,1918,20.9
UG.BG,1919,21.19
UG.BG,1920,21.15
UG.BG,1921,22.72
UG.BG,1922,22.58
UG.BG,1923,22.49
UG.BG,1924,22.89
UG.BG,1925,22.74
UG.BG,1926,23.14
UG.BG,1927,22.91
UG.BG,1928,23.16
UG.BG,1929,20.69
UG.BG,1930,21.02
UG.BG,1931,22.26
UG.BG,1932,21.78
UG.BG,1933,21.97
UG.BG,1934,21.98
UG.BG,1935,21.99
UG.BG,1936,21.8
UG.BG,1937,21.82
UG.BG,1938,22.1
UG.BG,1939,22.29
UG.BG,1940,22.77
UG.BG,1941,22.83
UG.BG,1942,22.65
UG.BG,1943,22.63
UG.BG,1944,22.75
UG.BG,1945,22.73
UG.BG,1946,22.64
UG.BG,1947,22.47
UG.BG,1948,22.55
UG.BG,1949,22.78
UG.BG,1950,22.18
UG.BG,1951,22.77
UG.BG,1952,23.08
UG.BG,1953,23.16
UG.BG,1954,22.88
UG.BG,1955,22.87
UG.BG,1956,22.49
UG.BG,1957,22.88
UG.BG,1958,23.19
UG.BG,1959,22.96
UG.BG,1960,22.88
UG.BG,1961,22.82
UG.BG,1962,22.52
UG.BG,1963,22.56
UG.BG,1964,22.51
UG.BG,1965,22.64
UG.BG,1966,22.9
UG.BG,1967,22.53
UG.BG,1968,22.11
UG.BG,1969,22.88
UG.BG,1970,22.88
UG.BG,1971,22.43
UG.BG,1972,22.95
UG.BG,1973,23.15
UG.BG,1974,22.72
UG.BG,1975,22.71
UG.BG,1976,22.97
UG.BG,1977,23.0
UG.BG,1978,22.81
UG.BG,1979,22.91
UG.BG,1980,23.14
UG.BG,1981,23.17
UG.BG,1982,23.09
UG.BG,1983,23.47
UG.BG,1984,23.05
UG.BG,1985,22.87
UG.BG,1986,23.06
UG.BG,1987,23.56
UG.BG,1988,23.35
UG.BG,1989,22.7
UG.BG,1990,23.21
UG.BG,1991,23.15
UG.BG,1992,23.12
UG.BG,1993,23.14
UG.BG,1994,23.16
UG.BG,1995,23.5
UG.BG,1996,23.25
UG.BG,1997,23.32
UG.BG,1998,23.45
UG.BG,1999,23.39
UG.BG,2000,23.57
UG.BG,2001,23.74
UG.BG,2002,24.08
UG.BG,2003,24.01
UG.BG,2004,23.9
UG.BG,2005,23.86
UG.BG,2006,23.74
UG.BG,2007,23.7
UG.BG,2008,23.65
UG.BG,2009,24.24
UG.BG,2010,24.06
UG.BG,2011,23.7
UG.BG,2012,23.34
UG.BG,2013,23.56
UG.BG,2014,23.47
UG.BG,2015,23.49
UG.BG,2016,23.9
UG.BG,2017,23.74
UG.BG,2018,23.48
UG.BG,2019,23.79
UG.BG,2020,23.76
UG.BG,2021,23.64
UG.BG,2022,23.54
