Geography,Year,Count
UG.BS,1901,20.43
UG.BS,1902,20.56
UG.BS,1903,20.42
UG.BS,1904,20.07
UG.BS,1905,20.06
UG.BS,1906,19.73
UG.BS,1907,19.75
UG.BS,1908,20.28
UG.BS,1909,19.3
UG.BS,1910,19.3
UG.BS,1911,19.6
UG.BS,1912,19.35
UG.BS,1913,19.34
UG.BS,1914,19.61
UG.BS,1915,19.53
UG.BS,1916,19.26
UG.BS,1917,18.93
UG.BS,1918,19.2
UG.BS,1919,19.35
UG.BS,1920,19.33
UG.BS,1921,20.19
UG.BS,1922,20.12
UG.BS,1923,20.07
UG.BS,1924,20.3
UG.BS,1925,20.22
UG.BS,1926,20.44
UG.BS,1927,20.32
UG.BS,1928,20.45
UG.BS,1929,19.07
UG.BS,1930,19.26
UG.BS,1931,19.92
UG.BS,1932,19.66
UG.BS,1933,19.69
UG.BS,1934,19.67
UG.BS,1935,19.78
UG.BS,1936,19.64
UG.BS,1937,19.6
UG.BS,1938,19.79
UG.BS,1939,19.9
UG.BS,1940,20.16
UG.BS,1941,20.39
UG.BS,1942,20.07
UG.BS,1943,20.11
UG.BS,1944,20.1
UG.BS,1945,20.08
UG.BS,1946,20.02
UG.BS,1947,19.91
UG.BS,1948,20.08
UG.BS,1949,20.31
UG.BS,1950,19.77
UG.BS,1951,20.2
UG.BS,1952,20.36
UG.BS,1953,20.44
UG.BS,1954,20.28
UG.BS,1955,20.15
UG.BS,1956,20.07
UG.BS,1957,20.33
UG.BS,1958,20.58
UG.BS,1959,20.33
UG.BS,1960,20.23
UG.BS,1961,20.21
UG.BS,1962,20.06
UG.BS,1963,20.1
UG.BS,1964,20.1
UG.BS,1965,20.17
UG.BS,1966,20.33
UG.BS,1967,20.11
UG.BS,1968,19.87
UG.BS,1969,20.38
UG.BS,1970,20.28
UG.BS,1971,20.05
UG.BS,1972,20.28
UG.BS,1973,20.39
UG.BS,1974,20.11
UG.BS,1975,20.09
UG.BS,1976,20.38
UG.BS,1977,20.4
UG.BS,1978,20.33
UG.BS,1979,20.3
UG.BS,1980,20.42
UG.BS,1981,20.46
UG.BS,1982,20.51
UG.BS,1983,20.67
UG.BS,1984,20.44
UG.BS,1985,20.33
UG.BS,1986,20.44
UG.BS,1987,20.83
UG.BS,1988,20.59
UG.BS,1989,20.14
UG.BS,1990,20.57
UG.BS,1991,20.51
UG.BS,1992,20.5
UG.BS,1993,20.6
UG.BS,1994,20.47
UG.BS,1995,20.81
UG.BS,1996,20.53
UG.BS,1997,20.7
UG.BS,1998,20.7
UG.BS,1999,20.79
UG.BS,2000,20.99
UG.BS,2001,21.08
UG.BS,2002,21.38
UG.BS,2003,21.37
UG.BS,2004,21.38
UG.BS,2005,21.37
UG.BS,2006,21.12
UG.BS,2007,21.14
UG.BS,2008,21.1
UG.BS,2009,21.55
UG.BS,2010,21.33
UG.BS,2011,20.9
UG.BS,2012,20.65
UG.BS,2013,20.84
UG.BS,2014,20.67
UG.BS,2015,20.69
UG.BS,2016,20.97
UG.BS,2017,21.02
UG.BS,2018,20.78
UG.BS,2019,20.96
UG.BS,2020,20.87
UG.BS,2021,20.87
UG.BS,2022,20.81
