Geography,Year,Count
UG.IN,1901,23.06
UG.IN,1902,23.18
UG.IN,1903,23.1
UG.IN,1904,22.46
UG.IN,1905,22.58
UG.IN,1906,22.17
UG.IN,1907,22.25
UG.IN,1908,22.98
UG.IN,1909,21.38
UG.IN,1910,21.41
UG.IN,1911,21.95
UG.IN,1912,21.43
UG.IN,1913,21.28
UG.IN,1914,21.76
UG.IN,1915,21.65
UG.IN,1916,21.16
UG.IN,1917,20.59
UG.IN,1918,21.05
UG.IN,1919,21.33
UG.IN,1920,21.31
UG.IN,1921,22.83
UG.IN,1922,22.7
UG.IN,1923,22.61
UG.IN,1924,23.0
UG.IN,1925,22.86
UG.IN,1926,23.25
UG.IN,1927,23.02
UG.IN,1928,23.27
UG.IN,1929,20.84
UG.IN,1930,21.17
UG.IN,1931,22.38
UG.IN,1932,21.92
UG.IN,1933,22.09
UG.IN,1934,22.11
UG.IN,1935,22.13
UG.IN,1936,21.95
UG.IN,1937,21.95
UG.IN,1938,22.22
UG.IN,1939,22.41
UG.IN,1940,22.87
UG.IN,1941,22.95
UG.IN,1942,22.76
UG.IN,1943,22.75
UG.IN,1944,22.85
UG.IN,1945,22.83
UG.IN,1946,22.74
UG.IN,1947,22.58
UG.IN,1948,22.65
UG.IN,1949,22.88
UG.IN,1950,22.29
UG.IN,1951,22.86
UG.IN,1952,23.17
UG.IN,1953,23.24
UG.IN,1954,22.98
UG.IN,1955,22.97
UG.IN,1956,22.6
UG.IN,1957,22.98
UG.IN,1958,23.3
UG.IN,1959,23.06
UG.IN,1960,22.99
UG.IN,1961,22.91
UG.IN,1962,22.63
UG.IN,1963,22.66
UG.IN,1964,22.62
UG.IN,1965,22.76
UG.IN,1966,23.0
UG.IN,1967,22.64
UG.IN,1968,22.23
UG.IN,1969,22.98
UG.IN,1970,22.98
UG.IN,1971,22.54
UG.IN,1972,23.05
UG.IN,1973,23.25
UG.IN,1974,22.82
UG.IN,1975,22.81
UG.IN,1976,23.07
UG.IN,1977,23.1
UG.IN,1978,22.92
UG.IN,1979,23.02
UG.IN,1980,23.25
UG.IN,1981,23.29
UG.IN,1982,23.2
UG.IN,1983,23.59
UG.IN,1984,23.17
UG.IN,1985,22.99
UG.IN,1986,23.18
UG.IN,1987,23.68
UG.IN,1988,23.47
UG.IN,1989,22.8
UG.IN,1990,23.33
UG.IN,1991,23.26
UG.IN,1992,23.24
UG.IN,1993,23.26
UG.IN,1994,23.26
UG.IN,1995,23.6
UG.IN,1996,23.36
UG.IN,1997,23.44
UG.IN,1998,23.55
UG.IN,1999,23.49
UG.IN,2000,23.69
UG.IN,2001,23.85
UG.IN,2002,24.19
UG.IN,2003,24.11
UG.IN,2004,24.04
UG.IN,2005,24.03
UG.IN,2006,23.88
UG.IN,2007,23.86
UG.IN,2008,23.81
UG.IN,2009,24.39
UG.IN,2010,24.21
UG.IN,2011,23.83
UG.IN,2012,23.46
UG.IN,2013,23.68
UG.IN,2014,23.57
UG.IN,2015,23.6
UG.IN,2016,24.0
UG.IN,2017,23.84
UG.IN,2018,23.59
UG.IN,2019,23.9
UG.IN,2020,23.88
UG.IN,2021,23.75
UG.IN,2022,23.66
