Geography,Year,Count
UG.KA,1901,17.29
UG.KA,1902,17.42
UG.KA,1903,17.27
UG.KA,1904,16.95
UG.KA,1905,16.9
UG.KA,1906,16.56
UG.KA,1907,16.57
UG.KA,1908,17.12
UG.KA,1909,16.21
UG.KA,1910,16.22
UG.KA,1911,16.43
UG.KA,1912,16.25
UG.KA,1913,16.23
UG.KA,1914,16.49
UG.KA,1915,16.43
UG.KA,1916,16.15
UG.KA,1917,15.86
UG.KA,1918,16.12
UG.KA,1919,16.27
UG.KA,1920,16.25
UG.KA,1921,17.05
UG.KA,1922,16.97
UG.KA,1923,16.94
UG.KA,1924,17.13
UG.KA,1925,17.06
UG.KA,1926,17.25
UG.KA,1927,17.15
UG.KA,1928,17.28
UG.KA,1929,16.0
UG.KA,1930,16.17
UG.KA,1931,16.77
UG.KA,1932,16.52
UG.KA,1933,16.52
UG.KA,1934,16.51
UG.KA,1935,16.66
UG.KA,1936,16.52
UG.KA,1937,16.47
UG.KA,1938,16.66
UG.KA,1939,16.77
UG.KA,1940,17.0
UG.KA,1941,17.23
UG.KA,1942,16.9
UG.KA,1943,16.95
UG.KA,1944,16.96
UG.KA,1945,16.92
UG.KA,1946,16.85
UG.KA,1947,16.76
UG.KA,1948,16.93
UG.KA,1949,17.22
UG.KA,1950,16.61
UG.KA,1951,17.05
UG.KA,1952,17.19
UG.KA,1953,17.3
UG.KA,1954,17.12
UG.KA,1955,17.02
UG.KA,1956,16.94
UG.KA,1957,17.2
UG.KA,1958,17.48
UG.KA,1959,17.18
UG.KA,1960,17.06
UG.KA,1961,17.08
UG.KA,1962,16.92
UG.KA,1963,16.96
UG.KA,1964,16.96
UG.KA,1965,17.02
UG.KA,1966,17.2
UG.KA,1967,16.97
UG.KA,1968,16.72
UG.KA,1969,17.25
UG.KA,1970,17.12
UG.KA,1971,16.89
UG.KA,1972,17.11
UG.KA,1973,17.24
UG.KA,1974,16.95
UG.KA,1975,16.93
UG.KA,1976,17.23
UG.KA,1977,17.25
UG.KA,1978,17.19
UG.KA,1979,17.14
UG.KA,1980,17.24
UG.KA,1981,17.26
UG.KA,1982,17.37
UG.KA,1983,17.5
UG.KA,1984,17.26
UG.KA,1985,17.13
UG.KA,1986,17.21
UG.KA,1987,17.65
UG.KA,1988,17.42
UG.KA,1989,16.99
UG.KA,1990,17.4
UG.KA,1991,17.35
UG.KA,1992,17.33
UG.KA,1993,17.39
UG.KA,1994,17.35
UG.KA,1995,17.65
UG.KA,1996,17.39
UG.KA,1997,17.56
UG.KA,1998,17.51
UG.KA,1999,17.6
UG.KA,2000,17.82
UG.KA,2001,17.9
UG.KA,2002,18.18
UG.KA,2003,18.17
UG.KA,2004,18.04
UG.KA,2005,18.02
UG.KA,2006,17.85
UG.KA,2007,17.87
UG.KA,2008,17.79
UG.KA,2009,18.28
UG.KA,2010,18.13
UG.KA,2011,17.67
UG.KA,2012,17.5
UG.KA,2013,17.68
UG.KA,2014,17.5
UG.KA,2015,17.54
UG.KA,2016,17.8
UG.KA,2017,17.92
UG.KA,2018,17.57
UG.KA,2019,17.75
UG.KA,2020,17.64
UG.KA,2021,17.7
UG.KA,2022,17.64
