Geography,Year,Count
UG.KD,1901,23.67
UG.KD,1902,23.72
UG.KD,1903,23.68
UG.KD,1904,23.1
UG.KD,1905,23.2
UG.KD,1906,22.87
UG.KD,1907,22.91
UG.KD,1908,23.59
UG.KD,1909,22.11
UG.KD,1910,22.24
UG.KD,1911,22.69
UG.KD,1912,22.07
UG.KD,1913,22.01
UG.KD,1914,22.47
UG.KD,1915,22.36
UG.KD,1916,21.9
UG.KD,1917,21.39
UG.KD,1918,21.8
UG.KD,1919,22.06
UG.KD,1920,22.03
UG.KD,1921,23.41
UG.KD,1922,23.3
UG.KD,1923,23.21
UG.KD,1924,23.58
UG.KD,1925,23.45
UG.KD,1926,23.81
UG.KD,1927,23.61
UG.KD,1928,23.83
UG.KD,1929,21.61
UG.KD,1930,21.91
UG.KD,1931,22.96
UG.KD,1932,22.58
UG.KD,1933,22.74
UG.KD,1934,22.75
UG.KD,1935,22.74
UG.KD,1936,22.59
UG.KD,1937,22.62
UG.KD,1938,22.85
UG.KD,1939,23.05
UG.KD,1940,23.42
UG.KD,1941,23.51
UG.KD,1942,23.36
UG.KD,1943,23.28
UG.KD,1944,23.4
UG.KD,1945,23.33
UG.KD,1946,23.26
UG.KD,1947,23.14
UG.KD,1948,23.16
UG.KD,1949,23.33
UG.KD,1950,22.81
UG.KD,1951,23.38
UG.KD,1952,23.72
UG.KD,1953,23.75
UG.KD,1954,23.49
UG.KD,1955,23.44
UG.KD,1956,23.1
UG.KD,1957,23.47
UG.KD,1958,23.82
UG.KD,1959,23.63
UG.KD,1960,23.54
UG.KD,1961,23.37
UG.KD,1962,23.12
UG.KD,1963,23.23
UG.KD,1964,23.14
UG.KD,1965,23.32
UG.KD,1966,23.53
UG.KD,1967,23.13
UG.KD,1968,22.84
UG.KD,1969,23.48
UG.KD,1970,23.55
UG.KD,1971,23.12
UG.KD,1972,23.6
UG.KD,1973,23.8
UG.KD,1974,23.35
UG.KD,1975,23.36
UG.KD,1976,23.61
UG.KD,1977,23.62
UG.KD,1978,23.52
UG.KD,1979,23.68
UG.KD,1980,23.85
UG.KD,1981,23.93
UG.KD,1982,23.87
UG.KD,1983,24.21
UG.KD,1984,23.87
UG.KD,1985,23.64
UG.KD,1986,23.86
UG.KD,1987,24.31
UG.KD,1988,24.06
UG.KD,1989,23.4
UG.KD,1990,23.98
UG.KD,1991,23.84
UG.KD,1992,23.78
UG.KD,1993,23.87
UG.KD,1994,23.81
UG.KD,1995,24.21
UG.KD,1996,23.94
UG.KD,1997,24.0
UG.KD,1998,24.14
UG.KD,1999,24.01
UG.KD,2000,24.3
UG.KD,2001,24.48
UG.KD,2002,24.85
UG.KD,2003,24.71
UG.KD,2004,24.71
UG.KD,2005,24.73
UG.KD,2006,24.62
UG.KD,2007,24.68
UG.KD,2008,24.58
UG.KD,2009,25.17
UG.KD,2010,24.99
UG.KD,2011,24.54
UG.KD,2012,24.1
UG.KD,2013,24.23
UG.KD,2014,24.15
UG.KD,2015,24.15
UG.KD,2016,24.56
UG.KD,2017,24.42
UG.KD,2018,24.18
UG.KD,2019,24.48
UG.KD,2020,24.52
UG.KD,2021,24.34
UG.KD,2022,24.25
