Geography,Year,Count
UG.KF,1901,23.42
UG.KF,1902,23.48
UG.KF,1903,23.5
UG.KF,1904,22.93
UG.KF,1905,23.02
UG.KF,1906,22.85
UG.KF,1907,22.85
UG.KF,1908,23.45
UG.KF,1909,22.25
UG.KF,1910,22.53
UG.KF,1911,22.76
UG.KF,1912,21.98
UG.KF,1913,21.94
UG.KF,1914,22.35
UG.KF,1915,22.24
UG.KF,1916,21.84
UG.KF,1917,21.37
UG.KF,1918,21.74
UG.KF,1919,21.99
UG.KF,1920,21.96
UG.KF,1921,23.24
UG.KF,1922,23.13
UG.KF,1923,23.04
UG.KF,1924,23.38
UG.KF,1925,23.26
UG.KF,1926,23.6
UG.KF,1927,23.41
UG.KF,1928,23.62
UG.KF,1929,21.57
UG.KF,1930,21.85
UG.KF,1931,22.72
UG.KF,1932,22.36
UG.KF,1933,22.53
UG.KF,1934,22.59
UG.KF,1935,22.56
UG.KF,1936,22.4
UG.KF,1937,22.47
UG.KF,1938,22.66
UG.KF,1939,22.86
UG.KF,1940,23.24
UG.KF,1941,23.25
UG.KF,1942,23.2
UG.KF,1943,23.05
UG.KF,1944,23.2
UG.KF,1945,23.13
UG.KF,1946,23.12
UG.KF,1947,23.02
UG.KF,1948,22.92
UG.KF,1949,22.99
UG.KF,1950,22.58
UG.KF,1951,23.24
UG.KF,1952,23.61
UG.KF,1953,23.57
UG.KF,1954,23.31
UG.KF,1955,23.23
UG.KF,1956,22.79
UG.KF,1957,23.17
UG.KF,1958,23.56
UG.KF,1959,23.36
UG.KF,1960,23.3
UG.KF,1961,23.08
UG.KF,1962,22.86
UG.KF,1963,22.98
UG.KF,1964,22.85
UG.KF,1965,23.07
UG.KF,1966,23.17
UG.KF,1967,22.82
UG.KF,1968,22.58
UG.KF,1969,23.2
UG.KF,1970,23.3
UG.KF,1971,22.87
UG.KF,1972,23.36
UG.KF,1973,23.61
UG.KF,1974,23.1
UG.KF,1975,23.14
UG.KF,1976,23.37
UG.KF,1977,23.45
UG.KF,1978,23.34
UG.KF,1979,23.5
UG.KF,1980,23.71
UG.KF,1981,23.77
UG.KF,1982,23.71
UG.KF,1983,24.03
UG.KF,1984,23.76
UG.KF,1985,23.48
UG.KF,1986,23.75
UG.KF,1987,24.24
UG.KF,1988,23.88
UG.KF,1989,23.21
UG.KF,1990,23.82
UG.KF,1991,23.69
UG.KF,1992,23.59
UG.KF,1993,23.66
UG.KF,1994,23.62
UG.KF,1995,24.03
UG.KF,1996,23.76
UG.KF,1997,23.8
UG.KF,1998,23.92
UG.KF,1999,23.7
UG.KF,2000,24.06
UG.KF,2001,24.25
UG.KF,2002,24.66
UG.KF,2003,24.48
UG.KF,2004,24.5
UG.KF,2005,24.52
UG.KF,2006,24.49
UG.KF,2007,24.59
UG.KF,2008,24.55
UG.KF,2009,25.08
UG.KF,2010,24.88
UG.KF,2011,24.49
UG.KF,2012,24.0
UG.KF,2013,24.12
UG.KF,2014,24.11
UG.KF,2015,24.21
UG.KF,2016,24.4
UG.KF,2017,24.27
UG.KF,2018,23.99
UG.KF,2019,24.28
UG.KF,2020,24.37
UG.KF,2021,24.22
UG.KF,2022,24.15
