Geography,Year,Count
UG.KP,1901,20.91
UG.KP,1902,21.02
UG.KP,1903,20.96
UG.KP,1904,20.34
UG.KP,1905,20.44
UG.KP,1906,20.09
UG.KP,1907,20.14
UG.KP,1908,20.88
UG.KP,1909,19.32
UG.KP,1910,19.44
UG.KP,1911,19.91
UG.KP,1912,19.27
UG.KP,1913,19.13
UG.KP,1914,19.62
UG.KP,1915,19.5
UG.KP,1916,18.99
UG.KP,1917,18.42
UG.KP,1918,18.88
UG.KP,1919,19.18
UG.KP,1920,19.14
UG.KP,1921,20.7
UG.KP,1922,20.56
UG.KP,1923,20.48
UG.KP,1924,20.87
UG.KP,1925,20.72
UG.KP,1926,21.13
UG.KP,1927,20.9
UG.KP,1928,21.16
UG.KP,1929,18.68
UG.KP,1930,19.01
UG.KP,1931,20.2
UG.KP,1932,19.74
UG.KP,1933,19.92
UG.KP,1934,19.95
UG.KP,1935,19.96
UG.KP,1936,19.77
UG.KP,1937,19.78
UG.KP,1938,20.04
UG.KP,1939,20.27
UG.KP,1940,20.75
UG.KP,1941,20.77
UG.KP,1942,20.67
UG.KP,1943,20.61
UG.KP,1944,20.76
UG.KP,1945,20.7
UG.KP,1946,20.65
UG.KP,1947,20.51
UG.KP,1948,20.51
UG.KP,1949,20.69
UG.KP,1950,20.15
UG.KP,1951,20.76
UG.KP,1952,21.11
UG.KP,1953,21.16
UG.KP,1954,20.87
UG.KP,1955,20.82
UG.KP,1956,20.42
UG.KP,1957,20.8
UG.KP,1958,21.13
UG.KP,1959,20.94
UG.KP,1960,20.85
UG.KP,1961,20.77
UG.KP,1962,20.46
UG.KP,1963,20.52
UG.KP,1964,20.47
UG.KP,1965,20.62
UG.KP,1966,20.85
UG.KP,1967,20.46
UG.KP,1968,20.08
UG.KP,1969,20.82
UG.KP,1970,20.84
UG.KP,1971,20.38
UG.KP,1972,20.93
UG.KP,1973,21.13
UG.KP,1974,20.7
UG.KP,1975,20.67
UG.KP,1976,20.92
UG.KP,1977,20.95
UG.KP,1978,20.8
UG.KP,1979,20.93
UG.KP,1980,21.13
UG.KP,1981,21.16
UG.KP,1982,21.12
UG.KP,1983,21.49
UG.KP,1984,21.09
UG.KP,1985,20.89
UG.KP,1986,21.11
UG.KP,1987,21.58
UG.KP,1988,21.34
UG.KP,1989,20.69
UG.KP,1990,21.21
UG.KP,1991,21.15
UG.KP,1992,21.11
UG.KP,1993,21.11
UG.KP,1994,21.14
UG.KP,1995,21.5
UG.KP,1996,21.27
UG.KP,1997,21.3
UG.KP,1998,21.46
UG.KP,1999,21.33
UG.KP,2000,21.54
UG.KP,2001,21.73
UG.KP,2002,22.07
UG.KP,2003,21.94
UG.KP,2004,21.88
UG.KP,2005,21.86
UG.KP,2006,21.76
UG.KP,2007,21.76
UG.KP,2008,21.71
UG.KP,2009,22.29
UG.KP,2010,22.15
UG.KP,2011,21.75
UG.KP,2012,21.37
UG.KP,2013,21.57
UG.KP,2014,21.47
UG.KP,2015,21.48
UG.KP,2016,21.94
UG.KP,2017,21.73
UG.KP,2018,21.44
UG.KP,2019,21.79
UG.KP,2020,21.82
UG.KP,2021,21.65
UG.KP,2022,21.58
