Geography,Year,Count
UG.KU,1901,23.69
UG.KU,1902,23.77
UG.KU,1903,23.72
UG.KU,1904,23.1
UG.KU,1905,23.2
UG.KU,1906,22.86
UG.KU,1907,22.91
UG.KU,1908,23.62
UG.KU,1909,22.09
UG.KU,1910,22.22
UG.KU,1911,22.68
UG.KU,1912,22.02
UG.KU,1913,21.92
UG.KU,1914,22.4
UG.KU,1915,22.29
UG.KU,1916,21.8
UG.KU,1917,21.25
UG.KU,1918,21.71
UG.KU,1919,21.97
UG.KU,1920,21.94
UG.KU,1921,23.46
UG.KU,1922,23.33
UG.KU,1923,23.24
UG.KU,1924,23.62
UG.KU,1925,23.48
UG.KU,1926,23.87
UG.KU,1927,23.64
UG.KU,1928,23.89
UG.KU,1929,21.51
UG.KU,1930,21.82
UG.KU,1931,22.96
UG.KU,1932,22.53
UG.KU,1933,22.7
UG.KU,1934,22.72
UG.KU,1935,22.73
UG.KU,1936,22.55
UG.KU,1937,22.58
UG.KU,1938,22.83
UG.KU,1939,23.04
UG.KU,1940,23.49
UG.KU,1941,23.53
UG.KU,1942,23.41
UG.KU,1943,23.35
UG.KU,1944,23.48
UG.KU,1945,23.43
UG.KU,1946,23.37
UG.KU,1947,23.23
UG.KU,1948,23.25
UG.KU,1949,23.41
UG.KU,1950,22.89
UG.KU,1951,23.48
UG.KU,1952,23.81
UG.KU,1953,23.84
UG.KU,1954,23.59
UG.KU,1955,23.54
UG.KU,1956,23.16
UG.KU,1957,23.55
UG.KU,1958,23.88
UG.KU,1959,23.67
UG.KU,1960,23.59
UG.KU,1961,23.48
UG.KU,1962,23.18
UG.KU,1963,23.26
UG.KU,1964,23.22
UG.KU,1965,23.36
UG.KU,1966,23.59
UG.KU,1967,23.2
UG.KU,1968,22.84
UG.KU,1969,23.55
UG.KU,1970,23.6
UG.KU,1971,23.13
UG.KU,1972,23.66
UG.KU,1973,23.86
UG.KU,1974,23.42
UG.KU,1975,23.4
UG.KU,1976,23.65
UG.KU,1977,23.68
UG.KU,1978,23.54
UG.KU,1979,23.68
UG.KU,1980,23.86
UG.KU,1981,23.93
UG.KU,1982,23.87
UG.KU,1983,24.22
UG.KU,1984,23.85
UG.KU,1985,23.64
UG.KU,1986,23.86
UG.KU,1987,24.34
UG.KU,1988,24.09
UG.KU,1989,23.44
UG.KU,1990,23.99
UG.KU,1991,23.89
UG.KU,1992,23.85
UG.KU,1993,23.86
UG.KU,1994,23.87
UG.KU,1995,24.24
UG.KU,1996,24.01
UG.KU,1997,24.06
UG.KU,1998,24.2
UG.KU,1999,24.05
UG.KU,2000,24.29
UG.KU,2001,24.47
UG.KU,2002,24.81
UG.KU,2003,24.7
UG.KU,2004,24.66
UG.KU,2005,24.67
UG.KU,2006,24.53
UG.KU,2007,24.59
UG.KU,2008,24.52
UG.KU,2009,25.09
UG.KU,2010,24.93
UG.KU,2011,24.54
UG.KU,2012,24.13
UG.KU,2013,24.32
UG.KU,2014,24.22
UG.KU,2015,24.22
UG.KU,2016,24.65
UG.KU,2017,24.48
UG.KU,2018,24.2
UG.KU,2019,24.53
UG.KU,2020,24.56
UG.KU,2021,24.39
UG.KU,2022,24.32
