Geography,Year,Count
UG.KX,1901,23.09
UG.KX,1902,23.19
UG.KX,1903,23.1
UG.KX,1904,22.48
UG.KX,1905,22.6
UG.KX,1906,22.19
UG.KX,1907,22.25
UG.KX,1908,22.99
UG.KX,1909,21.4
UG.KX,1910,21.43
UG.KX,1911,21.97
UG.KX,1912,21.45
UG.KX,1913,21.34
UG.KX,1914,21.8
UG.KX,1915,21.69
UG.KX,1916,21.23
UG.KX,1917,20.68
UG.KX,1918,21.12
UG.KX,1919,21.39
UG.KX,1920,21.36
UG.KX,1921,22.82
UG.KX,1922,22.71
UG.KX,1923,22.62
UG.KX,1924,22.99
UG.KX,1925,22.85
UG.KX,1926,23.24
UG.KX,1927,23.02
UG.KX,1928,23.26
UG.KX,1929,20.92
UG.KX,1930,21.23
UG.KX,1931,22.39
UG.KX,1932,21.98
UG.KX,1933,22.11
UG.KX,1934,22.14
UG.KX,1935,22.16
UG.KX,1936,22.0
UG.KX,1937,21.98
UG.KX,1938,22.24
UG.KX,1939,22.43
UG.KX,1940,22.86
UG.KX,1941,22.94
UG.KX,1942,22.75
UG.KX,1943,22.73
UG.KX,1944,22.83
UG.KX,1945,22.8
UG.KX,1946,22.71
UG.KX,1947,22.56
UG.KX,1948,22.63
UG.KX,1949,22.84
UG.KX,1950,22.29
UG.KX,1951,22.85
UG.KX,1952,23.15
UG.KX,1953,23.19
UG.KX,1954,22.96
UG.KX,1955,22.93
UG.KX,1956,22.58
UG.KX,1957,22.96
UG.KX,1958,23.28
UG.KX,1959,23.05
UG.KX,1960,22.99
UG.KX,1961,22.88
UG.KX,1962,22.62
UG.KX,1963,22.66
UG.KX,1964,22.63
UG.KX,1965,22.75
UG.KX,1966,22.98
UG.KX,1967,22.63
UG.KX,1968,22.25
UG.KX,1969,22.96
UG.KX,1970,22.97
UG.KX,1971,22.55
UG.KX,1972,23.04
UG.KX,1973,23.24
UG.KX,1974,22.82
UG.KX,1975,22.79
UG.KX,1976,23.05
UG.KX,1977,23.07
UG.KX,1978,22.91
UG.KX,1979,23.03
UG.KX,1980,23.22
UG.KX,1981,23.28
UG.KX,1982,23.2
UG.KX,1983,23.56
UG.KX,1984,23.18
UG.KX,1985,22.98
UG.KX,1986,23.17
UG.KX,1987,23.68
UG.KX,1988,23.45
UG.KX,1989,22.79
UG.KX,1990,23.32
UG.KX,1991,23.26
UG.KX,1992,23.22
UG.KX,1993,23.27
UG.KX,1994,23.23
UG.KX,1995,23.59
UG.KX,1996,23.35
UG.KX,1997,23.43
UG.KX,1998,23.53
UG.KX,1999,23.48
UG.KX,2000,23.69
UG.KX,2001,23.86
UG.KX,2002,24.19
UG.KX,2003,24.11
UG.KX,2004,24.08
UG.KX,2005,24.09
UG.KX,2006,23.91
UG.KX,2007,23.93
UG.KX,2008,23.86
UG.KX,2009,24.44
UG.KX,2010,24.24
UG.KX,2011,23.84
UG.KX,2012,23.47
UG.KX,2013,23.67
UG.KX,2014,23.55
UG.KX,2015,23.57
UG.KX,2016,23.97
UG.KX,2017,23.83
UG.KX,2018,23.58
UG.KX,2019,23.88
UG.KX,2020,23.88
UG.KX,2021,23.74
UG.KX,2022,23.65
