Geography,Year,Count
UG.MA,1901,21.22
UG.MA,1902,21.35
UG.MA,1903,21.21
UG.MA,1904,20.67
UG.MA,1905,20.77
UG.MA,1906,20.36
UG.MA,1907,20.42
UG.MA,1908,21.06
UG.MA,1909,19.64
UG.MA,1910,19.64
UG.MA,1911,20.17
UG.MA,1912,19.73
UG.MA,1913,19.63
UG.MA,1914,20.05
UG.MA,1915,19.94
UG.MA,1916,19.52
UG.MA,1917,19.05
UG.MA,1918,19.43
UG.MA,1919,19.67
UG.MA,1920,19.65
UG.MA,1921,20.94
UG.MA,1922,20.84
UG.MA,1923,20.77
UG.MA,1924,21.09
UG.MA,1925,20.96
UG.MA,1926,21.31
UG.MA,1927,21.11
UG.MA,1928,21.32
UG.MA,1929,19.26
UG.MA,1930,19.54
UG.MA,1931,20.6
UG.MA,1932,20.2
UG.MA,1933,20.31
UG.MA,1934,20.32
UG.MA,1935,20.39
UG.MA,1936,20.23
UG.MA,1937,20.21
UG.MA,1938,20.45
UG.MA,1939,20.61
UG.MA,1940,20.93
UG.MA,1941,21.12
UG.MA,1942,20.82
UG.MA,1943,20.86
UG.MA,1944,20.91
UG.MA,1945,20.88
UG.MA,1946,20.79
UG.MA,1947,20.66
UG.MA,1948,20.8
UG.MA,1949,21.07
UG.MA,1950,20.48
UG.MA,1951,20.99
UG.MA,1952,21.21
UG.MA,1953,21.29
UG.MA,1954,21.09
UG.MA,1955,21.01
UG.MA,1956,20.84
UG.MA,1957,21.12
UG.MA,1958,21.37
UG.MA,1959,21.14
UG.MA,1960,21.05
UG.MA,1961,21.05
UG.MA,1962,20.82
UG.MA,1963,20.85
UG.MA,1964,20.84
UG.MA,1965,20.91
UG.MA,1966,21.12
UG.MA,1967,20.87
UG.MA,1968,20.51
UG.MA,1969,21.14
UG.MA,1970,21.09
UG.MA,1971,20.77
UG.MA,1972,21.12
UG.MA,1973,21.25
UG.MA,1974,20.92
UG.MA,1975,20.92
UG.MA,1976,21.19
UG.MA,1977,21.19
UG.MA,1978,21.08
UG.MA,1979,21.07
UG.MA,1980,21.21
UG.MA,1981,21.25
UG.MA,1982,21.29
UG.MA,1983,21.51
UG.MA,1984,21.22
UG.MA,1985,21.08
UG.MA,1986,21.2
UG.MA,1987,21.65
UG.MA,1988,21.44
UG.MA,1989,20.94
UG.MA,1990,21.35
UG.MA,1991,21.33
UG.MA,1992,21.31
UG.MA,1993,21.36
UG.MA,1994,21.34
UG.MA,1995,21.64
UG.MA,1996,21.37
UG.MA,1997,21.51
UG.MA,1998,21.55
UG.MA,1999,21.67
UG.MA,2000,21.79
UG.MA,2001,21.89
UG.MA,2002,22.2
UG.MA,2003,22.2
UG.MA,2004,22.14
UG.MA,2005,22.12
UG.MA,2006,21.88
UG.MA,2007,21.87
UG.MA,2008,21.82
UG.MA,2009,22.32
UG.MA,2010,22.15
UG.MA,2011,21.74
UG.MA,2012,21.5
UG.MA,2013,21.71
UG.MA,2014,21.56
UG.MA,2015,21.58
UG.MA,2016,21.91
UG.MA,2017,21.91
UG.MA,2018,21.65
UG.MA,2019,21.9
UG.MA,2020,21.82
UG.MA,2021,21.75
UG.MA,2022,21.65
