Geography,Year,Count
UG.MD,1901,21.34
UG.MD,1902,21.44
UG.MD,1903,21.33
UG.MD,1904,20.82
UG.MD,1905,20.9
UG.MD,1906,20.55
UG.MD,1907,20.61
UG.MD,1908,21.19
UG.MD,1909,19.85
UG.MD,1910,19.86
UG.MD,1911,20.39
UG.MD,1912,19.93
UG.MD,1913,19.89
UG.MD,1914,20.27
UG.MD,1915,20.17
UG.MD,1916,19.8
UG.MD,1917,19.36
UG.MD,1918,19.71
UG.MD,1919,19.93
UG.MD,1920,19.9
UG.MD,1921,21.1
UG.MD,1922,20.99
UG.MD,1923,20.9
UG.MD,1924,21.21
UG.MD,1925,21.1
UG.MD,1926,21.42
UG.MD,1927,21.23
UG.MD,1928,21.43
UG.MD,1929,19.55
UG.MD,1930,19.8
UG.MD,1931,20.77
UG.MD,1932,20.43
UG.MD,1933,20.55
UG.MD,1934,20.53
UG.MD,1935,20.58
UG.MD,1936,20.43
UG.MD,1937,20.41
UG.MD,1938,20.62
UG.MD,1939,20.77
UG.MD,1940,21.07
UG.MD,1941,21.25
UG.MD,1942,20.95
UG.MD,1943,20.96
UG.MD,1944,21.0
UG.MD,1945,20.97
UG.MD,1946,20.87
UG.MD,1947,20.74
UG.MD,1948,20.87
UG.MD,1949,21.11
UG.MD,1950,20.54
UG.MD,1951,21.09
UG.MD,1952,21.31
UG.MD,1953,21.37
UG.MD,1954,21.17
UG.MD,1955,21.08
UG.MD,1956,20.91
UG.MD,1957,21.2
UG.MD,1958,21.48
UG.MD,1959,21.24
UG.MD,1960,21.16
UG.MD,1961,21.09
UG.MD,1962,20.9
UG.MD,1963,20.97
UG.MD,1964,20.93
UG.MD,1965,21.0
UG.MD,1966,21.22
UG.MD,1967,20.92
UG.MD,1968,20.62
UG.MD,1969,21.22
UG.MD,1970,21.2
UG.MD,1971,20.9
UG.MD,1972,21.21
UG.MD,1973,21.37
UG.MD,1974,21.01
UG.MD,1975,21.01
UG.MD,1976,21.3
UG.MD,1977,21.3
UG.MD,1978,21.21
UG.MD,1979,21.22
UG.MD,1980,21.37
UG.MD,1981,21.45
UG.MD,1982,21.46
UG.MD,1983,21.68
UG.MD,1984,21.4
UG.MD,1985,21.24
UG.MD,1986,21.4
UG.MD,1987,21.85
UG.MD,1988,21.57
UG.MD,1989,21.05
UG.MD,1990,21.53
UG.MD,1991,21.43
UG.MD,1992,21.41
UG.MD,1993,21.55
UG.MD,1994,21.41
UG.MD,1995,21.77
UG.MD,1996,21.49
UG.MD,1997,21.61
UG.MD,1998,21.68
UG.MD,1999,21.71
UG.MD,2000,21.96
UG.MD,2001,22.1
UG.MD,2002,22.44
UG.MD,2003,22.38
UG.MD,2004,22.42
UG.MD,2005,22.42
UG.MD,2006,22.19
UG.MD,2007,22.21
UG.MD,2008,22.15
UG.MD,2009,22.67
UG.MD,2010,22.43
UG.MD,2011,21.98
UG.MD,2012,21.62
UG.MD,2013,21.8
UG.MD,2014,21.68
UG.MD,2015,21.71
UG.MD,2016,22.0
UG.MD,2017,21.95
UG.MD,2018,21.8
UG.MD,2019,22.01
UG.MD,2020,21.99
UG.MD,2021,21.87
UG.MD,2022,21.76
