Geography,Year,Count
UG.MI,1901,21.67
UG.MI,1902,21.8
UG.MI,1903,21.67
UG.MI,1904,21.1
UG.MI,1905,21.21
UG.MI,1906,20.8
UG.MI,1907,20.88
UG.MI,1908,21.53
UG.MI,1909,20.04
UG.MI,1910,20.04
UG.MI,1911,20.63
UG.MI,1912,20.14
UG.MI,1913,20.04
UG.MI,1914,20.47
UG.MI,1915,20.36
UG.MI,1916,19.92
UG.MI,1917,19.42
UG.MI,1918,19.84
UG.MI,1919,20.08
UG.MI,1920,20.05
UG.MI,1921,21.4
UG.MI,1922,21.29
UG.MI,1923,21.21
UG.MI,1924,21.56
UG.MI,1925,21.43
UG.MI,1926,21.78
UG.MI,1927,21.59
UG.MI,1928,21.81
UG.MI,1929,19.64
UG.MI,1930,19.94
UG.MI,1931,21.05
UG.MI,1932,20.66
UG.MI,1933,20.8
UG.MI,1934,20.78
UG.MI,1935,20.83
UG.MI,1936,20.67
UG.MI,1937,20.65
UG.MI,1938,20.89
UG.MI,1939,21.05
UG.MI,1940,21.41
UG.MI,1941,21.56
UG.MI,1942,21.3
UG.MI,1943,21.33
UG.MI,1944,21.39
UG.MI,1945,21.37
UG.MI,1946,21.26
UG.MI,1947,21.13
UG.MI,1948,21.25
UG.MI,1949,21.49
UG.MI,1950,20.93
UG.MI,1951,21.46
UG.MI,1952,21.69
UG.MI,1953,21.76
UG.MI,1954,21.55
UG.MI,1955,21.48
UG.MI,1956,21.27
UG.MI,1957,21.57
UG.MI,1958,21.83
UG.MI,1959,21.61
UG.MI,1960,21.53
UG.MI,1961,21.5
UG.MI,1962,21.28
UG.MI,1963,21.32
UG.MI,1964,21.29
UG.MI,1965,21.37
UG.MI,1966,21.6
UG.MI,1967,21.3
UG.MI,1968,20.94
UG.MI,1969,21.59
UG.MI,1970,21.57
UG.MI,1971,21.23
UG.MI,1972,21.59
UG.MI,1973,21.74
UG.MI,1974,21.38
UG.MI,1975,21.38
UG.MI,1976,21.66
UG.MI,1977,21.64
UG.MI,1978,21.53
UG.MI,1979,21.56
UG.MI,1980,21.69
UG.MI,1981,21.76
UG.MI,1982,21.77
UG.MI,1983,22.03
UG.MI,1984,21.73
UG.MI,1985,21.56
UG.MI,1986,21.73
UG.MI,1987,22.15
UG.MI,1988,21.93
UG.MI,1989,21.4
UG.MI,1990,21.85
UG.MI,1991,21.81
UG.MI,1992,21.78
UG.MI,1993,21.84
UG.MI,1994,21.79
UG.MI,1995,22.12
UG.MI,1996,21.86
UG.MI,1997,21.98
UG.MI,1998,22.04
UG.MI,1999,22.1
UG.MI,2000,22.27
UG.MI,2001,22.38
UG.MI,2002,22.7
UG.MI,2003,22.68
UG.MI,2004,22.66
UG.MI,2005,22.65
UG.MI,2006,22.42
UG.MI,2007,22.41
UG.MI,2008,22.34
UG.MI,2009,22.87
UG.MI,2010,22.67
UG.MI,2011,22.28
UG.MI,2012,21.98
UG.MI,2013,22.18
UG.MI,2014,22.06
UG.MI,2015,22.07
UG.MI,2016,22.41
UG.MI,2017,22.36
UG.MI,2018,22.12
UG.MI,2019,22.39
UG.MI,2020,22.36
UG.MI,2021,22.24
UG.MI,2022,22.14
