Geography,Year,Count
UG.MT,1901,23.63
UG.MT,1902,23.68
UG.MT,1903,23.7
UG.MT,1904,23.09
UG.MT,1905,23.19
UG.MT,1906,22.99
UG.MT,1907,22.99
UG.MT,1908,23.65
UG.MT,1909,22.31
UG.MT,1910,22.61
UG.MT,1911,22.88
UG.MT,1912,22.03
UG.MT,1913,21.98
UG.MT,1914,22.43
UG.MT,1915,22.33
UG.MT,1916,21.87
UG.MT,1917,21.35
UG.MT,1918,21.78
UG.MT,1919,22.03
UG.MT,1920,22.0
UG.MT,1921,23.42
UG.MT,1922,23.31
UG.MT,1923,23.22
UG.MT,1924,23.59
UG.MT,1925,23.45
UG.MT,1926,23.83
UG.MT,1927,23.6
UG.MT,1928,23.85
UG.MT,1929,21.57
UG.MT,1930,21.88
UG.MT,1931,22.87
UG.MT,1932,22.47
UG.MT,1933,22.65
UG.MT,1934,22.7
UG.MT,1935,22.68
UG.MT,1936,22.51
UG.MT,1937,22.57
UG.MT,1938,22.8
UG.MT,1939,23.02
UG.MT,1940,23.44
UG.MT,1941,23.44
UG.MT,1942,23.41
UG.MT,1943,23.3
UG.MT,1944,23.47
UG.MT,1945,23.41
UG.MT,1946,23.38
UG.MT,1947,23.28
UG.MT,1948,23.18
UG.MT,1949,23.27
UG.MT,1950,22.84
UG.MT,1951,23.49
UG.MT,1952,23.86
UG.MT,1953,23.85
UG.MT,1954,23.58
UG.MT,1955,23.54
UG.MT,1956,23.03
UG.MT,1957,23.43
UG.MT,1958,23.8
UG.MT,1959,23.62
UG.MT,1960,23.53
UG.MT,1961,23.35
UG.MT,1962,23.1
UG.MT,1963,23.19
UG.MT,1964,23.11
UG.MT,1965,23.29
UG.MT,1966,23.45
UG.MT,1967,23.09
UG.MT,1968,22.81
UG.MT,1969,23.45
UG.MT,1970,23.53
UG.MT,1971,23.07
UG.MT,1972,23.6
UG.MT,1973,23.84
UG.MT,1974,23.32
UG.MT,1975,23.36
UG.MT,1976,23.6
UG.MT,1977,23.67
UG.MT,1978,23.52
UG.MT,1979,23.72
UG.MT,1980,23.9
UG.MT,1981,23.92
UG.MT,1982,23.87
UG.MT,1983,24.21
UG.MT,1984,23.87
UG.MT,1985,23.6
UG.MT,1986,23.86
UG.MT,1987,24.38
UG.MT,1988,24.07
UG.MT,1989,23.39
UG.MT,1990,23.96
UG.MT,1991,23.89
UG.MT,1992,23.81
UG.MT,1993,23.8
UG.MT,1994,23.83
UG.MT,1995,24.22
UG.MT,1996,23.99
UG.MT,1997,24.0
UG.MT,1998,24.15
UG.MT,1999,23.93
UG.MT,2000,24.22
UG.MT,2001,24.42
UG.MT,2002,24.79
UG.MT,2003,24.63
UG.MT,2004,24.62
UG.MT,2005,24.63
UG.MT,2006,24.56
UG.MT,2007,24.67
UG.MT,2008,24.6
UG.MT,2009,25.15
UG.MT,2010,24.99
UG.MT,2011,24.64
UG.MT,2012,24.18
UG.MT,2013,24.33
UG.MT,2014,24.3
UG.MT,2015,24.39
UG.MT,2016,24.65
UG.MT,2017,24.5
UG.MT,2018,24.18
UG.MT,2019,24.51
UG.MT,2020,24.58
UG.MT,2021,24.44
UG.MT,2022,24.35
