Geography,Year,Count
UG.MY,1901,25.04
UG.MY,1902,25.07
UG.MY,1903,25.07
UG.MY,1904,24.75
UG.MY,1905,24.79
UG.MY,1906,24.67
UG.MY,1907,24.68
UG.MY,1908,25.05
UG.MY,1909,24.31
UG.MY,1910,24.42
UG.MY,1911,24.6
UG.MY,1912,24.24
UG.MY,1913,24.2
UG.MY,1914,24.47
UG.MY,1915,24.42
UG.MY,1916,24.14
UG.MY,1917,23.89
UG.MY,1918,24.12
UG.MY,1919,24.29
UG.MY,1920,24.21
UG.MY,1921,24.91
UG.MY,1922,24.89
UG.MY,1923,24.84
UG.MY,1924,25.03
UG.MY,1925,24.93
UG.MY,1926,25.11
UG.MY,1927,25.03
UG.MY,1928,25.16
UG.MY,1929,24.05
UG.MY,1930,24.17
UG.MY,1931,24.66
UG.MY,1932,24.48
UG.MY,1933,24.63
UG.MY,1934,24.6
UG.MY,1935,24.55
UG.MY,1936,24.45
UG.MY,1937,24.49
UG.MY,1938,24.61
UG.MY,1939,24.72
UG.MY,1940,24.87
UG.MY,1941,24.94
UG.MY,1942,24.82
UG.MY,1943,24.6
UG.MY,1944,24.68
UG.MY,1945,24.59
UG.MY,1946,24.58
UG.MY,1947,24.51
UG.MY,1948,24.48
UG.MY,1949,24.56
UG.MY,1950,24.16
UG.MY,1951,24.73
UG.MY,1952,25.05
UG.MY,1953,25.0
UG.MY,1954,24.78
UG.MY,1955,24.66
UG.MY,1956,24.46
UG.MY,1957,24.78
UG.MY,1958,25.21
UG.MY,1959,24.94
UG.MY,1960,24.91
UG.MY,1961,24.63
UG.MY,1962,24.49
UG.MY,1963,24.68
UG.MY,1964,24.49
UG.MY,1965,24.69
UG.MY,1966,24.73
UG.MY,1967,24.43
UG.MY,1968,24.27
UG.MY,1969,24.8
UG.MY,1970,24.9
UG.MY,1971,24.57
UG.MY,1972,24.96
UG.MY,1973,25.22
UG.MY,1974,24.7
UG.MY,1975,24.75
UG.MY,1976,24.97
UG.MY,1977,25.04
UG.MY,1978,25.08
UG.MY,1979,25.13
UG.MY,1980,25.28
UG.MY,1981,25.47
UG.MY,1982,25.44
UG.MY,1983,25.63
UG.MY,1984,25.46
UG.MY,1985,25.21
UG.MY,1986,25.48
UG.MY,1987,25.88
UG.MY,1988,25.48
UG.MY,1989,24.87
UG.MY,1990,25.57
UG.MY,1991,25.3
UG.MY,1992,25.16
UG.MY,1993,25.41
UG.MY,1994,25.16
UG.MY,1995,25.63
UG.MY,1996,25.31
UG.MY,1997,25.41
UG.MY,1998,25.57
UG.MY,1999,25.26
UG.MY,2000,25.81
UG.MY,2001,25.98
UG.MY,2002,26.39
UG.MY,2003,26.21
UG.MY,2004,26.35
UG.MY,2005,26.34
UG.MY,2006,26.34
UG.MY,2007,26.52
UG.MY,2008,26.47
UG.MY,2009,27.0
UG.MY,2010,26.67
UG.MY,2011,26.12
UG.MY,2012,25.53
UG.MY,2013,25.72
UG.MY,2014,25.65
UG.MY,2015,25.76
UG.MY,2016,25.92
UG.MY,2017,25.79
UG.MY,2018,25.64
UG.MY,2019,25.78
UG.MY,2020,25.85
UG.MY,2021,25.8
UG.MY,2022,25.73
