Geography,Year,Count
UG.NE,1901,24.09
UG.NE,1902,24.15
UG.NE,1903,24.09
UG.NE,1904,23.71
UG.NE,1905,23.77
UG.NE,1906,23.55
UG.NE,1907,23.59
UG.NE,1908,24.02
UG.NE,1909,23.08
UG.NE,1910,23.1
UG.NE,1911,23.41
UG.NE,1912,23.08
UG.NE,1913,23.06
UG.NE,1914,23.34
UG.NE,1915,23.27
UG.NE,1916,22.99
UG.NE,1917,22.68
UG.NE,1918,22.93
UG.NE,1919,23.1
UG.NE,1920,23.07
UG.NE,1921,23.93
UG.NE,1922,23.85
UG.NE,1923,23.81
UG.NE,1924,24.03
UG.NE,1925,23.94
UG.NE,1926,24.17
UG.NE,1927,24.04
UG.NE,1928,24.18
UG.NE,1929,22.81
UG.NE,1930,23.0
UG.NE,1931,23.67
UG.NE,1932,23.43
UG.NE,1933,23.51
UG.NE,1934,23.52
UG.NE,1935,23.53
UG.NE,1936,23.44
UG.NE,1937,23.43
UG.NE,1938,23.58
UG.NE,1939,23.69
UG.NE,1940,23.88
UG.NE,1941,24.02
UG.NE,1942,23.81
UG.NE,1943,23.66
UG.NE,1944,23.72
UG.NE,1945,23.66
UG.NE,1946,23.58
UG.NE,1947,23.5
UG.NE,1948,23.56
UG.NE,1949,23.72
UG.NE,1950,23.23
UG.NE,1951,23.79
UG.NE,1952,24.05
UG.NE,1953,24.02
UG.NE,1954,23.82
UG.NE,1955,23.72
UG.NE,1956,23.55
UG.NE,1957,23.85
UG.NE,1958,24.26
UG.NE,1959,23.97
UG.NE,1960,23.95
UG.NE,1961,23.71
UG.NE,1962,23.56
UG.NE,1963,23.72
UG.NE,1964,23.59
UG.NE,1965,23.71
UG.NE,1966,23.81
UG.NE,1967,23.54
UG.NE,1968,23.32
UG.NE,1969,23.86
UG.NE,1970,23.95
UG.NE,1971,23.62
UG.NE,1972,23.98
UG.NE,1973,24.24
UG.NE,1974,23.73
UG.NE,1975,23.77
UG.NE,1976,24.03
UG.NE,1977,24.05
UG.NE,1978,24.1
UG.NE,1979,24.08
UG.NE,1980,24.24
UG.NE,1981,24.41
UG.NE,1982,24.4
UG.NE,1983,24.61
UG.NE,1984,24.4
UG.NE,1985,24.17
UG.NE,1986,24.43
UG.NE,1987,24.86
UG.NE,1988,24.47
UG.NE,1989,23.86
UG.NE,1990,24.51
UG.NE,1991,24.23
UG.NE,1992,24.2
UG.NE,1993,24.44
UG.NE,1994,24.15
UG.NE,1995,24.6
UG.NE,1996,24.27
UG.NE,1997,24.38
UG.NE,1998,24.56
UG.NE,1999,24.36
UG.NE,2000,24.84
UG.NE,2001,25.04
UG.NE,2002,25.41
UG.NE,2003,25.27
UG.NE,2004,25.38
UG.NE,2005,25.37
UG.NE,2006,25.29
UG.NE,2007,25.47
UG.NE,2008,25.38
UG.NE,2009,25.92
UG.NE,2010,25.6
UG.NE,2011,25.04
UG.NE,2012,24.48
UG.NE,2013,24.58
UG.NE,2014,24.53
UG.NE,2015,24.52
UG.NE,2016,24.76
UG.NE,2017,24.7
UG.NE,2018,24.63
UG.NE,2019,24.77
UG.NE,2020,24.86
UG.NE,2021,24.72
UG.NE,2022,24.64
