Geography,Year,Count
UG.NT,1901,19.22
UG.NT,1902,19.35
UG.NT,1903,19.2
UG.NT,1904,18.83
UG.NT,1905,18.82
UG.NT,1906,18.47
UG.NT,1907,18.48
UG.NT,1908,19.05
UG.NT,1909,18.04
UG.NT,1910,18.02
UG.NT,1911,18.33
UG.NT,1912,18.07
UG.NT,1913,18.05
UG.NT,1914,18.35
UG.NT,1915,18.28
UG.NT,1916,17.97
UG.NT,1917,17.65
UG.NT,1918,17.91
UG.NT,1919,18.09
UG.NT,1920,18.06
UG.NT,1921,18.97
UG.NT,1922,18.89
UG.NT,1923,18.83
UG.NT,1924,19.07
UG.NT,1925,18.99
UG.NT,1926,19.22
UG.NT,1927,19.09
UG.NT,1928,19.23
UG.NT,1929,17.79
UG.NT,1930,17.98
UG.NT,1931,18.67
UG.NT,1932,18.39
UG.NT,1933,18.44
UG.NT,1934,18.42
UG.NT,1935,18.54
UG.NT,1936,18.4
UG.NT,1937,18.36
UG.NT,1938,18.55
UG.NT,1939,18.67
UG.NT,1940,18.92
UG.NT,1941,19.16
UG.NT,1942,18.83
UG.NT,1943,18.88
UG.NT,1944,18.88
UG.NT,1945,18.85
UG.NT,1946,18.78
UG.NT,1947,18.68
UG.NT,1948,18.84
UG.NT,1949,19.12
UG.NT,1950,18.52
UG.NT,1951,18.99
UG.NT,1952,19.13
UG.NT,1953,19.22
UG.NT,1954,19.06
UG.NT,1955,18.95
UG.NT,1956,18.87
UG.NT,1957,19.13
UG.NT,1958,19.37
UG.NT,1959,19.12
UG.NT,1960,19.0
UG.NT,1961,19.0
UG.NT,1962,18.85
UG.NT,1963,18.87
UG.NT,1964,18.87
UG.NT,1965,18.95
UG.NT,1966,19.12
UG.NT,1967,18.89
UG.NT,1968,18.64
UG.NT,1969,19.16
UG.NT,1970,19.05
UG.NT,1971,18.81
UG.NT,1972,19.05
UG.NT,1973,19.17
UG.NT,1974,18.88
UG.NT,1975,18.87
UG.NT,1976,19.17
UG.NT,1977,19.18
UG.NT,1978,19.11
UG.NT,1979,19.08
UG.NT,1980,19.19
UG.NT,1981,19.21
UG.NT,1982,19.28
UG.NT,1983,19.44
UG.NT,1984,19.2
UG.NT,1985,19.09
UG.NT,1986,19.18
UG.NT,1987,19.6
UG.NT,1988,19.36
UG.NT,1989,18.92
UG.NT,1990,19.32
UG.NT,1991,19.29
UG.NT,1992,19.27
UG.NT,1993,19.34
UG.NT,1994,19.27
UG.NT,1995,19.6
UG.NT,1996,19.32
UG.NT,1997,19.5
UG.NT,1998,19.48
UG.NT,1999,19.57
UG.NT,2000,19.77
UG.NT,2001,19.84
UG.NT,2002,20.13
UG.NT,2003,20.14
UG.NT,2004,20.06
UG.NT,2005,20.05
UG.NT,2006,19.83
UG.NT,2007,19.85
UG.NT,2008,19.8
UG.NT,2009,20.26
UG.NT,2010,20.09
UG.NT,2011,19.65
UG.NT,2012,19.44
UG.NT,2013,19.64
UG.NT,2014,19.45
UG.NT,2015,19.48
UG.NT,2016,19.77
UG.NT,2017,19.85
UG.NT,2018,19.55
UG.NT,2019,19.75
UG.NT,2020,19.64
UG.NT,2021,19.66
UG.NT,2022,19.61
