Geography,Year,Count
UG.PD,1901,24.09
UG.PD,1902,24.11
UG.PD,1903,24.11
UG.PD,1904,23.65
UG.PD,1905,23.71
UG.PD,1906,23.51
UG.PD,1907,23.53
UG.PD,1908,24.07
UG.PD,1909,22.96
UG.PD,1910,23.15
UG.PD,1911,23.42
UG.PD,1912,22.81
UG.PD,1913,22.77
UG.PD,1914,23.14
UG.PD,1915,23.06
UG.PD,1916,22.69
UG.PD,1917,22.26
UG.PD,1918,22.62
UG.PD,1919,22.81
UG.PD,1920,22.79
UG.PD,1921,23.92
UG.PD,1922,23.83
UG.PD,1923,23.75
UG.PD,1924,24.04
UG.PD,1925,23.93
UG.PD,1926,24.23
UG.PD,1927,24.05
UG.PD,1928,24.24
UG.PD,1929,22.46
UG.PD,1930,22.7
UG.PD,1931,23.48
UG.PD,1932,23.19
UG.PD,1933,23.31
UG.PD,1934,23.36
UG.PD,1935,23.34
UG.PD,1936,23.2
UG.PD,1937,23.25
UG.PD,1938,23.41
UG.PD,1939,23.6
UG.PD,1940,23.88
UG.PD,1941,23.93
UG.PD,1942,23.83
UG.PD,1943,23.68
UG.PD,1944,23.8
UG.PD,1945,23.72
UG.PD,1946,23.68
UG.PD,1947,23.57
UG.PD,1948,23.54
UG.PD,1949,23.64
UG.PD,1950,23.2
UG.PD,1951,23.81
UG.PD,1952,24.17
UG.PD,1953,24.12
UG.PD,1954,23.87
UG.PD,1955,23.79
UG.PD,1956,23.5
UG.PD,1957,23.84
UG.PD,1958,24.22
UG.PD,1959,24.0
UG.PD,1960,23.96
UG.PD,1961,23.72
UG.PD,1962,23.53
UG.PD,1963,23.69
UG.PD,1964,23.51
UG.PD,1965,23.73
UG.PD,1966,23.8
UG.PD,1967,23.48
UG.PD,1968,23.26
UG.PD,1969,23.84
UG.PD,1970,23.95
UG.PD,1971,23.55
UG.PD,1972,24.0
UG.PD,1973,24.24
UG.PD,1974,23.74
UG.PD,1975,23.77
UG.PD,1976,24.01
UG.PD,1977,24.06
UG.PD,1978,24.05
UG.PD,1979,24.17
UG.PD,1980,24.34
UG.PD,1981,24.48
UG.PD,1982,24.43
UG.PD,1983,24.69
UG.PD,1984,24.45
UG.PD,1985,24.21
UG.PD,1986,24.48
UG.PD,1987,24.91
UG.PD,1988,24.55
UG.PD,1989,23.88
UG.PD,1990,24.52
UG.PD,1991,24.32
UG.PD,1992,24.23
UG.PD,1993,24.36
UG.PD,1994,24.24
UG.PD,1995,24.66
UG.PD,1996,24.36
UG.PD,1997,24.44
UG.PD,1998,24.57
UG.PD,1999,24.35
UG.PD,2000,24.77
UG.PD,2001,24.97
UG.PD,2002,25.37
UG.PD,2003,25.2
UG.PD,2004,25.26
UG.PD,2005,25.27
UG.PD,2006,25.23
UG.PD,2007,25.37
UG.PD,2008,25.3
UG.PD,2009,25.84
UG.PD,2010,25.6
UG.PD,2011,25.12
UG.PD,2012,24.61
UG.PD,2013,24.74
UG.PD,2014,24.71
UG.PD,2015,24.79
UG.PD,2016,24.98
UG.PD,2017,24.87
UG.PD,2018,24.66
UG.PD,2019,24.9
UG.PD,2020,24.98
UG.PD,2021,24.85
UG.PD,2022,24.77
