Geography,Year,Count
UG.PL,1901,23.37
UG.PL,1902,23.47
UG.PL,1903,23.4
UG.PL,1904,22.78
UG.PL,1905,22.88
UG.PL,1906,22.52
UG.PL,1907,22.56
UG.PL,1908,23.29
UG.PL,1909,21.74
UG.PL,1910,21.82
UG.PL,1911,22.33
UG.PL,1912,21.7
UG.PL,1913,21.59
UG.PL,1914,22.08
UG.PL,1915,21.95
UG.PL,1916,21.47
UG.PL,1917,20.92
UG.PL,1918,21.38
UG.PL,1919,21.64
UG.PL,1920,21.61
UG.PL,1921,23.13
UG.PL,1922,23.0
UG.PL,1923,22.91
UG.PL,1924,23.29
UG.PL,1925,23.15
UG.PL,1926,23.54
UG.PL,1927,23.32
UG.PL,1928,23.56
UG.PL,1929,21.18
UG.PL,1930,21.49
UG.PL,1931,22.65
UG.PL,1932,22.22
UG.PL,1933,22.39
UG.PL,1934,22.4
UG.PL,1935,22.41
UG.PL,1936,22.24
UG.PL,1937,22.25
UG.PL,1938,22.51
UG.PL,1939,22.71
UG.PL,1940,23.17
UG.PL,1941,23.21
UG.PL,1942,23.07
UG.PL,1943,23.04
UG.PL,1944,23.14
UG.PL,1945,23.11
UG.PL,1946,23.04
UG.PL,1947,22.9
UG.PL,1948,22.93
UG.PL,1949,23.11
UG.PL,1950,22.58
UG.PL,1951,23.15
UG.PL,1952,23.47
UG.PL,1953,23.51
UG.PL,1954,23.26
UG.PL,1955,23.21
UG.PL,1956,22.86
UG.PL,1957,23.24
UG.PL,1958,23.57
UG.PL,1959,23.35
UG.PL,1960,23.28
UG.PL,1961,23.17
UG.PL,1962,22.87
UG.PL,1963,22.96
UG.PL,1964,22.9
UG.PL,1965,23.04
UG.PL,1966,23.28
UG.PL,1967,22.9
UG.PL,1968,22.51
UG.PL,1969,23.24
UG.PL,1970,23.28
UG.PL,1971,22.82
UG.PL,1972,23.34
UG.PL,1973,23.53
UG.PL,1974,23.1
UG.PL,1975,23.08
UG.PL,1976,23.34
UG.PL,1977,23.36
UG.PL,1978,23.21
UG.PL,1979,23.35
UG.PL,1980,23.54
UG.PL,1981,23.6
UG.PL,1982,23.54
UG.PL,1983,23.9
UG.PL,1984,23.5
UG.PL,1985,23.31
UG.PL,1986,23.52
UG.PL,1987,24.01
UG.PL,1988,23.76
UG.PL,1989,23.11
UG.PL,1990,23.65
UG.PL,1991,23.55
UG.PL,1992,23.53
UG.PL,1993,23.55
UG.PL,1994,23.55
UG.PL,1995,23.91
UG.PL,1996,23.68
UG.PL,1997,23.74
UG.PL,1998,23.86
UG.PL,1999,23.74
UG.PL,2000,23.98
UG.PL,2001,24.15
UG.PL,2002,24.49
UG.PL,2003,24.38
UG.PL,2004,24.34
UG.PL,2005,24.34
UG.PL,2006,24.2
UG.PL,2007,24.23
UG.PL,2008,24.18
UG.PL,2009,24.75
UG.PL,2010,24.59
UG.PL,2011,24.2
UG.PL,2012,23.79
UG.PL,2013,23.99
UG.PL,2014,23.89
UG.PL,2015,23.88
UG.PL,2016,24.32
UG.PL,2017,24.15
UG.PL,2018,23.88
UG.PL,2019,24.2
UG.PL,2020,24.22
UG.PL,2021,24.06
UG.PL,2022,23.97
