Geography,Year,Count
UG.RA,1901,20.61
UG.RA,1902,20.75
UG.RA,1903,20.61
UG.RA,1904,20.09
UG.RA,1905,20.17
UG.RA,1906,19.75
UG.RA,1907,19.82
UG.RA,1908,20.46
UG.RA,1909,19.12
UG.RA,1910,19.1
UG.RA,1911,19.58
UG.RA,1912,19.18
UG.RA,1913,19.11
UG.RA,1914,19.48
UG.RA,1915,19.39
UG.RA,1916,18.98
UG.RA,1917,18.52
UG.RA,1918,18.9
UG.RA,1919,19.14
UG.RA,1920,19.11
UG.RA,1921,20.35
UG.RA,1922,20.25
UG.RA,1923,20.18
UG.RA,1924,20.49
UG.RA,1925,20.37
UG.RA,1926,20.7
UG.RA,1927,20.51
UG.RA,1928,20.71
UG.RA,1929,18.74
UG.RA,1930,19.0
UG.RA,1931,20.0
UG.RA,1932,19.62
UG.RA,1933,19.72
UG.RA,1934,19.73
UG.RA,1935,19.8
UG.RA,1936,19.66
UG.RA,1937,19.62
UG.RA,1938,19.86
UG.RA,1939,20.01
UG.RA,1940,20.32
UG.RA,1941,20.52
UG.RA,1942,20.21
UG.RA,1943,20.26
UG.RA,1944,20.3
UG.RA,1945,20.26
UG.RA,1946,20.19
UG.RA,1947,20.05
UG.RA,1948,20.2
UG.RA,1949,20.49
UG.RA,1950,19.88
UG.RA,1951,20.4
UG.RA,1952,20.59
UG.RA,1953,20.69
UG.RA,1954,20.5
UG.RA,1955,20.41
UG.RA,1956,20.25
UG.RA,1957,20.52
UG.RA,1958,20.77
UG.RA,1959,20.53
UG.RA,1960,20.44
UG.RA,1961,20.44
UG.RA,1962,20.23
UG.RA,1963,20.25
UG.RA,1964,20.24
UG.RA,1965,20.32
UG.RA,1966,20.53
UG.RA,1967,20.28
UG.RA,1968,19.92
UG.RA,1969,20.55
UG.RA,1970,20.48
UG.RA,1971,20.18
UG.RA,1972,20.5
UG.RA,1973,20.65
UG.RA,1974,20.31
UG.RA,1975,20.3
UG.RA,1976,20.6
UG.RA,1977,20.59
UG.RA,1978,20.49
UG.RA,1979,20.47
UG.RA,1980,20.6
UG.RA,1981,20.65
UG.RA,1982,20.67
UG.RA,1983,20.9
UG.RA,1984,20.61
UG.RA,1985,20.47
UG.RA,1986,20.58
UG.RA,1987,21.04
UG.RA,1988,20.82
UG.RA,1989,20.34
UG.RA,1990,20.74
UG.RA,1991,20.73
UG.RA,1992,20.71
UG.RA,1993,20.75
UG.RA,1994,20.74
UG.RA,1995,21.04
UG.RA,1996,20.77
UG.RA,1997,20.92
UG.RA,1998,20.94
UG.RA,1999,21.07
UG.RA,2000,21.2
UG.RA,2001,21.28
UG.RA,2002,21.6
UG.RA,2003,21.61
UG.RA,2004,21.51
UG.RA,2005,21.48
UG.RA,2006,21.26
UG.RA,2007,21.26
UG.RA,2008,21.2
UG.RA,2009,21.71
UG.RA,2010,21.54
UG.RA,2011,21.13
UG.RA,2012,20.89
UG.RA,2013,21.11
UG.RA,2014,20.95
UG.RA,2015,20.96
UG.RA,2016,21.31
UG.RA,2017,21.33
UG.RA,2018,21.04
UG.RA,2019,21.29
UG.RA,2020,21.2
UG.RA,2021,21.15
UG.RA,2022,21.06
