Geography,Year,Count
UG.SI,1901,21.12
UG.SI,1902,21.23
UG.SI,1903,21.17
UG.SI,1904,20.55
UG.SI,1905,20.65
UG.SI,1906,20.29
UG.SI,1907,20.34
UG.SI,1908,21.09
UG.SI,1909,19.52
UG.SI,1910,19.64
UG.SI,1911,20.12
UG.SI,1912,19.48
UG.SI,1913,19.34
UG.SI,1914,19.83
UG.SI,1915,19.71
UG.SI,1916,19.2
UG.SI,1917,18.63
UG.SI,1918,19.09
UG.SI,1919,19.39
UG.SI,1920,19.35
UG.SI,1921,20.91
UG.SI,1922,20.77
UG.SI,1923,20.69
UG.SI,1924,21.08
UG.SI,1925,20.93
UG.SI,1926,21.34
UG.SI,1927,21.11
UG.SI,1928,21.36
UG.SI,1929,18.89
UG.SI,1930,19.22
UG.SI,1931,20.41
UG.SI,1932,19.95
UG.SI,1933,20.13
UG.SI,1934,20.16
UG.SI,1935,20.17
UG.SI,1936,19.98
UG.SI,1937,19.99
UG.SI,1938,20.25
UG.SI,1939,20.48
UG.SI,1940,20.95
UG.SI,1941,20.98
UG.SI,1942,20.87
UG.SI,1943,20.82
UG.SI,1944,20.96
UG.SI,1945,20.9
UG.SI,1946,20.85
UG.SI,1947,20.71
UG.SI,1948,20.71
UG.SI,1949,20.89
UG.SI,1950,20.36
UG.SI,1951,20.97
UG.SI,1952,21.32
UG.SI,1953,21.37
UG.SI,1954,21.08
UG.SI,1955,21.03
UG.SI,1956,20.63
UG.SI,1957,21.0
UG.SI,1958,21.33
UG.SI,1959,21.14
UG.SI,1960,21.05
UG.SI,1961,20.97
UG.SI,1962,20.66
UG.SI,1963,20.72
UG.SI,1964,20.68
UG.SI,1965,20.83
UG.SI,1966,21.06
UG.SI,1967,20.67
UG.SI,1968,20.29
UG.SI,1969,21.02
UG.SI,1970,21.04
UG.SI,1971,20.59
UG.SI,1972,21.13
UG.SI,1973,21.34
UG.SI,1974,20.91
UG.SI,1975,20.87
UG.SI,1976,21.12
UG.SI,1977,21.16
UG.SI,1978,21.01
UG.SI,1979,21.14
UG.SI,1980,21.33
UG.SI,1981,21.37
UG.SI,1982,21.33
UG.SI,1983,21.7
UG.SI,1984,21.3
UG.SI,1985,21.1
UG.SI,1986,21.32
UG.SI,1987,21.79
UG.SI,1988,21.55
UG.SI,1989,20.9
UG.SI,1990,21.42
UG.SI,1991,21.35
UG.SI,1992,21.32
UG.SI,1993,21.32
UG.SI,1994,21.35
UG.SI,1995,21.71
UG.SI,1996,21.47
UG.SI,1997,21.51
UG.SI,1998,21.67
UG.SI,1999,21.53
UG.SI,2000,21.75
UG.SI,2001,21.93
UG.SI,2002,22.28
UG.SI,2003,22.15
UG.SI,2004,22.09
UG.SI,2005,22.07
UG.SI,2006,21.97
UG.SI,2007,21.97
UG.SI,2008,21.92
UG.SI,2009,22.5
UG.SI,2010,22.36
UG.SI,2011,21.96
UG.SI,2012,21.58
UG.SI,2013,21.78
UG.SI,2014,21.68
UG.SI,2015,21.69
UG.SI,2016,22.14
UG.SI,2017,21.94
UG.SI,2018,21.65
UG.SI,2019,22.0
UG.SI,2020,22.03
UG.SI,2021,21.86
UG.SI,2022,21.78
