Geography,Year,Count
UG.SR,1901,23.89
UG.SR,1902,23.92
UG.SR,1903,23.9
UG.SR,1904,23.28
UG.SR,1905,23.4
UG.SR,1906,23.06
UG.SR,1907,23.13
UG.SR,1908,23.82
UG.SR,1909,22.31
UG.SR,1910,22.47
UG.SR,1911,22.89
UG.SR,1912,22.22
UG.SR,1913,22.16
UG.SR,1914,22.62
UG.SR,1915,22.53
UG.SR,1916,22.05
UG.SR,1917,21.51
UG.SR,1918,21.95
UG.SR,1919,22.21
UG.SR,1920,22.19
UG.SR,1921,23.63
UG.SR,1922,23.52
UG.SR,1923,23.43
UG.SR,1924,23.8
UG.SR,1925,23.67
UG.SR,1926,24.04
UG.SR,1927,23.82
UG.SR,1928,24.06
UG.SR,1929,21.75
UG.SR,1930,22.06
UG.SR,1931,23.15
UG.SR,1932,22.73
UG.SR,1933,22.9
UG.SR,1934,22.93
UG.SR,1935,22.93
UG.SR,1936,22.76
UG.SR,1937,22.8
UG.SR,1938,23.03
UG.SR,1939,23.25
UG.SR,1940,23.66
UG.SR,1941,23.71
UG.SR,1942,23.59
UG.SR,1943,23.51
UG.SR,1944,23.64
UG.SR,1945,23.59
UG.SR,1946,23.53
UG.SR,1947,23.38
UG.SR,1948,23.39
UG.SR,1949,23.56
UG.SR,1950,23.04
UG.SR,1951,23.61
UG.SR,1952,23.95
UG.SR,1953,23.98
UG.SR,1954,23.73
UG.SR,1955,23.68
UG.SR,1956,23.33
UG.SR,1957,23.7
UG.SR,1958,24.04
UG.SR,1959,23.84
UG.SR,1960,23.74
UG.SR,1961,23.62
UG.SR,1962,23.35
UG.SR,1963,23.41
UG.SR,1964,23.38
UG.SR,1965,23.53
UG.SR,1966,23.74
UG.SR,1967,23.34
UG.SR,1968,23.03
UG.SR,1969,23.71
UG.SR,1970,23.77
UG.SR,1971,23.31
UG.SR,1972,23.81
UG.SR,1973,24.02
UG.SR,1974,23.57
UG.SR,1975,23.58
UG.SR,1976,23.82
UG.SR,1977,23.85
UG.SR,1978,23.74
UG.SR,1979,23.87
UG.SR,1980,24.04
UG.SR,1981,24.13
UG.SR,1982,24.07
UG.SR,1983,24.41
UG.SR,1984,24.07
UG.SR,1985,23.84
UG.SR,1986,24.06
UG.SR,1987,24.54
UG.SR,1988,24.29
UG.SR,1989,23.63
UG.SR,1990,24.2
UG.SR,1991,24.07
UG.SR,1992,24.01
UG.SR,1993,24.05
UG.SR,1994,24.03
UG.SR,1995,24.42
UG.SR,1996,24.17
UG.SR,1997,24.23
UG.SR,1998,24.38
UG.SR,1999,24.23
UG.SR,2000,24.49
UG.SR,2001,24.66
UG.SR,2002,25.03
UG.SR,2003,24.9
UG.SR,2004,24.89
UG.SR,2005,24.9
UG.SR,2006,24.77
UG.SR,2007,24.86
UG.SR,2008,24.77
UG.SR,2009,25.36
UG.SR,2010,25.18
UG.SR,2011,24.75
UG.SR,2012,24.32
UG.SR,2013,24.48
UG.SR,2014,24.37
UG.SR,2015,24.4
UG.SR,2016,24.81
UG.SR,2017,24.64
UG.SR,2018,24.4
UG.SR,2019,24.7
UG.SR,2020,24.74
UG.SR,2021,24.57
UG.SR,2022,24.5
