Geography,Year,Count
UG.TR,1901,22.31
UG.TR,1902,22.43
UG.TR,1903,22.35
UG.TR,1904,21.71
UG.TR,1905,21.84
UG.TR,1906,21.46
UG.TR,1907,21.5
UG.TR,1908,22.25
UG.TR,1909,20.66
UG.TR,1910,20.7
UG.TR,1911,21.22
UG.TR,1912,20.69
UG.TR,1913,20.48
UG.TR,1914,21.01
UG.TR,1915,20.89
UG.TR,1916,20.35
UG.TR,1917,19.76
UG.TR,1918,20.25
UG.TR,1919,20.54
UG.TR,1920,20.51
UG.TR,1921,22.09
UG.TR,1922,21.95
UG.TR,1923,21.84
UG.TR,1924,22.26
UG.TR,1925,22.11
UG.TR,1926,22.53
UG.TR,1927,22.29
UG.TR,1928,22.56
UG.TR,1929,20.02
UG.TR,1930,20.38
UG.TR,1931,21.6
UG.TR,1932,21.15
UG.TR,1933,21.31
UG.TR,1934,21.33
UG.TR,1935,21.35
UG.TR,1936,21.17
UG.TR,1937,21.17
UG.TR,1938,21.44
UG.TR,1939,21.68
UG.TR,1940,22.16
UG.TR,1941,22.19
UG.TR,1942,22.04
UG.TR,1943,22.0
UG.TR,1944,22.14
UG.TR,1945,22.11
UG.TR,1946,22.03
UG.TR,1947,21.87
UG.TR,1948,21.92
UG.TR,1949,22.13
UG.TR,1950,21.53
UG.TR,1951,22.15
UG.TR,1952,22.49
UG.TR,1953,22.54
UG.TR,1954,22.27
UG.TR,1955,22.26
UG.TR,1956,21.85
UG.TR,1957,22.25
UG.TR,1958,22.55
UG.TR,1959,22.35
UG.TR,1960,22.26
UG.TR,1961,22.2
UG.TR,1962,21.9
UG.TR,1963,21.93
UG.TR,1964,21.87
UG.TR,1965,22.01
UG.TR,1966,22.26
UG.TR,1967,21.89
UG.TR,1968,21.48
UG.TR,1969,22.25
UG.TR,1970,22.26
UG.TR,1971,21.81
UG.TR,1972,22.33
UG.TR,1973,22.54
UG.TR,1974,22.1
UG.TR,1975,22.07
UG.TR,1976,22.35
UG.TR,1977,22.38
UG.TR,1978,22.18
UG.TR,1979,22.31
UG.TR,1980,22.51
UG.TR,1981,22.54
UG.TR,1982,22.46
UG.TR,1983,22.86
UG.TR,1984,22.43
UG.TR,1985,22.24
UG.TR,1986,22.45
UG.TR,1987,22.94
UG.TR,1988,22.73
UG.TR,1989,22.08
UG.TR,1990,22.59
UG.TR,1991,22.53
UG.TR,1992,22.49
UG.TR,1993,22.51
UG.TR,1994,22.55
UG.TR,1995,22.89
UG.TR,1996,22.64
UG.TR,1997,22.71
UG.TR,1998,22.83
UG.TR,1999,22.76
UG.TR,2000,22.93
UG.TR,2001,23.14
UG.TR,2002,23.46
UG.TR,2003,23.39
UG.TR,2004,23.26
UG.TR,2005,23.22
UG.TR,2006,23.12
UG.TR,2007,23.08
UG.TR,2008,23.03
UG.TR,2009,23.61
UG.TR,2010,23.45
UG.TR,2011,23.09
UG.TR,2012,22.73
UG.TR,2013,22.96
UG.TR,2014,22.85
UG.TR,2015,22.88
UG.TR,2016,23.3
UG.TR,2017,23.13
UG.TR,2018,22.85
UG.TR,2019,23.18
UG.TR,2020,23.17
UG.TR,2021,23.03
UG.TR,2022,22.94
