Country,Area,Geography,Count,Period
Angola,Zaire,AO.ZA,-0.144736111111111,1900s
Angola,Zaire,AO.ZA,-0.220611111111107,1910s
Angola,Zaire,AO.ZA,-0.199944444444444,1920s
Angola,Zaire,AO.ZA,-0.0461111111111094,1930s
Angola,Zaire,AO.ZA,-0.000444444444443803,1940s
Angola,Zaire,AO.ZA,-0.167777777777779,1950s
Angola,Zaire,AO.ZA,-0.0191111111111084,1960s
Angola,Zaire,AO.ZA,-0.145027777777777,1970s
Angola,Zaire,AO.ZA,0.219388888888889,1980s
Angola,Zaire,AO.ZA,0.174222222222223,1990s
Angola,Zaire,AO.ZA,0.395555555555557,2000s
Angola,Zaire,AO.ZA,0.615305555555558,2010s
