Country,Area,Geography,Count,Period
Kenya,Taita Taveta,KE.TT,-0.679902777777776,1900s
Kenya,Taita Taveta,KE.TT,-1.43594444444444,1910s
Kenya,Taita Taveta,KE.TT,-0.499694444444443,1920s
Kenya,Taita Taveta,KE.TT,-0.618277777777777,1930s
Kenya,Taita Taveta,KE.TT,-0.124027777777772,1940s
Kenya,Taita Taveta,KE.TT,0.0969722222222237,1950s
Kenya,Taita Taveta,KE.TT,-0.181527777777777,1960s
Kenya,Taita Taveta,KE.TT,0.0328888888888911,1970s
Kenya,Taita Taveta,KE.TT,0.184472222222222,1980s
Kenya,Taita Taveta,KE.TT,0.397972222222225,1990s
Kenya,Taita Taveta,KE.TT,0.470638888888892,2000s
Kenya,Taita Taveta,KE.TT,0.769222222222222,2010s
