Country,Area,Geography,Count,Period
Kenya,Vihiga,KE.VI,-0.692777777777777,1900s
Kenya,Vihiga,KE.VI,-1.54936111111111,1910s
Kenya,Vihiga,KE.VI,-0.610111111111109,1920s
Kenya,Vihiga,KE.VI,-0.710027777777778,1930s
Kenya,Vihiga,KE.VI,-0.200194444444445,1940s
Kenya,Vihiga,KE.VI,-0.0023611111111137,1950s
Kenya,Vihiga,KE.VI,-0.255944444444445,1960s
Kenya,Vihiga,KE.VI,0.0831388888888859,1970s
Kenya,Vihiga,KE.VI,0.258388888888887,1980s
Kenya,Vihiga,KE.VI,0.557388888888887,1990s
Kenya,Vihiga,KE.VI,0.82922222222222,2000s
Kenya,Vihiga,KE.VI,0.758972222222222,2010s
