Country,Area,Geography,Count,Period
Libya,Surt (sirte),LY.ST,-0.334652777777776,1900s
Libya,Surt (sirte),LY.ST,-0.0881388888888885,1910s
Libya,Surt (sirte),LY.ST,0.138027777777775,1920s
Libya,Surt (sirte),LY.ST,0.032694444444445,1930s
Libya,Surt (sirte),LY.ST,0.0616111111111123,1940s
Libya,Surt (sirte),LY.ST,-0.0489722222222219,1950s
Libya,Surt (sirte),LY.ST,-0.0117222222222252,1960s
Libya,Surt (sirte),LY.ST,-0.124972222222222,1970s
Libya,Surt (sirte),LY.ST,0.130777777777776,1980s
Libya,Surt (sirte),LY.ST,0.620277777777779,1990s
Libya,Surt (sirte),LY.ST,0.770611111111112,2000s
Libya,Surt (sirte),LY.ST,0.843277777777778,2010s
