Country,Area,Geography,Count,Period
Niger,Niamey,NE.NI,-0.255402777777774,1900s
Niger,Niamey,NE.NI,-0.431277777777776,1910s
Niger,Niamey,NE.NI,-0.193111111111111,1920s
Niger,Niamey,NE.NI,0.67038888888889,1930s
Niger,Niamey,NE.NI,-0.0717777777777719,1940s
Niger,Niamey,NE.NI,-0.31111111111111,1950s
Niger,Niamey,NE.NI,-0.00244444444443914,1960s
Niger,Niamey,NE.NI,-0.110861111111109,1970s
Niger,Niamey,NE.NI,0.229388888888891,1980s
Niger,Niamey,NE.NI,0.40347222222222,1990s
Niger,Niamey,NE.NI,0.784555555555552,2000s
Niger,Niamey,NE.NI,0.801222222222222,2010s
