Country,Area,Geography,Count,Period
Seychelles,English River,SC.RA,-0.348611111111111,1900s
Seychelles,English River,SC.RA,-0.0391666666666665,1910s
Seychelles,English River,SC.RA,-0.418333333333333,1920s
Seychelles,English River,SC.RA,-0.610833333333332,1930s
Seychelles,English River,SC.RA,-0.232499999999998,1940s
Seychelles,English River,SC.RA,-0.0549999999999961,1950s
Seychelles,English River,SC.RA,-0.0949999999999988,1960s
Seychelles,English River,SC.RA,-0.00583333333333513,1970s
Seychelles,English River,SC.RA,0.106666666666665,1980s
Seychelles,English River,SC.RA,0.230833333333333,1990s
Seychelles,English River,SC.RA,0.4875,2000s
Seychelles,English River,SC.RA,0.705000000000001,2010s
