Country,Area,Geography,Count,Period
South Sudan,Central Equatoria,SS.BG,-0.135986111111108,1900s
South Sudan,Central Equatoria,SS.BG,-0.337472222222221,1910s
South Sudan,Central Equatoria,SS.BG,-0.12638888888889,1920s
South Sudan,Central Equatoria,SS.BG,-0.14772222222222,1930s
South Sudan,Central Equatoria,SS.BG,-0.481388888888886,1940s
South Sudan,Central Equatoria,SS.BG,-0.350722222222223,1950s
South Sudan,Central Equatoria,SS.BG,-0.395805555555558,1960s
South Sudan,Central Equatoria,SS.BG,0.109194444444444,1970s
South Sudan,Central Equatoria,SS.BG,0.45711111111111,1980s
South Sudan,Central Equatoria,SS.BG,0.601861111111112,1990s
South Sudan,Central Equatoria,SS.BG,1.38852777777777,2000s
South Sudan,Central Equatoria,SS.BG,0.738527777777779,2010s
