Country,Area,Geography,Count,Period
Tunisia,Tunisia,TN,-0.618124999999999,1900s
Tunisia,Tunisia,TN,-0.387444444444444,1910s
Tunisia,Tunisia,TN,-0.194777777777776,1920s
Tunisia,Tunisia,TN,-0.285194444444446,1930s
Tunisia,Tunisia,TN,0.268722222222219,1940s
Tunisia,Tunisia,TN,-0.083111111111112,1950s
Tunisia,Tunisia,TN,-0.198777777777781,1960s
Tunisia,Tunisia,TN,-0.192444444444443,1970s
Tunisia,Tunisia,TN,0.360722222222221,1980s
Tunisia,Tunisia,TN,0.943305555555554,1990s
Tunisia,Tunisia,TN,1.08330555555555,2000s
Tunisia,Tunisia,TN,1.40813888888888,2010s
