Country,Area,Geography,Count,Period
South Africa,Western Cape,ZA.WC,-0.762472222222223,1900s
South Africa,Western Cape,ZA.WC,-0.430527777777779,1910s
South Africa,Western Cape,ZA.WC,-0.169777777777778,1920s
South Africa,Western Cape,ZA.WC,-0.0268611111111098,1930s
South Africa,Western Cape,ZA.WC,-0.0921111111111123,1940s
South Africa,Western Cape,ZA.WC,-0.267277777777778,1950s
South Africa,Western Cape,ZA.WC,-0.217277777777777,1960s
South Africa,Western Cape,ZA.WC,0.0153888888888893,1970s
South Africa,Western Cape,ZA.WC,0.261055555555554,1980s
South Africa,Western Cape,ZA.WC,0.372722222222218,1990s
South Africa,Western Cape,ZA.WC,0.713805555555556,2000s
South Africa,Western Cape,ZA.WC,0.999388888888887,2010s
